😀	ፈገግ ያለ ፊት, ፈገግታ, ፊት
😃	ሣቅ, አፉ የተከፈተ ሣቂታ ፊት, አፍ, ክፍት, ፊት
😄	ሣቅ, አፍ, ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ሣቂታ ዓይኖች, ክፍት, ዓይን
😁	ሣቂታ ዓይኖች ያሉት ፊት, ሣቅ, ዓይን, ፈገግታ, ፊት
😆	ሣቅ, አፍ, ከተከፈተ አፍ ጋር ሣቂታ ፊት እና የተጨፈኑ ዓይኖች, ክፍት, ፊት
😅	ላብ, ሣቅ, ቀዝቃዛ, ከተከፈተ አፍ ጋር ሣቂታ ፊት እና ቀዝቃዛ ላብ, ክፍት
🤣	መሬት, መሽከርከር, ሳቅ, በሳቅ መሬት ላይ መሽከርከር, ፊት
😂	ሐሤት, እንባ, ከባድ ሣቅ, የሐሤት እንባ ያሉት ፊት, ፊት
🙂	ሣቅ, በትንሹ ሣቂታ ፊት, ፊት
🙃	የተገለበጠ, የተገለበጠ ፊት, ፊት
😉	የሚጣቀስ ፊት, ጠቀሳ, ፊት
😊	ሣቂታ ዓይኖች ያሉት ሣቂታ ፊት, ሣቅ, ዓይን, ዕፍረት, ፊት
😇	ላዩ ላይ ክብ ያለበት ሣቂታ ፊት, መልዓክ, ምናባዊ, ታማኝ, የዋህ, ፊት
🥰	አፈቀረ, ከፍ ያለ ክብር ሰጠ, ወደደ, የሚስቅ ፊት ከ 3 ልብ ጋር
😍	ሣቅ, ዓይን, የልብ ቅርጽ ያላቸው ዓይኖች ያሉት ሣቂታ ፊት, ፊት, ፍቅር
🤩	ኮከብ, ዓይኖች, የተዋንያን አድናቂ, ፊት
😘	ልብ, መሳም, የሚስም ፊት, ፊት
😗	መሳም, እየሳመ ያለ ፊት, ፊት
☺️	ሣቂታ ፊት, ሣቅ, የተነደፈ, የተዝናና, ፊት
😚	መሳም, ዓይን, የሚስም ፊት ከተዘጉ ዓይኖች ጋር, የተዘጋ, ፊት
😙	መሳም, ሣቅ, ዓይን, የሚስም ፊት ከሣቂታ ዓይኖች ጋር, ፊት
😋	ሣቅ, በጣፋጭ ምግብ የጎመጀ ፊት, አስጎምጂ, ጣፋጭ, ፊት
😛	ምላሱን ያወጣ ፊት, ምላስ, ፊት
😜	ምላሱን ያወጣ እና ዓይኑ የሚጣቀስ ፊት, ምላስ, ቀልድ, ዓይን, ጠቀሳ
🤪	እብድ ፊት
😝	ምላሱን ያወጣ እና ዓይኑን የጨፈነ ፊት, ምላስ, አስቀያሚ, ዓይን, ጣዕም
🤑	አፉ ላይ ገንዘብ ያለበት ፊት, አፍ, ገንዘብ, ፊት
🤗	መተቃቀፍ, ማቀፍ, እያቀፈ ያለ ፊት, ፊት
🤭	እጁን ከንፈሩ ላይ ያደረገ ፊት
🤫	የጸጥታ ፊት
🤔	ሃሳቢ ፊት, ማሰብ, ፊት
🤐	ባለዚፕ አፍ ፊት, አፍ, ዚፕ, ፊት
🤨	ቅንድብ የተነሳ ፊት
😐️	ኮስተር ያለ, ገለልተኛ, ገለልተኛ ፊት, ፊት
😑	ምንም ስሜት የሌለው ፊት, ስሜት የለሽ, ስሜት የማይገልጽ, ፊት
😶	አፍ, አፍ የሌለው ፊት, ዝም ያለ, ጸጥታ, ፊት
😏	ምጸት, በምጸት ፈገግ የሚል ፊት, ፊት
😒	ያልተደሰተ, ያልተገረመ, ያልተገረመ ፊት, ፊት
🙄	ዓይኖች, የሚሽከረከሩ, የሚሽከረከሩ ዓይኖች ያሉት ፊት, ፊት
😬	ታሞ የተጨማደደ, ታሞ የተጨማደደ ፊት, ፊት
🤥	ውሸት, የሚዋሽ ፊት, ፊት, ፒኖኪዮ
😌	እፎይ ያለ, እፎይ ያለ ፊት, ፊት
😔	ሐሳብ የገባው, እያሰበ ያለ ፊት, ገለል ያለ, ፊት
😪	እንቅልፉ የመጣ ፊት, እንቅልፍ, ፊት
🤤	ለሀጭ, የለሀጭ ፊት, ፊት
😴	እንቅልፍ, የሚያንቀላፋ ፊት, ፊት
😷	ቀዝቃዛ, የሕክምና ጭንብል ያደረገ ፊት, የታመመ, ዶክተር, ጭንብል
🤒	በሽተኛ, ቴርሞሜትር, ቴርሞሜትር የያዘ ፊት, የታመመ, ፊት
🤕	ቁስል, እራሱ ላይ ፋሻ የጠቀለለ ፊት, ጉዳት, ፊት, ፋሻ
🤢	ማስታወክ, ያስታወከ, ያስታወከ ፊት, ፊት
🤮	የሚያስታውክ ፊት
🤧	መልካም ጤና, ማስነጠስ, የሚያስነጥስ ፊት, ፊት
🥵	ሙቀት, ማላብ, ቀይ ፊት, የሙቀት ግፊት, የቀላ ፊት
🥶	ሰማያዊ ፊት, ቀዝቃዛ, በራዳ, በቅዝቃዜ የተጎዳ አፍንጫ, የቀዘቀዘ ፊት
🥴	አጥወልዋይ ፊት, የሰከረ, የተሸዋረረ አይን, ድንዝዝ, ግልብጥ
😵	የደበተው, የደበተው ፊት, ፊት
🤯	የፈነዳ ጭንቅላት
🤠	ከብት ጠባቂ, ኮፍያ, የከብት ጠባቂ ኮፍያ ፊት, ፊት
🥳	ቀንድ, ክብረ በዓል, ኮፍያ, የድግስ ፊት, ድግስ
😎	ብሩህ, አሪፍ, የፀሐይ መነጽር ያደረገ ሣቂታ ፊት, ፀሐይ, ፊት
🤓	መነጽራም, የገጠጠ, ያገጠጠ ባለመነጽር ፊት, ፊት
🧐	የዓይን ባጅ ያደረገ ፊት
😕	ግራ የተጋባ, ግራ የተጋባ ፊት, ፊት
😟	የተጨነቀ, የተጨነቀ ፊት, ፊት
🙁	በከፊል የተኮሳተረ ፊት, የተኮሳተረ, ፊት
☹️	የተኮሳተረ, የተኮሳተረ ፊት, ፊት
😮	ሐዘኔታ, አፍ, አፍ የከፈተ ፊት, ክፍት, ፊት
