😀	gülmək, gülən üz, üz
😃	açıq, açıq ağızla gülən üz, ağız, təbəssüm, üz
😄	açıq, açıq ağız və gülən gözlərlə gülən üz, ağız, göz, təbəssüm, üz
😁	göz, gülmək, gülən gözlərlə gülən üz, təbəssüm, üz
😆	açıq, açıq ağız və bərk yumulmuş gözlərlə gülən üz, ağız, gülüş, məmnun, təbəssüm, üz
😅	açıq, açıq ağız və soyuq tərlə gülən üz, soyuq, təbəssüm, tər, üz
🤣	diyirlənən, gülməkdən nəfəsi kəsilmək, gülüş, yer, üz
😂	göz yaşı, gülüş, sevinc, sevinc göz yaşları olan üz, üz
🙂	təbəssüm, yüngülcə gülümsəyən üz, üz
🙃	baş-aşağı, başı-aşağı üz, üz
😉	göz vuran üz, göz vurmaq, üz
😊	göz, gülən gözlərlə gülümsəyən üz, təbəssüm, utanma, üz
😇	başında halə gülmsəyən üz, fantastika, halə, mələk, məsum
🥰	3 ürəkli təbəssümlü üz, aşiqlik, sevgi, vurulmaq
😍	göz, sevgi, təbəssüm, ürək, ürək formalı gözləri olan gülən üz, üz
🤩	gözlər, gülən, ulduz, ulduza heyranlıq, üz
😘	öpüş, öpüş göndərən üz, ürək, üz
😗	öpüş, öpən üz, üz
☺️	gülümsəyən üz, rahat, sakit, təbəssüm, üz
😚	bağlı, bağlı gözlərlə öpən üz, göz, öpüş, üz
😙	göz, gülən gözlərlə öpən üz, təbəssüm, öpüş, üz
😋	dadlı, dadlı yeməkdən həzz alan üz, həzz almaq, təbəssüm, um, yum, üz
😛	dil, dilini çıxarmış üz, üz
😜	dil, dilini çıxarmış və göz vuran üz, göz, göz vurmaq, zarafat, üz
🤪	böyük, dəcəl üz, göz, kiçik
😝	dad, dil, dilini çıxarmış və gözlərini möhkəm bağlamış üz, göz, qorxulu, üz
🤑	ağzı pul olan üz, ağız, pul, üz
🤗	qucaqlama, qucaqlayan üz, qucaqlaşmaq, üz
🤭	ağzını əli ilə örtmüş üz, vay
🤫	sakit, tərpənən, tərpənən sifət
🤔	düşünür, düşünən üz, üz
🤐	ağzı bağlanmış üz, ağız, zəncirbənd, üz
🤨	inamsız, qaşları qalxmış üz, skeptik
😐️	neytral, neytral üz, soyuqqanlı, üz
😑	donuq, durğun, ifadəsiz, ifadəsiz üz, üz
😶	ağız, ağızsız üz, sakit, səssiz, üz
😏	özündən razı gülümsəmək, özündən razı gülümsəyən üz, üz
😒	kefsiz, kefsiz üz, narazı, üz
🙄	fırlatmaq, göz, gözlərini fırladan üz, üz
😬	üz, üz-gözünü turşudan üz, üz-gözünü turşutmaq
🤥	adam, yalançı, yalançı adam üzü, üzü
😌	rahat üz, yüngülləşmiş, üz
😔	fikirli, fikirli üz, məyus, üz
😪	yatmaq, yuxulu üz, üz
🤤	ağız, ağız sulanan üz, sulanmaq, üz
😴	yatan üz, yatmaq, zzz, üz
😷	həkim, maska, naxoş, soyuq, tibb, tibbi maskalı üz, üz
🤒	naxoş, termometr, termometrli, xəstə, üz
🤕	baş sarğılı üz, sarğı, xəsarət, zədə, üz
🤢	iyrənmək, iyrənən üz, üz
🤮	qusan üz, qusmaq, xəstə
🤧	asqıran üz, asqırmaq, qrip, sifət, üz
🥵	hot, istivurma, pörtləmiş üz, qızarmış üz, qızdırma, tərləmə
🥶	buz, donmuş, donmuş üz, donvurma, göy üz, soyuq
🥴	birtəhər, gicəllənən, gicəllənən üz, sərxoş, çəp gözlər, əyri ağız
😵	başgicəllənmə, başıgicəllənən üz, üz
🤯	partlayan baş, şoka düşmüş
🤠	papaqlı, papaqlı qaqaş üzü, qaqaş, üz
🥳	bayram etmək, buynuz, papaq, parti, parti edən üz
😎	eynək, göz, gün eynəyi, gün eynəyi ilə gülən üz, günəş
🤓	axmaq, axmaq üz, gicbəsər, üz
🧐	monokllu üz, stuffy
