😀	Широко усмихнато лице, лице, ухилване, широка усмивка
😃	Широко усмихнато лице с големи очи, лице, отворен, усмивка, уста
😄	Широко усмихнато лице с усмихнати очи, лице, отворен, усмивка, уста
😁	Сияещо лице с усмихващи се очи, лице, око, усмивка, ухилване
😆	Широко усмихнато лице със стиснати очи, лице, смях, усмивка, уста
😅	Широко усмихнато лице с пот на челото, лице, отворен, пот, усмивка
🤣	Заливащо се от смях лице, заливане, лице, смях
😂	Лице със сълзи от радост, лице, радост, смях, сълза
🙂	Леко усмихнато лице, лице, усмивка
🙃	Обърнато наобратно лице, лице, наобратно
😉	Намигащо лице, лице, намигване
😊	Усмихнато лице с усмихнати очи, изчервяване, лице, око, усмивка
😇	Усмихнато лице с ореол, ангел, лице, невинен, ореол
🥰	влюбен, любов, обожание, усмихнато лице със сърца
😍	Усмихнато лице с очи във форма на сърце, лице, око, сърце, усмивка
🤩	дълбоко запленен, звезда, лице, очи, широко усмихнат
😘	Лице, пращащо въздушна целувка, лице, сърце, целувка
😗	Целуващо лице, лице, целувка
☺️	Усмихнато лице, лице, спокоен, усмивка
😚	Целуващо лице със затворени очи, затворен, лице, око, целувка
😙	Целуващо лице с усмихнати очи, лице, око, усмивка, целувка
😋	Лице, наслаждаващо се на вкусна храна, вкусен, лице, наслаждавам се, усмивка
😛	Плезещо се лице, език, лице
😜	Намигащо и плезещо се лице, език, лице, намигване, шега
🤪	Налудничаво лице, големи, малки, око
😝	Лице с изплезен език и стиснати очи, вкус, език, лице, ужасен
🤑	Лице с пари в устата, лице, пари, уста
🤗	Прегръщащо лице, лице, прегръдка, прегръщам
🤭	Лице с ръка пред устата, издаване, опа!
🤫	Лице, което прави „шт!“, знак за „шт!“, тихо
🤔	Замислено лице, замислен, лице
🤐	Лице с уста с цип, лице, уста, цип
🤨	Лице с повдигната вежда, недоверие, скептично
😐️	Неутрално лице, лице, непроницаем, неутрален
😑	Безизразно лице, безизразен, лице
😶	Лице без уста, лице, тих, уста
😏	Подсмихващо се лице, лице, подсмихване
😒	Недоволно лице, лице, недоволен, нещастен
🙄	Лице с извъртени нагоре очи, извъртам, лице, очи
😬	Лице с гримаса, гримаса, лице
🤥	лице, лъжа, лъжещо лице, пинокио
😌	Облекчено лице, лице, облекчен
😔	Угрижено лице, лице, обезсърчен, угрижен
😪	Сънено лице, лице, сън
🤤	лице, лице с капеща слюнка, слюнка
😴	Спящо лице, лице, сън
😷	Лице с медицинска маска, болен, лекар, лице, маска
🤒	Лице с термометър, болен, лице, термометър
🤕	Лице с превръзка на главата, лице, нараняване, превръзка, рана
🤢	лице, лице пред повръщане, отвратено, повръщане
🤮	Повръщащо лице, болен, повръщане
🤧	кихане, кихащо лице, лице, наздраве
🥵	горещина, зачервено лице, зачервяване, температура, топлинен удар
🥶	замръзнало лице, лед, посинял, студ, хапещ студ
🥴	замаян, зигзагообразна уста, неравен поглед, опиянен, опиянено лице, пийнал
😵	Замаяно лице, замаян, лице
🤯	Експлодираща глава, шокиран
🤠	каубой, каубойка, лице, лице с каубойска шапка, шапка
🥳	купон, купонджийско лице, надувалка, празненство, шапка
😎	Усмихнато лице със слънчеви очила, лице, слънце, слънчеви очила, усмивка
🤓	Лице на „читанка“, зубър, лице, читанка
🧐	Лице с монокъл, консервативен, старомоден
😕	Объркано лице, лице, объркан
😟	Разтревожено лице, лице, разтревожен
🙁	Леко намръщено лице, гримаса, лице
☹️	Намръщено лице, гримаса, лице
😮	Лице с отворена уста, лице, отворен, съчувствие, уста
😯	Изненадано лице, впечатлен, изненадан, лице
😲	Учудено лице, изумен, лице, учуден, шокиран
😳	Изчервено лице, изчервен, лице
🥺	кучешки поглед, милост, умоляване, умоляващо лице
😦	Намръщено лице с отворена уста, гримаса, лице, отворен, уста
😧	Изстрадало лице, изстрадал, лице
😨	Изплашено лице, изплашен, лице, страх
😰	Лице с отворена уста и студена пот, лице, пот, син, студен
😥	Лице с разочарование и облекчение, лице, облекчен, разочарован
😢	Разплакано лице, лице, плач, сълза, тъжен
😭	Силно плачещо лице, лице, плач, сълза, тъжен
😱	Лице, крещящо от страх, вик, изплашен, лице, страх
😖	Смутено лице, лице, смутен
😣	Упорито лице, лице, упорит
😞	Разочаровано лице, лице, разочарован
😓	Лице със студена пот, лице, пот, студен
😩	Изтощено лице, изтощен, лице, уморен
😫	Уморено лице, лице, уморен
🥱	прозяващо се лице, прозявка, скука, умора
😤	Лице с излизаща от носа пара, лице, победа, триумф
😡	Нацупено лице, гневен, лице, сърдит, червен, ярост
😠	Ядосано лице, гневен, лице, сърдит
🤬	Лице със символи върху устата, ругатни
😈	Усмихнато лице с рога, лице, рога, усмивка, фантастичен
👿	Дяволче, демон, дявол, лице, фантастичен
💀	лице, смърт, тяло, череп, чудовище
☠️	Череп с кръстосани кости, кръстосани кости, лице, смърт, череп
💩	изпражнение, лице, чудовище
🤡	клоун, клоунско лице, лице
👹	лице, страшилище, фантастичен, чудовище, японски
👺	гоблин, лице, фантастичен, чудовище, японски
👻	лице, призрак, създание, фантастичен, чудовище
👽️	НЛО, извънземно, космос, лице, чудовище
👾	НЛО, извънземно, извънземно чудовище, космос, лице, чудовище
🤖	Лице на робот, лице, робот, чудовище
😺	Усмихнато котешко лице с отворена уста, котка, лице, усмивка, уста
😸	Ухилено котешко лице с усмихнати очи, котка, лице, усмивка, ухилване
😹	Котешко лице със сълзи от радост, котка, лице, радост, сълза
😻	Усмихнато котешко лице с очи с форма на сърце, котка, лице, любов, сърце
😼	Котешко лице с изкривена усмивка, ироничен, котка, лице, усмивка
😽	Целуващо котешко лице със затворени очи, котка, лице, око, целувка
🙀	Изтощено котешко лице, изненадан, изтощен, котка, лице
😿	Плачещо котешко лице, котка, плач, сълза, тъжен
😾	Нацупено котешко лице, котка, лице, нацупен
🙈	видях, жест, лице, маймуна, „не видях“
🙉	жест, лице, маймуна, чух, „не чух“
🙊	жест, забранено, знам, лице, маймуна, не, „не знам“
💋	Отпечатък от целувка, отпечатък, отпечатък от целувка, романтика, устни, целувка
💌	Любовно писмо, любов, любовно писмо, писмо, романтика, сърце
💘	Сърце със стрела, амур, купидон, романтика, сърце
💝	Сърце с панделка, лента, сърце
💖	Блестящо сърце, искра, развълнуван, сърце
💗	Увеличаващо се сърце, нервен, пулс, развълнуван, сърце, туптящо сърце
💓	Биещо сърце, биене, биещо, сърце, туптене
💞	Обикалящи сърца, обикалящ, сърце
💕	Две сърца, любов, сърце
💟	Украса сърце, сърце
❣️	Плътен орнамент от сърце – удивителна, пунктуация, сърце, удивителна
💔	Разбито сърце, разбито, сърце
❤️	Червено сърце, сърце
🧡	оранжево, оранжево сърце
💛	Жълто сърце, жълто, сърце
💚	Зелено сърце, зелен, сърце
💙	Синьо сърце, син, сърце
💜	Лилаво сърце, лилаво, сърце
🤎	кафяво, кафяво сърце, сърце
🖤	зло, сърце, черно, черно сърце
🤍	бяло, бяло сърце, сърце
💯	100, резултат, сто, сто точки
💢	Символ за гняв, гняв, комикс, ядосан
💥	бум, комикс, сблъсък
💫	замайване, звезда, комикс
💦	капки пот, комикс, пот, пръска
💨	комикс, спринт, тичане
🕳️	дупка, яма
💣️	бомба, комикс
💬	Балонче за говор, балонче, говор, диалог, комикс
👁‍🗨	балонче за говор, око, око в балонче за говор, свидетел
🗨️	Балонче за говор отляво, говор, диалог
🗯️	Балонче за гняв отдясно, балонче, гняв, ядосан
💭	Балонче за мисъл, балонче, комикс, мисъл
💤	комикс, спане
👋	Махане с ръка, махане, ръка, тяло
👋🏻	Махане с ръка, Махане с ръка: светла кожа, махане, ръка, светла кожа, тяло
👋🏼	Махане с ръка, Махане с ръка: средно светла кожа, махане, ръка, средно светла кожа, тяло
👋🏽	Махане с ръка, Махане с ръка: средна на цвят кожа, махане, ръка, средна на цвят кожа, тяло
👋🏾	Махане с ръка, Махане с ръка: средно тъмна кожа, махане, ръка, средно тъмна кожа, тяло
👋🏿	Махане с ръка, Махане с ръка: тъмна кожа, махане, ръка, тъмна кожа, тяло
🤚	вдигната, вдигната длан, длан
🤚🏻	вдигната, вдигната длан: светла кожа, длан, светла кожа
🤚🏼	вдигната, вдигната длан: средно светла кожа, длан, средно светла кожа
🤚🏽	вдигната, вдигната длан: средна на цвят кожа, длан, средна на цвят кожа
🤚🏾	вдигната, вдигната длан: средно тъмна кожа, длан, средно тъмна кожа
🤚🏿	вдигната, вдигната длан: тъмна кожа, длан, тъмна кожа
🖐️	Вдигната ръка с разперени пръсти, пръст, разперен, ръка, тяло
🖐🏻	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: светла кожа, пръст, разперен, ръка, светла кожа, тяло
🖐🏼	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: средно светла кожа, пръст, разперен, ръка, средно светла кожа, тяло
🖐🏽	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: средна на цвят кожа, пръст, разперен, ръка, средна на цвят кожа, тяло
🖐🏾	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: средно тъмна кожа, пръст, разперен, ръка, средно тъмна кожа, тяло
🖐🏿	Вдигната ръка с разперени пръсти, Вдигната ръка с разперени пръсти: тъмна кожа, пръст, разперен, ръка, тъмна кожа, тяло
✋	Вдигната ръка, ръка, тяло
✋🏻	Вдигната ръка, Вдигната ръка: светла кожа, ръка, светла кожа, тяло
✋🏼	Вдигната ръка, Вдигната ръка: средно светла кожа, ръка, средно светла кожа, тяло
✋🏽	Вдигната ръка, Вдигната ръка: средна на цвят кожа, ръка, средна на цвят кожа, тяло
✋🏾	Вдигната ръка, Вдигната ръка: средно тъмна кожа, ръка, средно тъмна кожа, тяло
✋🏿	Вдигната ръка, Вдигната ръка: тъмна кожа, ръка, тъмна кожа, тяло
🖖	Поздрав на вулканите, вулкан, пръст, ръка, спок
🖖🏻	Поздрав на вулканите, Поздрав на вулканите: светла кожа, вулкан, пръст, ръка, светла кожа, спок
🖖🏼	Поздрав на вулканите, Поздрав на вулканите: средно светла кожа, вулкан, пръст, ръка, спок, средно светла кожа
🖖🏽	Поздрав на вулканите, Поздрав на вулканите: средна на цвят кожа, вулкан, пръст, ръка, спок, средна на цвят кожа
🖖🏾	Поздрав на вулканите, Поздрав на вулканите: средно тъмна кожа, вулкан, пръст, ръка, спок, средно тъмна кожа
🖖🏿	Поздрав на вулканите, Поздрав на вулканите: тъмна кожа, вулкан, пръст, ръка, спок, тъмна кожа
👌	ok, Жест „окей“, окей, ръка, тяло
👌🏻	ok, Жест „окей“, Жест „окей“: светла кожа, окей, ръка, светла кожа, тяло
👌🏼	ok, Жест „окей“, Жест „окей“: средно светла кожа, окей, ръка, средно светла кожа, тяло
👌🏽	ok, Жест „окей“, Жест „окей“: средна на цвят кожа, окей, ръка, средна на цвят кожа, тяло
👌🏾	ok, Жест „окей“, Жест „окей“: средно тъмна кожа, окей, ръка, средно тъмна кожа, тяло
👌🏿	ok, Жест „окей“, Жест „окей“: тъмна кожа, окей, ръка, тъмна кожа, тяло
🤏	малка сума, нещо малко, ръка с приближени палец и показалец
🤏🏻	малка сума, нещо малко, ръка с приближени палец и показалец, ръка с приближени палец и показалец: светла кожа, светла кожа
🤏🏼	малка сума, нещо малко, ръка с приближени палец и показалец, ръка с приближени палец и показалец: средно светла кожа, средно светла кожа
🤏🏽	малка сума, нещо малко, ръка с приближени палец и показалец, ръка с приближени палец и показалец: средна на цвят кожа, средна на цвят кожа
🤏🏾	малка сума, нещо малко, ръка с приближени палец и показалец, ръка с приближени палец и показалец: средно тъмна кожа, средно тъмна кожа
🤏🏿	малка сума, нещо малко, ръка с приближени палец и показалец, ръка с приближени палец и показалец: тъмна кожа, тъмна кожа
✌️	Жест за победа, победа, ръка, тяло
✌🏻	Жест за победа, Жест за победа: светла кожа, победа, ръка, светла кожа, тяло
✌🏼	Жест за победа, Жест за победа: средно светла кожа, победа, ръка, средно светла кожа, тяло
✌🏽	Жест за победа, Жест за победа: средна на цвят кожа, победа, ръка, средна на цвят кожа, тяло
✌🏾	Жест за победа, Жест за победа: средно тъмна кожа, победа, ръка, средно тъмна кожа, тяло
✌🏿	Жест за победа, Жест за победа: тъмна кожа, победа, ръка, тъмна кожа, тяло
🤞	късмет, палци, ръка, стискане, стискане на палци
🤞🏻	късмет, палци, ръка, светла кожа, стискане, стискане на палци, стискане на палци: светла кожа
🤞🏼	късмет, палци, ръка, средно светла кожа, стискане, стискане на палци, стискане на палци: средно светла кожа
🤞🏽	късмет, палци, ръка, средна на цвят кожа, стискане, стискане на палци, стискане на палци: средна на цвят кожа
🤞🏾	късмет, палци, ръка, средно тъмна кожа, стискане, стискане на палци, стискане на палци: средно тъмна кожа
🤞🏿	късмет, палци, ръка, стискане, стискане на палци, стискане на палци: тъмна кожа, тъмна кожа
🤟	жест „обичам те“, обичам те, ръка
🤟🏻	жест „обичам те“, жест „обичам те“: светла кожа, обичам те, ръка, светла кожа
🤟🏼	жест „обичам те“, жест „обичам те“: средно светла кожа, обичам те, ръка, средно светла кожа
🤟🏽	жест „обичам те“, жест „обичам те“: средна на цвят кожа, обичам те, ръка, средна на цвят кожа
🤟🏾	жест „обичам те“, жест „обичам те“: средно тъмна кожа, обичам те, ръка, средно тъмна кожа
🤟🏿	жест „обичам те“, жест „обичам те“: тъмна кожа, обичам те, ръка, тъмна кожа
🤘	Знак на рогата, пръст, рога, ръка, тяло
🤘🏻	Знак на рогата, Знак на рогата: светла кожа, пръст, рога, ръка, светла кожа, тяло
🤘🏼	Знак на рогата, Знак на рогата: средно светла кожа, пръст, рога, ръка, средно светла кожа, тяло
🤘🏽	Знак на рогата, Знак на рогата: средна на цвят кожа, пръст, рога, ръка, средна на цвят кожа, тяло
🤘🏾	Знак на рогата, Знак на рогата: средно тъмна кожа, пръст, рога, ръка, средно тъмна кожа, тяло
🤘🏿	Знак на рогата, Знак на рогата: тъмна кожа, пръст, рога, ръка, тъмна кожа, тяло
🤙	знак, знак за обаждане, обаждане, ръка
🤙🏻	знак, знак за обаждане, знак за обаждане: светла кожа, обаждане, ръка, светла кожа
🤙🏼	знак, знак за обаждане, знак за обаждане: средно светла кожа, обаждане, ръка, средно светла кожа
🤙🏽	знак, знак за обаждане, знак за обаждане: средна на цвят кожа, обаждане, ръка, средна на цвят кожа
🤙🏾	знак, знак за обаждане, знак за обаждане: средно тъмна кожа, обаждане, ръка, средно тъмна кожа
🤙🏿	знак, знак за обаждане, знак за обаждане: тъмна кожа, обаждане, ръка, тъмна кожа
👈️	Показалец наляво откъм опакото на ръката, показалец, показалец, сочещ наляво, пръст, соча
👈🏻	Показалец наляво откъм опакото на ръката, показалец, показалец, сочещ наляво, показалец, сочещ наляво: светла кожа, пръст, светла кожа, соча
👈🏼	Показалец наляво откъм опакото на ръката, показалец, показалец, сочещ наляво, показалец, сочещ наляво: средно светла кожа, пръст, соча, средно светла кожа
👈🏽	Показалец наляво откъм опакото на ръката, показалец, показалец, сочещ наляво, показалец, сочещ наляво: средна на цвят кожа, пръст, соча, средна на цвят кожа
👈🏾	Показалец наляво откъм опакото на ръката, показалец, показалец, сочещ наляво, показалец, сочещ наляво: средно тъмна кожа, пръст, соча, средно тъмна кожа
👈🏿	Показалец наляво откъм опакото на ръката, показалец, показалец, сочещ наляво, показалец, сочещ наляво: тъмна кожа, пръст, соча, тъмна кожа
👉️	Показалец надясно откъм опакото на ръката, показалец, показалец, сочещ надясно, пръст, соча
