😀	cara, cara molt somrient, rialla, somriure, ulls
😃	boca oberta, cara, cara molt somrient amb els ulls ben oberts, somriure
😄	boca oberta, cara, cara amb rialla i els ulls somrients, somriure
😁	cara, cara molt somrient amb els ulls alegres, gran somriure, ulls
😆	boca oberta, cara, cara somrient amb els ulls tancats fortament, somriure, ulls tancats
😅	cara, cara somrient amb una gota de suor, somriure, suor freda
🤣	cara, cara que es peta de riure, partir-se, petar-se de riure, pixar-se, riure
😂	alegria, cara, cara amb llàgrimes d’alegria, llàgrimes
🙂	cara, cara que somriu una mica, somriure tímid
🙃	cara, cara de cap per avall, revés
😉	cara, cara que pica l’ullet, ullet
😊	cara, cara somrient amb els ulls alegres, galtes vermelles, somriure
😇	angelet, aurèola, cara somrient amb aurèola, halo, sant, santa
🥰	amor, cara somrient amb 3 cors, enamorada, enamorament, enamorat
😍	amor, cara, cara somrient amb ulls en forma de cor, cor, ulls
🤩	cara, cara amb estrelles als ulls, estrella, somriure, ulls
😘	amor, cara, cara que llança un petó, cor, petó
😗	cara, cara que fa un petó, petó
☺️	cara, cara relaxada, cara somrient, somriure
😚	cara, cara que fa un petó amb els ulls tancats, petó, ulls tancats
😙	cara, cara que fa un petó amb els ulls alegres, petó, ulls alegres
😋	cara, cara d’assaborir un menjar deliciós, deliciós, llépol cara d’assaborir un menjar deliciós, nyam, somriure
😛	cara, cara que fa llengotes, llengota, llengua, llengua fora
😜	cara, cara que fa llengotes i pica l’ullet, llengota, llengua, ullet
🤪	boig, boja, cara de bogeria, ull gran, ull petit
😝	cara, cara amb els ulls tancats i la llengua fora, cara que fa llengotes i amb els ulls tancats, ecs, llengota, llengua, ulls tancats
🤑	cara, cara de diners, diners, llengua, ulls
🤗	abraçada, cara, cara amb abraçada
🤭	cara amb la mà sobre la boca, tapant-se la boca, ups
🤫	callar, cara que demana silenci, silenci
🤔	cara, cara pensativa, pensant, pensatiu, pensativa
🤐	boca, boca tancada, cara, cara amb cremallera a la boca, cremallera
🤨	cara amb una cella aixecada, desconfiada, desconfiat, escèptic, escèptica
😐️	cara, cara neutra, neutral
😑	cara, cara inexpressiva, inexpressiu, inexpressiva, inexpressió
😶	callada, callat, cara, cara sense boca, sense boca, silenci
😏	cara, cara somrient amb superioritat, somriure astut, superioritat
😒	avorriment, cara, cara de desaprovació, desaprovació
🙄	cara, cara amb els ulls en blanc, ulls en blanc
😬	cara, cara que fa una ganyota amb les dents, dents, ganyota
🤥	Pinotxo, cara, cara de mentider, mentider, nas
😌	alleujament, cara, cara d’alleujament
😔	abatuda, cara, cara desanimada, desanimada, pensativa
😪	cara, cara de son, son
🤤	bava, bavejant, cara, cara que baveja
😴	cara, cara de dormir, dormint, son, zzz
😷	cara, cara amb mascareta, cara amb màscara, malaltia, mascareta, màscara
🤒	cara, cara amb termòmetre, malalt, malalta, malaltia, termòmetre
🤕	cap embenat, cara, cara amb el cap embenat
🤢	cara, cara de nàusees, mareig, marejada, marejat, nàusea, vomitar
🤮	cara, cara que vomita, vòmit
🤧	cara, cara que esternuda, constipat, esternudant, esternut, mocs, salut
🥵	calor, cara de calor, cara vermella, febre, suor
🥶	cara blava, cara de fred, caramell, fred, gel, glaçat
🥴	beguda, begut, boca ondulada, cara de mareig, embriac, embriaga, marejada, marejat, ulls desiguals
😵	cara, cara marejada, marejada, marejat
🤯	cap que explota, estupefacta, estupefacte
🤠	barret, cara, cara amb barret de vaquer, cowboy, vaquer, vaquera
🥳	barret, cara festiva, celebració, espanta-sogres, festa
😎	cara, cara somrient amb ulleres de sol, sol, ulleres
🤓	aplicada, aplicat, cara de setciències, estudiar, estudiosa, estudiós
🧐	cara amb monocle, estirada, estirat, monocle
😕	cara, cara de confusió, confosa, confusió, confós
😟	cara, cara de preocupació, preocupació, preocupada, preocupat
🙁	cara, cara una mica arrufada, emmurriat, empipat, enfadat
☹️	cara, cara arrufada, emmurriat, empipat, enfadat
😮	boca oberta, cara, cara amb la boca oberta
😯	cara, cara de sorpresa, sorpresa
😲	cara, cara estupefacta, estupefacta, estupefacte
😳	cara, cara enrojolada, enrojolada, galtes vermelles, vergonya
🥺	cara de súplica, pietat, súplica, ulls de cadell
😦	boca oberta, cara, cara emmurriada amb la boca oberta, emmurriada
😧	angoixa, angoixada, angoixat, cara, cara d’angoixa
😨	atemorida, atemorit, cara de por, espantada, espantat, por
😰	boca oberta, cara, cara amb la boca oberta i suor freda, nervis, suor freda
😥	alleujament, cara, cara de decepció, però alleujada, decepció, uf
😢	cara, cara que plora, llàgrimes, trist, trista
😭	cara, cara que plora desconsoladament, llàgrimes de desconsol
😱	cara, cara que crida de por, crit de por, pànic, terror
😖	cara, cara de frustració, frustració, frustrada, frustrat
😣	cara, cara de perseverança, perseverança
😞	cara, cara de decepció, decebuda, decebut, decepció
😓	cara, cara amb suor freda, suor freda
😩	cara, cara d’esgotament, esgotada, esgotament, esgotat
😫	cansament, cara, cara de cansament
🥱	avorriment, badall, cansament, cara que badalla
😤	cara, cara que treu fum del nas, fum, nas, victòria
😡	cara, cara enutjada, cara vermella, enutjada, enutjat
😠	cara, cara enfadada, enfadada, enfadat
🤬	cara amb símbols a la boca, insults, paraulotes, renecs
😈	banyes, cara, cara somrient amb banyes, dimoni, somriure
👿	cara, cara enfadada amb banyes, diable, dimoni, dimoniet, fantasia, trapella
💀	calavera, cara, conte, crani, monstre, mort
☠️	calavera, cara, crani, crani amb ossos, monstre, ossos
💩	caca, cara, còmic, merda, monstre
🤡	cara, cara de pallasso, pallassa, pallasso
