😀	lledwenu, wyneb, wyneb yn gwenu â cheg agored
😃	agored, ceg, gwenu, wyneb, wyneb yn gwenu â cheg agored a llygaid mawr
😄	ceg, gwenu, llygad, wyneb, wyneb yn gwenu â cheg agored a gwên yn y llygaid
😁	gwenu, lledwenu, llygaid, wyneb, wyneb yn lledwenu â gwên yn y llygaid
😆	bodlon, ceg, chwerthin, wyneb, wyneb yn gwenu â cheg agored a llygaid ynghau
😅	chwys, gofid, gwenu, wyneb, wyneb yn gwenu â cheg agored a chwys o ofid
🤣	chwerthin, llawr, rholio, rholio ar y llawr yn chwerthin, wyneb
😂	chwerthin, dagrau, hapusrwydd, wyneb, wyneb â dagrau hapusrwydd
🙂	gwenu, gwyneb, wyneb ag ychydig o wên arni
🙃	ben i waered, wyneb, wyneb â’i ben i waered
😉	llygaid yn wincio, winc, wyneb
😊	cochi, gwenu, llygad, wyneb, wyneb yn gwenu â gwên yn y llygaid
😇	angel, diniwed, eurgylch, wyneb, wyneb yn gwenu ag eurgylch
🥰	dwli, gwirioni, mewn cariad, wyneb yn gwenu â thair calon
😍	calon, cariad, gwên, wyneb, wyneb yn gwenu â chalonnau yn y llygaid
🤩	llygaid, seren, wyneb, wyneb â ser yn y llygaid, yn wên o glust i glust
😘	calon, cusan, wyneb, wyneb yn chwythu cusan
😗	cusan, wyneb, wyneb yn rhoi cusan
☺️	amlinelliad, gwên, wyneb, wyneb yn gwenu, ymlacio
😚	caeedig, cusan, llygad, wyneb, wyneb yn rhoi cusan â llygaid ynghau
😙	cusan, gwên, llygad, wyneb, wyneb yn rhoi cusan â gwên yn y llygaid
😋	blasu, blasus, gwenu, wyneb, wyneb yn blasu bwyd blasus
😛	tafod, wyneb, wyneb â thafod yng ngolwg
😜	jôc, tafod, winc, wyneb, wyneb â thafod yng ngolwg a llygaid yn wincio
🤪	bach, llygad, mawr, wyneb penwan
😝	afiach, blasu, tafod, wyneb, wyneb â thafod yng ngolwg a llygaid ynghau
🤑	arian, ceg, wyneb, wyneb symbol arian
🤗	cwtsh, wyneb, wyneb yn rhoi cwtsh
🤭	wps, wyneb gyda llaw dros y geg
🤫	hisht, tawelwch, wyneb hisht
🤔	meddwl, wyneb, wyneb yn meddwl
🤐	caeedig, ceg, sip, wyneb, wyneb â sip dros y geg
🤨	amheuaeth, sgeptig, wyneb gydag ael wedi codi
