😀	glad, grinende ansigt, smilende ansigt, smiley
😃	glad, grinende ansigt med store øjne, smiler, smiley
😄	glad, grinende ansigt med smilende øjne, smil, smiley, smileøjne
😁	ansigt der griner, glad, smiley, strålende ansigt med smilende øjne
😆	glad, grinende ansigt med lukkede øjne, grinende ansigt med åben mund og lukkede øjne, lukkede øjne, smil, smil med lukkede øjne
😅	grine, grinende ansigt med sveddråbe, sved, åben mund
🤣	ansigt, griner, gulv, ler, ruller, ruller rundt på gulvet af grin
😂	ansigt med glædestårer, glad, glæde, tårer
🙂	ansigt, let smilende ansigt, smil
🙃	ansigt, omvendt, omvendt ansigt, på hovedet
😉	ansigt, ansigt der blinker, blink, blinkende ansigt
😊	smil med smileøjne, smilende ansigt og øjne, smileøjne
😇	engel, glorie, smil, smilende ansigt med glorie, uskyldig
🥰	forelsket, forgude, kærlighed, smilende ansigt med tre hjerter, være lun på
😍	hjerter, hjerteøjne, kærlighed, smilende ansigt med hjerteøjne
🤩	ansigt, benovet, leende, stjerne, øjne
😘	ansigt, kyssende ansigt, sender kys
😗	ansigt, kys, kysseansigt, kysser
☺️	afslappet, smil, smilende ansigt, tilpas
😚	ansigt, kys, kysseansigt med lukkede øjne, lukkede øjne
😙	ansigt, kysseansigt med smilende øjne, smilende øjne
😋	ansigt, god mad, nydende ansigt, smil
😛	ansigt, ansigt med tungen ude, række tunge
😜	ansigt med tungen ude og blinkende øje, blink, blinke, drille, række tunge
🤪	fjoget, fjollet, lille, skørt ansigt, stort, øje
😝	ansigt, ansigt med tungen ude og sammenknebne øjne, rækker tunge
🤑	ansigt, ansigt med dollartegn, mund, penge
🤗	ansigt, knus, knuser, kram, kramme, krammende ansigt
🤭	ansigt med hånd over munden, ups
🤫	stille, tysse, tyssende ansigt
🤔	ansigt, tanker, tænkende, tænkende ansigt
🤐	ansigt, ansigt med lynlåsmund, lynlås, mund
🤨	ansigt med løftet øjenbryn, mistro, skepsis
😐️	ingen kommentar, neutralt ansigt, pokeransigt
😑	ingen kommentar, pokeransigt, udtryksløst ansigt
😶	ansigt, ansigt uden mund, mund, stille, tavs
😏	ansigt, ansigt med smørret grin, smørret
😒	ansigt, ikke glad, uimponeret ansigt
🙄	ansigt, ansigt med rullende øjne, rullende, øjne
😬	ansigt, lave grimasse, sammenbidt ansigt
🤥	ansigt, lang næse, lyver, løgn, løgneransigt, pinocchio
😌	ansigt, lettelse, lettet ansigt
😔	ansigt, eftertænksom, eftertænksomt ansigt, nedslået
😪	ansigt, dyb søvn, søvnigt ansigt, træt
🤤	ansigt, savl, savlende ansigt, savler
😴	ansigt, sove, sovende ansigt, søvn, zzz
😷	ansigt med mundbind, doktor, forkølet, læge, maske, mundbind, syg
🤒	ansigt, ansigt med termometer, syg, termometer
🤕	ansigt, ansigt med bandage, bandage, skade, smerte
🤢	ansigt med kvalme, bræk, kaste op, kvalme, opkast, syg
🤮	ansigt, der kaster op, opkast, syg
🤧	forkølet, lommetørklæde, nys, nysende ansigt, nyser, prosit, pudser næse, syg, sygdom
🥵	feber, hedeslag, rød i hovedet, svede, svedende ansigt, varm
🥶	blåfrossen, forfrysning, fryse, frysende ansigt, istap, kold
🥴	beruset, bølget mund, småfuld, svimmel, uens øjne, ørt ansigt
😵	ansigt, svimmel, svimmelt ansigt, ør
🤯	chokeret, hoved, der eksploderer
🤠	ansigt, ansigt med cowboyhat, cowboy, cowboyhat, cowgirl, hat
🥳	fejring, fest, festansigt, hat, truthorn
😎	cool, sej, smil med solbriller, smilende ansigt med solbriller, solbriller
🤓	ansigt, nørd, nørdansigt
🧐	ansigt med monokel, gammeldags
😕	ansigt, forvirret ansigt
😟	ansigt, bekymret, bekymret ansigt, bekymring
🙁	ansigt, lidt trist ansigt, trist
☹️	ansigt, trist, trist ansigt
