😀	face, grin, grinning face
😃	face, grinning face with big eyes, mouth, open, smile
😄	eye, face, grinning face with smiling eyes, mouth, open, smile
😁	beaming face with smiling eyes, eye, face, grin, smile
😆	face, grinning squinting face, laugh, mouth, satisfied, smile
😅	cold, face, grinning face with sweat, open, smile, sweat
🤣	face, floor, laugh, rolling, rolling on the floor laughing
😂	face, face with tears of joy, joy, laugh, tear
🙂	face, slightly smiling face, smile
🙃	face, upside-down, upside-down face
😉	face, wink, winking face
😊	blush, eye, face, smile, smiling face with smiling eyes
😇	angel, face, fantasy, halo, innocent, smiling face with halo
🥰	adore, crush, hearts, in love, smiling face with hearts
😍	eye, face, love, smile, smiling face with heart-eyes
🤩	eyes, face, grinning, star, star-struck
😘	face, face blowing a kiss, kiss
😗	face, kiss, kissing face
☺️	face, outlined, relaxed, smile, smiling face
😚	closed, eye, face, kiss, kissing face with closed eyes
😙	eye, face, kiss, kissing face with smiling eyes, smile
😋	delicious, face, face savoring food, savouring, smile, yum
😛	face, face with tongue, tongue
😜	eye, face, joke, tongue, wink, winking face with tongue
🤪	eye, goofy, large, small, zany face
😝	eye, face, horrible, squinting face with tongue, taste, tongue
🤑	face, money, money-mouth face, mouth
🤗	face, hug, hugging, hugging face
🤭	face with hand over mouth, whoops
🤫	quiet, shush, shushing face
🤔	face, thinking, thinking face
🤐	face, mouth, zipper, zipper-mouth face
🤨	distrust, face with raised eyebrow, skeptic
😐️	deadpan, face, meh, neutral, neutral face
😑	expressionless, expressionless face, face, inexpressive, meh, unexpressive
😶	face, face without mouth, mouth, quiet, silent
😏	face, smirk, smirking face
😒	face, unamused, unamused face, unhappy
🙄	eyeroll, eyes, face, face with rolling eyes, rolling
😬	face, grimace, grimacing face
🤥	face, lie, lying face, pinocchio
😌	face, relieved, relieved face
😔	dejected, face, pensive, pensive face
😪	face, sleep, sleepy face
🤤	drooling, drooling face, face
😴	face, sleep, sleeping face, zzz
😷	cold, doctor, face, face with medical mask, mask, sick
🤒	face, face with thermometer, ill, sick, thermometer
🤕	bandage, face, face with head-bandage, hurt, injury
🤢	face, nauseated, nauseated face, vomit
🤮	face vomiting, sick, vomit
🤧	face, gesundheit, sneeze, sneezing face
🥵	feverish, heat stroke, hot, hot face, red-faced, sweating
🥶	blue-faced, cold, cold face, freezing, frostbite, icicles
🥴	dizzy, intoxicated, tipsy, uneven eyes, wavy mouth, woozy face
😵	dizzy, dizzy face, face
🤯	exploding head, shocked
🤠	cowboy, cowboy hat face, cowgirl, face, hat
🥳	celebration, hat, horn, party, partying face
😎	bright, cool, face, smiling face with sunglasses, sun, sunglasses
🤓	face, geek, nerd, nerd face
🧐	face with monocle, stuffy
😕	confused, confused face, face, meh
😟	face, worried, worried face
🙁	face, frown, slightly frowning face
☹️	face, frown, frowning face
😮	face, face with open mouth, mouth, open, sympathy
😯	face, hushed, hushed face, stunned, surprised
😲	astonished, astonished face, face, shocked, totally
😳	dazed, face, flushed, flushed face
🥺	begging, mercy, pleading face, puppy eyes
😦	face, frown, frowning face with open mouth, mouth, open
😧	anguished, anguished face, face
😨	face, fear, fearful, fearful face, scared
😰	anxious face with sweat, blue, cold, face, rushed, sweat
😥	disappointed, face, relieved, sad but relieved face, whew
😢	cry, crying face, face, sad, tear
😭	cry, face, loudly crying face, sad, sob, tear
😱	face, face screaming in fear, fear, munch, scared, scream
😖	confounded, confounded face, face
😣	face, persevere, persevering face
😞	disappointed, disappointed face, face
😓	cold, downcast face with sweat, face, sweat
😩	face, tired, weary, weary face
😫	face, tired, tired face
🥱	bored, tired, yawn, yawning face
😤	face, face with steam from nose, triumph, won
😡	angry, face, mad, pouting, pouting face, rage, red
😠	angry, angry face, face, mad
🤬	face with symbols on mouth, swearing
😈	face, fairy tale, fantasy, horns, smile, smiling face with horns
👿	angry face with horns, demon, devil, face, fantasy, imp
💀	death, face, fairy tale, monster, skull
☠️	crossbones, death, face, monster, skull, skull and crossbones
💩	dung, face, monster, pile of poo, poo, poop
🤡	clown, clown face, face
👹	creature, face, fairy tale, fantasy, monster, ogre
👺	creature, face, fairy tale, fantasy, goblin, monster
👻	creature, face, fairy tale, fantasy, ghost, monster
👽️	alien, creature, extraterrestrial, face, fantasy, ufo
👾	alien, alien monster, creature, extraterrestrial, face, monster, ufo
🤖	face, monster, robot
😺	cat, face, grinning, grinning cat, mouth, open, smile
😸	cat, eye, face, grin, grinning cat with smiling eyes, smile
😹	cat, cat with tears of joy, face, joy, tear
😻	cat, eye, face, heart, love, smile, smiling cat with heart-eyes
😼	cat, cat with wry smile, face, ironic, smile, wry
😽	cat, eye, face, kiss, kissing cat
🙀	cat, face, oh, surprised, weary, weary cat
😿	cat, cry, crying cat, face, sad, tear
😾	cat, face, pouting, pouting cat
🙈	evil, face, forbidden, monkey, see, see-no-evil monkey
🙉	evil, face, forbidden, hear, hear-no-evil monkey, monkey
🙊	evil, face, forbidden, monkey, speak, speak-no-evil monkey
💋	kiss, kiss mark, lips
💌	heart, letter, love, love letter, mail
💘	arrow, cupid, heart with arrow
💝	heart with ribbon, ribbon, valentine
💖	excited, sparkle, sparkling heart
💗	excited, growing, growing heart, nervous, pulse
💓	beating, beating heart, heartbeat, pulsating
💞	revolving, revolving hearts
💕	love, two hearts
💟	heart, heart decoration
❣️	exclamation, heart exclamation, mark, punctuation
💔	break, broken, broken heart
❤️	heart, red heart
🧡	orange, orange heart
💛	yellow, yellow heart
💚	green, green heart
💙	blue, blue heart
💜	purple, purple heart
🤎	brown, brown heart, heart
🖤	black, black heart, evil, wicked
🤍	heart, white, white heart
💯	100, full, hundred, hundred points, score
💢	anger symbol, angry, comic, mad
💥	boom, collision, comic
💫	comic, dizzy, star
💦	comic, splashing, sweat, sweat droplets
💨	comic, dash, dashing away, running
🕳️	hole
💣️	bomb, comic
💬	balloon, bubble, comic, dialog, speech, speech balloon
👁‍🗨	eye, eye in speech bubble, speech bubble, witness
🗨️	dialog, left speech bubble, speech
🗯️	angry, balloon, bubble, mad, right anger bubble
💭	balloon, bubble, comic, thought, thought balloon
💤	comic, sleep, zzz
👋	hand, wave, waving, waving hand
👋🏻	hand, light skin tone, wave, waving, waving hand: light skin tone
👋🏼	hand, medium-light skin tone, wave, waving, waving hand: medium-light skin tone
👋🏽	hand, medium skin tone, wave, waving, waving hand: medium skin tone
👋🏾	hand, medium-dark skin tone, wave, waving, waving hand: medium-dark skin tone
👋🏿	dark skin tone, hand, wave, waving, waving hand: dark skin tone
🤚	backhand, raised, raised back of hand
🤚🏻	backhand, light skin tone, raised, raised back of hand, raised back of hand: light skin tone
🤚🏼	backhand, medium-light skin tone, raised, raised back of hand, raised back of hand: medium-light skin tone
🤚🏽	backhand, medium skin tone, raised, raised back of hand, raised back of hand: medium skin tone
🤚🏾	backhand, medium-dark skin tone, raised, raised back of hand, raised back of hand: medium-dark skin tone
🤚🏿	backhand, dark skin tone, raised, raised back of hand, raised back of hand: dark skin tone
🖐️	finger, hand, hand with fingers splayed, splayed
🖐🏻	finger, hand, hand with fingers splayed, hand with fingers splayed: light skin tone, light skin tone, splayed
🖐🏼	finger, hand, hand with fingers splayed, hand with fingers splayed: medium-light skin tone, medium-light skin tone, splayed
🖐🏽	finger, hand, hand with fingers splayed, hand with fingers splayed: medium skin tone, medium skin tone, splayed
🖐🏾	finger, hand, hand with fingers splayed, hand with fingers splayed: medium-dark skin tone, medium-dark skin tone, splayed
🖐🏿	dark skin tone, finger, hand, hand with fingers splayed, hand with fingers splayed: dark skin tone, splayed
✋	hand, raised hand
✋🏻	hand, light skin tone, raised hand, raised hand: light skin tone
✋🏼	hand, medium-light skin tone, raised hand, raised hand: medium-light skin tone
✋🏽	hand, medium skin tone, raised hand, raised hand: medium skin tone
✋🏾	hand, medium-dark skin tone, raised hand, raised hand: medium-dark skin tone
✋🏿	dark skin tone, hand, raised hand, raised hand: dark skin tone
🖖	finger, hand, spock, vulcan, vulcan salute
🖖🏻	finger, hand, light skin tone, spock, vulcan, vulcan salute, vulcan salute: light skin tone
🖖🏼	finger, hand, medium-light skin tone, spock, vulcan, vulcan salute, vulcan salute: medium-light skin tone
🖖🏽	finger, hand, medium skin tone, spock, vulcan, vulcan salute, vulcan salute: medium skin tone
🖖🏾	finger, hand, medium-dark skin tone, spock, vulcan, vulcan salute, vulcan salute: medium-dark skin tone
🖖🏿	dark skin tone, finger, hand, spock, vulcan, vulcan salute, vulcan salute: dark skin tone
👌	OK, OK hand, hand
👌🏻	OK, OK hand: light skin tone, hand, light skin tone
👌🏼	OK, OK hand: medium-light skin tone, hand, medium-light skin tone
👌🏽	OK, OK hand: medium skin tone, hand, medium skin tone
👌🏾	OK, OK hand: medium-dark skin tone, hand, medium-dark skin tone
👌🏿	OK, OK hand: dark skin tone, dark skin tone, hand
🤏	pinching hand, small amount
🤏🏻	light skin tone, pinching hand, pinching hand: light skin tone, small amount
🤏🏼	medium-light skin tone, pinching hand, pinching hand: medium-light skin tone, small amount
🤏🏽	medium skin tone, pinching hand, pinching hand: medium skin tone, small amount
🤏🏾	medium-dark skin tone, pinching hand, pinching hand: medium-dark skin tone, small amount
🤏🏿	dark skin tone, pinching hand, pinching hand: dark skin tone, small amount
✌️	hand, v, victory, victory hand
✌🏻	hand, light skin tone, v, victory, victory hand: light skin tone
✌🏼	hand, medium-light skin tone, v, victory, victory hand: medium-light skin tone
✌🏽	hand, medium skin tone, v, victory, victory hand: medium skin tone
✌🏾	hand, medium-dark skin tone, v, victory, victory hand: medium-dark skin tone
✌🏿	dark skin tone, hand, v, victory, victory hand: dark skin tone
🤞	cross, crossed fingers, finger, hand, luck
🤞🏻	cross, crossed fingers, crossed fingers: light skin tone, finger, hand, light skin tone, luck
🤞🏼	cross, crossed fingers, crossed fingers: medium-light skin tone, finger, hand, luck, medium-light skin tone
🤞🏽	cross, crossed fingers, crossed fingers: medium skin tone, finger, hand, luck, medium skin tone
🤞🏾	cross, crossed fingers, crossed fingers: medium-dark skin tone, finger, hand, luck, medium-dark skin tone
🤞🏿	cross, crossed fingers, crossed fingers: dark skin tone, dark skin tone, finger, hand, luck
🤟	ILY, hand, love-you gesture
🤟🏻	ILY, hand, light skin tone, love-you gesture, love-you gesture: light skin tone
🤟🏼	ILY, hand, love-you gesture, love-you gesture: medium-light skin tone, medium-light skin tone
🤟🏽	ILY, hand, love-you gesture, love-you gesture: medium skin tone, medium skin tone
🤟🏾	ILY, hand, love-you gesture, love-you gesture: medium-dark skin tone, medium-dark skin tone
🤟🏿	ILY, dark skin tone, hand, love-you gesture, love-you gesture: dark skin tone
🤘	finger, hand, horns, rock-on, sign of the horns
🤘🏻	finger, hand, horns, light skin tone, rock-on, sign of the horns, sign of the horns: light skin tone
🤘🏼	finger, hand, horns, medium-light skin tone, rock-on, sign of the horns, sign of the horns: medium-light skin tone
🤘🏽	finger, hand, horns, medium skin tone, rock-on, sign of the horns, sign of the horns: medium skin tone
🤘🏾	finger, hand, horns, medium-dark skin tone, rock-on, sign of the horns, sign of the horns: medium-dark skin tone
🤘🏿	dark skin tone, finger, hand, horns, rock-on, sign of the horns, sign of the horns: dark skin tone
🤙	call, call me hand, hand
🤙🏻	call, call me hand, call me hand: light skin tone, hand, light skin tone
🤙🏼	call, call me hand, call me hand: medium-light skin tone, hand, medium-light skin tone
🤙🏽	call, call me hand, call me hand: medium skin tone, hand, medium skin tone
🤙🏾	call, call me hand, call me hand: medium-dark skin tone, hand, medium-dark skin tone
🤙🏿	call, call me hand, call me hand: dark skin tone, dark skin tone, hand
👈️	backhand, backhand index pointing left, finger, hand, index, point
👈🏻	backhand, backhand index pointing left, backhand index pointing left: light skin tone, finger, hand, index, light skin tone, point
👈🏼	backhand, backhand index pointing left, backhand index pointing left: medium-light skin tone, finger, hand, index, medium-light skin tone, point
👈🏽	backhand, backhand index pointing left, backhand index pointing left: medium skin tone, finger, hand, index, medium skin tone, point
👈🏾	backhand, backhand index pointing left, backhand index pointing left: medium-dark skin tone, finger, hand, index, medium-dark skin tone, point
👈🏿	backhand, backhand index pointing left, backhand index pointing left: dark skin tone, dark skin tone, finger, hand, index, point
👉️	backhand, backhand index pointing right, finger, hand, index, point
👉🏻	backhand, backhand index pointing right, backhand index pointing right: light skin tone, finger, hand, index, light skin tone, point
👉🏼	backhand, backhand index pointing right, backhand index pointing right: medium-light skin tone, finger, hand, index, medium-light skin tone, point
👉🏽	backhand, backhand index pointing right, backhand index pointing right: medium skin tone, finger, hand, index, medium skin tone, point
👉🏾	backhand, backhand index pointing right, backhand index pointing right: medium-dark skin tone, finger, hand, index, medium-dark skin tone, point
👉🏿	backhand, backhand index pointing right, backhand index pointing right: dark skin tone, dark skin tone, finger, hand, index, point
👆️	backhand, backhand index pointing up, finger, hand, point, up
👆🏻	backhand, backhand index pointing up, backhand index pointing up: light skin tone, finger, hand, light skin tone, point, up
👆🏼	backhand, backhand index pointing up, backhand index pointing up: medium-light skin tone, finger, hand, medium-light skin tone, point, up
👆🏽	backhand, backhand index pointing up, backhand index pointing up: medium skin tone, finger, hand, medium skin tone, point, up
👆🏾	backhand, backhand index pointing up, backhand index pointing up: medium-dark skin tone, finger, hand, medium-dark skin tone, point, up
👆🏿	backhand, backhand index pointing up, backhand index pointing up: dark skin tone, dark skin tone, finger, hand, point, up
🖕	finger, hand, middle finger
🖕🏻	finger, hand, light skin tone, middle finger, middle finger: light skin tone
🖕🏼	finger, hand, medium-light skin tone, middle finger, middle finger: medium-light skin tone
🖕🏽	finger, hand, medium skin tone, middle finger, middle finger: medium skin tone
