😋	delicious, face, face savouring food, savouring, smile, um, yum
🤭	oops, whoops
🤐	face, mouth, zip, zipper
🤨	distrust, face with raised eyebrow, sceptic, skeptic
😷	cold, doctor, face, face with medical mask, ill, mask, medicine, poorly, sick
🤒	face, face with thermometer, ill, poorly, sick, thermometer
🤕	bandage, face, face with head bandage, hurt, injury
🤧	bless you, face, gesundheit, sneeze
🤯	exploding head, mind blown, shocked
🤬	cursing, expletive, face with symbols on mouth, swearing
👻	creature, face, fairy tale, fantasy, ghost, monster, spectre
😼	cat, cat face with wry smile, face, ironic, smile, smirk, wry
💫	comic, dizzy, spinning, spinning stars, star
💬	balloon, bubble, comic, dialogue, speech
🗨️	dialogue, speech
💭	thought bubble
💤	comic, sleep, sleeping, sleepy, zzz
✌️	hand, peace hand, peace sign, v, v sign, victory
✌🏻	hand, light skin tone, peace hand, peace sign, v, v sign, victory
✌🏼	hand, medium-light skin tone, peace hand, peace sign, v, v sign, victory
✌🏽	hand, medium skin tone, peace hand, peace sign, v, v sign, victory
✌🏾	hand, medium-dark skin tone, peace hand, peace sign, v, v sign, victory
✌🏿	dark skin tone, hand, peace hand, peace sign, v, v sign, victory
🤘	finger, hand, horns, rock on
🤘🏻	finger, hand, horns, light skin tone, rock on
🤘🏼	finger, hand, horns, medium-light skin tone, rock on
🤘🏽	finger, hand, horns, medium skin tone, rock on
🤘🏾	finger, hand, horns, medium-dark skin tone, rock on
🤘🏿	dark skin tone, finger, hand, horns, rock on
🤙	call, call-me hand, hand
🤙🏻	call, call-me hand, call-me hand: light skin tone, hand, light skin tone
🤙🏼	call, call-me hand, call-me hand: medium-light skin tone, hand, medium-light skin tone
🤙🏽	call, call-me hand, call-me hand: medium skin tone, hand, medium skin tone
🤙🏾	call, call-me hand, call-me hand: medium-dark skin tone, hand, medium-dark skin tone
🤙🏿	call, call-me hand, call-me hand: dark skin tone, dark skin tone, hand
🙌	celebration, gesture, hand, hooray, raised, raising hands, woo hoo, yay
🙌🏻	celebration, gesture, hand, hooray, light skin tone, raised, raising hands, woo hoo, yay
🙌🏼	celebration, gesture, hand, hooray, medium-light skin tone, raised, raising hands, woo hoo, yay
🙌🏽	celebration, gesture, hand, hooray, medium skin tone, raised, raising hands, woo hoo, yay
