😀	cara, cara sonriendo, divertido, feliz, sonrisa
😃	cara, cara sonriendo con ojos grandes, divertido, risa, sonriendo
😄	abierta, cara, cara sonriendo con ojos sonrientes, ojo, sonrisa
😁	cara, cara radiante con ojos sonrientes, ojo, risa, sonrisa
😆	abierta, boca, cara, cara sonriendo con los ojos cerrados, risa
😅	cara, cara sonriendo con sudor frío, frío, risa, sudor
🤣	cara, cara revolviéndose de la risa, carcajada, ojos cerrados, risa
😂	cara, cara llorando de risa, felicidad, lágrima, risa
🙂	cara, cara sonriendo ligeramente, sonrisa
🙃	cara, cara al revés, revés
😉	cara, cara guiñando el ojo, guiño
😊	cara, cara feliz con ojos sonrientes, ojo, rubor, sonrisa
😇	cara, cara sonriendo con aureola, halo, sonrisa, ángel
🥰	adorar, amor, cara sonriendo con corazones, corazones, enamorada, enamorado
😍	amor, cara, cara sonriendo con ojos de corazón, corazón, sonrisa
🤩	cara, cara sonriendo con estrellas, estrellas, sonrisa
😘	beso, cara, cara lanzando un beso
😗	beso, cara, cara besando
☺️	cara, cara sonriente, contorno, relajado, sonrisa
😚	beso, cara, cara besando con los ojos cerrados, cerrado, ojo
😙	beso, cara, cara besando con ojos sonrientes, ojo, sonrisa
😋	cara, cara saboreando comida, delicioso, hambre, rico
😛	cara, cara sacando la lengua, lengua
😜	cara, cara sacando la lengua y guiñando un ojo, guiño, lengua, ojo
🤪	cara de loco, grande, ojo, pequeño
😝	cara, cara con ojos cerrados y lengua fuera, lengua, ojo, sabor
🤑	boca, cara, cara con lengua de dinero, dinero
🤗	abrazo, cara, cara con manos abrazando, sonrisa
🤭	cara con mano sobre la boca, ostras, uy, vaya
🤫	callado, cara pidiendo silencio, silencio
🤔	cara, cara pensativa, pensando
🤐	boca, cara, cara con la boca cerrada con cremallera, cremallera
🤨	cara con ceja alzada, desconfiado, escéptico
😐️	cara, cara neutral, inexpresivo, neutral
😑	cara, cara sin expresión, inexpresiva, inexpresivo, inexpresión
😶	boca, callado, cara, cara sin boca, silencio
😏	cara, cara sonriendo con superioridad, listillo, superioridad
😒	cara, cara de desaprobación, insatisfacción, rechazo
🙄	cara, cara con ojos en blanco, frustración, ojos, vueltos
😬	cara, cara haciendo una mueca, mueca
🤥	cara, cara de mentiroso, mentiroso, nariz, pinocho
😌	aliviado, cara, cara de alivio
😔	alicaído, cara, cara desanimada, desanimado, pensativo
😪	cara, cara de sueño, dormir, sueño
🤤	baba, babeando, cara, cara babeando
😴	cara, cara durmiendo, dormido, sueño, zzz
😷	cara, cara con mascarilla médica, enfermo, malo, máscara
🤒	cara, cara con termómetro, enfermo, malo, termómetro
🤕	cara, cara con la cabeza vendada, dolor, herida, venda
🤢	cara, cara de náuseas, náuseas, vomitar
🤮	cara vomitando, enfermo, malo, vomitar
🤧	cara, cara estornudando, estornudar, estornudo, pañuelo
🥵	calor, cara con calor, cara roja, fiebre, golpe de calor, sudor
🥶	cara con frío, cara congelada, congelado, frío, helado
🥴	atontado, cara de grogui, entonado, grogui, intoxicado, mareado
😵	cara, cara mareada, mareo
🤯	cabeza, cabeza explotando, explosión
🤠	cara, cara con sombrero de vaquero, sombrero, vaquera, vaquero
🥳	capirote, cara de fiesta, celebración, fiesta, gorro, matasuegras
😎	cara, cara sonriendo con gafas de sol, gafas, guay, sol
🤓	cara, cara de empollón, empollón, friki, friqui
🧐	aristocrático, cara con monóculo, estirado
😕	cara, cara de confusión, confuso
😟	cara, cara preocupada, preocupación, preocupado
🙁	cara, cara con el ceño ligeramente fruncido, ceño, fruncido
☹️	cara, cara con el ceño fruncido, ceño, fruncido
😮	boca, cara, cara con la boca abierta
😯	alucinado, cara, cara estupefacta, estupefacto, sorprendido
😲	alucinado, asombrado, cara, cara asombrada, pasmado
😳	cara, cara sonrojada, colorado, sonrojado
🥺	cara de por favor, implorar, ojos adorables, piedad, por favor
😦	boca abierta, cara, cara con el ceño fruncido y la boca abierta, ceño fruncido con boca abierta
😧	angustia, angustiado, cara, cara angustiada
😨	asustado, cara, cara asustada, miedo, miedoso
😰	ansiedad, cara, cara con ansiedad y sudor, frío, sudor
😥	aliviado, cara, cara triste pero aliviada, decepcionado, menos mal
😢	cara, cara llorando, llorar, lágrima, triste
😭	cara, cara llorando fuerte, llorar, lágrima, triste
😱	asustado, cara, cara gritando de miedo, miedo, pánico
😖	cara, cara de frustración, frustrado
😣	cara, cara desesperada, desesperación, frustración
😞	cara, cara decepcionada, decepcionado, decepción
😓	cara, cara con sudor frío, frío, sudor
😩	agotado, cansado, cara, cara agotada
😫	cansado, cara, cara cansada
🥱	aburrido, bostezo, cansado, cara de bostezo, dormido, sueño
😤	cabreo, cara, cara resoplando, enfado
😡	cabreo, cara, cara cabreada, enfadado, furia
😠	cara, cara enfadada, enfadado, histérico
🤬	cara con símbolos en la boca, maldecir, palabrota, símbolo
😈	cara, cara sonriendo con cuernos, cuernos, demonio, sonrisa
👿	cara, cara enfadada con cuernos, cuernos, demonio, diablo
💀	calavera, cara, cuento, monstruo, muerte
☠️	calavera, calavera y huesos cruzados, cara, huesos, muerte
💩	caca, caca con ojos, cómic, mierda, mojón
🤡	cara, cara de payaso, payaso
👹	cara, cuento, cuernos, demonio japonés oni, sonrisa
👺	cara, cuento, demonio japonés tengu, fantasía, monstruo, tengu
👻	cara, criatura, cuento, fantasma, monstruo
👽️	alien, alienígena, cara, criatura, extraterrestre, ovni
👾	alien, cara, criatura, extraterrestre, monstruo alienígena, ovni
🤖	cara, monstruo, robot
😺	cara, feliz, gato alegre, gato feliz, gato sonriendo, sonrisa
😸	cara, gato, gato sonriendo con ojos sonrientes, ojos, sonriente, sonrisa
😹	cara, gato, gato llorando de risa, lágrima, risa
😻	cara, corazón, enamorado, gato, gato sonriendo con ojos de corazón
😼	cara, gato, gato haciendo una mueca, irónico, sonrisa
😽	beso, cara, cariñoso, gato, gato besando
🙀	cara, gato, gato asustado, preocupación, pánico, sorpresa
😿	cara, gato, gato llorando, lágrima, pena, triste
😾	cara, enfadado, gato, gato enfadado
🙈	cara, mal, mono, mono con los ojos tapados, prohibido
🙉	cara, mal, mono, mono con los oídos tapados, prohibido
🙊	cara, mal, mono, mono con la boca tapada, prohibido
💋	beso, labios, marca de beso, romance
💌	amor, carta, carta de amor, corazón, correo
💘	amor, corazón, corazón con flecha, emoción, flecha
💝	corazón, corazón con lazo, emoción, lazo, san valentín
💖	amor, brillante, corazón brillante, emoción
💗	corazón, corazón creciente, creciente, emocionado, latido, nervioso
💓	amor, corazón, corazón latiendo, emoción, latido
💞	corazones giratorios, corazón, giratorio
💕	amantes, amor, corazón, dos corazones
💟	adorno de corazón, corazón
❣️	corazón, exclamación, exclamación de corazón, puntuación
💔	corazón, corazón roto, emoción, partido, roto
❤️	corazón, corazón rojo, emoción, rojo
🧡	corazón, corazón naranja, emoción, naranja
💛	amarillo, corazón, corazón amarillo, emoción
💚	corazón, corazón verde, emoción, verde
💙	azul, corazón, corazón azul, emoción
💜	corazón, corazón morado, emoción, morado
🤎	corazón, corazón marrón, emoción, marrón
🖤	corazón, corazón negro, negro
🤍	blanco, corazón, corazón blanco, emoción
💯	100, cien puntos, pleno, puntos
💢	cómic, enfadado, enfado, símbolo de enfado
💥	colisión, cómic
💫	cómic, emoción, estrella, mareo, símbolo de mareo
💦	cómic, emoción, gotas de sudor, sudor
💨	carrera, correr, cómic, humo, salir corriendo
🕳️	agujero, orificio
💣️	bomba, cómic, emoción
💬	bocadillo, bocadillo de diálogo, conversación, cómic, diálogo
👁‍🗨	bocadillo de texto, ojo, ojo en bocadillo de texto, testigo
🗨️	bocadillo, bocadillo de diálogo por la izquierda, burbuja, conversación, diálogo
🗯️	bocadillo, bocadillo de enfado por la derecha, cabreo, enfado, rabia
💭	bocadillo, bocadillo de pensamiento, burbuja, cómic, pensamiento
💤	cómic, dormir, sueño, símbolo de sueño, zzz
👋	agitar, mano, mano saludando, saludar, saludo
👋🏻	agitar, mano, mano saludando, mano saludando: tono de piel claro, saludar, saludo, tono de piel claro
👋🏼	agitar, mano, mano saludando, mano saludando: tono de piel claro medio, saludar, saludo, tono de piel claro medio
