😀	cara, cara feliz, contento, divertido, sonrisa
😃	boca abierta, cara, divertido, risa, sonrisa, sonrisa con boca abierta
😄	boca abierta, boca y ojos sonrientes, cara, divertido, risa, sonrisa
😁	cara, cara y ojos sonrientes, divertido, risa, sonrisa
😆	boca abierta, cara, sonrisa con boca abierta y ojos cerrados
😅	boca abierta, cara, sonrisa, sonrisa boca abierta, sonrisa y sudor frío, sudor frío
🤣	cara, cara llorando de risa, carcajada, risa, sonrisa
😂	cara, cara llorando, felicidad, feliz, lágrimas
🙂	cara, cara sonriendo levemente, leve sonrisa, sonrisa
😉	cara, cara con guiño, guiño
😊	cara, cara alegre, ojos sonrientes, sonrisa
😇	aureola, cara, inocente, sonriente con aureola, sonrisa, ángel
🥰	cara sonriendo con 4 corazones
😍	amor, cara, cara sonriendo con ojos de corazón, corazones, dulce, ojos con corazones, sonriente, tierno
😘	besos, cara, cara lanzando un beso, cara manda un beso, corazón
😗	cara besando, cara dando un beso
☺️	cara, relajado, sonriente, sonrisa
😚	beso, beso con ojos cerrados, cara, cerrados, ojos
😙	beso, beso y sonrisa, cara, cara besando con ojos sonrientes, ojos, sonriente
😋	broma, cara, cara de broma, delicioso, rico, sonriente
😛	broma, cara, cara sacando la lengua, divertido, lengua, sacar, sacar la lengua
😜	broma, cara, cara sacando la lengua y guiñando un ojo, divertido, guiño, lengua, sacar lengua y guiñar
😝	asco, broma, cara, cara con los ojos bien cerrados y sacando la lengua, horrible, lengua, sacar la lengua
🤑	cara, cara con lengua de dinero, dinero, lengua, pensando en dinero
🤗	abrazo, cara
🤭	chanfle, uy, vaya
🤔	cara, cara pensante, duda, pensar
🤐	boca, boca cerrada, cara, cara con la boca cerrada con cierre, cierre
😐️	cara, indiferente, neutral, neutro
😑	cara, cara sin expresión, inexpresivo, nada
😏	cara, cara sonriendo con superioridad, creído, gesto de superioridad, sarcástico, sonrisa
😒	aburrido, cara, enojado
🙄	cara, cara revoleando los ojos, ojos, revoleando
😬	cara
🤥	cara, mentira, nariz, pinocho
😌	aliviado, alivio, cara
😔	cara, cara desanimada, cara pensativa, deprimido, pensativo, triste
😪	cara, cara de sueño, gota, sueño
🤤	baba, cara
😴	cara, cara durmiendo, dormir, sueño
😷	barbijo, cara, cara con barbijo, enfermo, resfrío
🤒	cara con termómetro
🤕	cabeza vendada, cara, dolor, herido, vendas
🤢	cara, náuseas, vómito
🤧	cara, cara de estornudo, estornudar, estornudo, resfrío
😵	cara, cara de mareado, mareado
🤠	cara, sombrero, vaquera, vaquero
😎	cara, cara sonriendo con lentes de sol, lentes, lentes de sol, onda, sol
🤓	anteojos, cara, cara de nerd, geek, nerd
😕	cara, cara de confusión, confundido, confusión, triste
😟	cara, cara de preocupación, preocupado
🙁	cara, triste
☹️	cara, triste
😮	abierta, boca, cara, cara con boca abierta, empatía, sorpresa
😯	cara, sorprendido, sorpresa
😲	asombro, cara, horrorizado, sorprendido
😳	cara sonrojada
😦	abierta, boca, cara, cara boquiabierta
😧	angustiado, cara, cara de angustia, sufrir
😨	cara, cara de miedo, horror, miedo, temor, terror
😰	abierta, boca, en aprietos, frío, miedo, sudor, temor
😥	aliviado, alivio, cara, cara triste pero aliviada, decepcionado, decepción, sudor
😢	cara, cara con llanto, llanto, llorar, triste, tristeza
😭	cara, llorar, lágrimas
😱	cara, cara de terror, grito, horror, miedo, terror
😖	cara, cara de frustración, enojo, frustración, tristeza
😣	cara, cara perseverante, equivocado, me equivoqué, perdón, perseverar
😞	cara, cara de decepción, decepcionado, decepción
😩	agotado, cansado, cara, cara de cansancio, exhausto
😫	agotado, cansado, cara, cara cansada, cara de exhausto, exhausto
😤	cara, gané, mirada de triunfo, triunfo, victoria
😡	cara, cara de odio, enojado, enojo, ira, odio, rojo
😠	cara, cara de enojado, enojado, enojo
😈	cara, cuernos, diablo, pícaro, sonriente con cuernos, sonrisa
👿	cara, diablo, fantasía, granuja
💀	calavera, cara, cráneo, miedo, monstruo, muerte
☠️	calavera, cara, huesos
💩	caca, cara, estiércol, gracioso
👹	cara, cara de ogro japonés, cuento, fantasía, japonés, ogro, oni
👺	cara, cara de demonio japonés, cuento, demonio, japonés, tengu
👻	cuento, fantasía, monstruo
👽️	OVNI, alien, cara, cuento, espacial, espacio, extraterrestre, fantasía, monstruo
👾	OVNI, alien, cara, cuento, espacial, espacio, extraterrestre, fantasía, monstruo, monstruo extraterrestre
😺	abierta, boca, cara, gato, gato sonriente
😸	cara, gato, gato llorando de risa, sonriente, sonrisa
😹	alegría, cara, gato, llorando, lágrimas
😻	amor, cara, corazones, gato, gato sonriente con corazones
😼	cara, gato, gato sarcástico, irónico, sarcástico, sonrisa
😽	beso, cara, cerrados, gato, gato mandando un beso, ojos
🙀	cara de gato asustado
😿	cara de gato llorando
😾	cara de gato enfadado
🙈	cara, mono, mono con ojos tapados, no, ojos, tapados, ver
🙉	cara, mono, mono con orejas tapadas, no, orejas, oír, tapadas
🙊	boca, callado, cara, hablar, mono, mono con boca tapada, no, secreto, silencio, tapada
💋	marca de beso
💌	carta, corazón, romance, sobre con corazón
💝	amor, corazón, corazón con moño, emoción, moño
💖	corazón brillante
💗	amor, corazón, corazón que crece, emoción, entusiasmado, nervioso
💓	amor, corazón, corazón que palpita, emoción, latidos, palpitar
💞	amor, corazones que giran, corazón, emoción, girar, vueltas
💕	amor, corazón, enamorado
💟	corazón, corazón de decoración
❣️	corazón, exclamación, exclamación con forma de corazón
💔	corazón roto
❤️	corazón rojo
💛	corazón amarillo
💚	corazón verde
💙	corazón azul
💜	corazón morado
💯	100, 100 puntos, perfecto, puntaje, puntos
💢	cómics, emoción, enojo, señal de enojo
💥	choque, cómic, emoción, explosión
💫	cómic, emoción, estrellas, mareado, mareo, ver
💦	cómics, emoción, sudar
💨	salir corriendo
🕳️	agujero
💣️	explosión, explota
💬	burbuja, cómic, diálogo, globo, globo de diálogo, hablar
👁‍🗨	bocadillo de texto, ojo, ojo en una burbuja de texto, testigo
🗨️	burbuja, cómic, diálogo, globo, globo de diálogo izquierdo, izquierdo
🗯️	burbuja, cómic, derecho, enojado, enojo, globo, globo de enojo derecho
💭	burbuja, cómic, globo, globo de pensamiento, pensamiento, pensar
💤	cómics, dormido, emoción, estar durmiendo, roncar
👋	mano saludando
👋🏻	mano saludando, mano saludando: piel tipo 1–2, piel tipo 1–2
👋🏼	mano saludando, mano saludando: piel tipo 3, piel tipo 3
👋🏽	mano saludando, mano saludando: piel tipo 4, piel tipo 4
👋🏾	mano saludando, mano saludando: piel tipo 5, piel tipo 5
👋🏿	mano saludando, mano saludando: piel tipo 6, piel tipo 6
🤚	mano, palma, palma de la mano
🤚🏻	mano, palma, palma de la mano, palma de la mano: piel tipo 1–2, piel tipo 1–2
🤚🏼	mano, palma, palma de la mano, palma de la mano: piel tipo 3, piel tipo 3
🤚🏽	mano, palma, palma de la mano, palma de la mano: piel tipo 4, piel tipo 4
🤚🏾	mano, palma, palma de la mano, palma de la mano: piel tipo 5, piel tipo 5
🤚🏿	mano, palma, palma de la mano, palma de la mano: piel tipo 6, piel tipo 6
🖐️	abierta, dedos, mano, palma, yo
🖐🏻	abierta, dedos, mano, mano abierta: piel tipo 1–2, palma, piel tipo 1–2, yo
🖐🏼	abierta, dedos, mano, mano abierta: piel tipo 3, palma, piel tipo 3, yo
🖐🏽	abierta, dedos, mano, mano abierta: piel tipo 4, palma, piel tipo 4, yo
🖐🏾	abierta, dedos, mano, mano abierta: piel tipo 5, palma, piel tipo 5, yo
🖐🏿	abierta, dedos, mano, mano abierta: piel tipo 6, palma, piel tipo 6, yo
✋	abierta, mano, palma, papel
✋🏻	abierta, mano, mano levantada: piel tipo 1–2, palma, papel, piel tipo 1–2
✋🏼	abierta, mano, mano levantada: piel tipo 3, palma, papel, piel tipo 3
✋🏽	abierta, mano, mano levantada: piel tipo 4, palma, papel, piel tipo 4
✋🏾	abierta, mano, mano levantada: piel tipo 5, palma, papel, piel tipo 5
✋🏿	abierta, mano, mano levantada: piel tipo 6, palma, papel, piel tipo 6
🖖	dedos, mano, saludo, spock, star, trek, vulcano
🖖🏻	dedos, mano, piel tipo 1–2, saludo, saludo vulcano: piel tipo 1–2, spock, star, trek, vulcano
🖖🏼	dedos, mano, piel tipo 3, saludo, saludo vulcano: piel tipo 3, spock, star, trek, vulcano
🖖🏽	dedos, mano, piel tipo 4, saludo, saludo vulcano: piel tipo 4, spock, star, trek, vulcano
🖖🏾	dedos, mano, piel tipo 5, saludo, saludo vulcano: piel tipo 5, spock, star, trek, vulcano
🖖🏿	dedos, mano, piel tipo 6, saludo, saludo vulcano: piel tipo 6, spock, star, trek, vulcano
👌	gesto, mano, ok, señal de OK
👌🏻	gesto, mano, ok, piel tipo 1–2, señal de OK, señal de OK: piel tipo 1–2
