😀	cara, cara sonriendo, contento, divertido, sonrisa
😃	boca abierta, cara sonriendo con ojos grandes, divertido, risa, sonrisa
😄	boca abierta, cara sonriendo con ojos sonrientes, divertido, risa, sonrisa
😁	cara, cara radiante con ojos sonrientes, divertido, risa, sonrisa
😆	boca abierta, cara, cara sonriendo con los ojos cerrados
😅	boca abierta, cara sonriendo con sudor frío, sonrisa, sonrisa boca abierta, sudor frío
😂	cara, cara llorando de felicidad, felicidad, feliz, lágrimas
🙂	cara, cara sonriendo ligeramente, sonrisa
😉	cara, cara guiñando el ojo, guiño
😊	cara, cara feliz con ojos sonrientes, ojos sonrientes, sonrisa
😇	cara sonriendo con aureola
🥰	adoración, cara sonriente con 3 corazones, cara sonriente con 4 corazones, enamoramiento, flechazo
😍	amor, cara sonriendo con ojos de corazón, corazones, sonriente, tierno
😘	besos, cara, cara lanzando un beso, corazón
😗	cara, cara dando un beso
😚	beso, cara, cara besando con los ojos cerrados, cerrados, ojos
😙	beso, cara, cara besando con ojos sonrientes, ojos, sonriente
😋	broma, cara saboreando comida, delicioso, rico, sonriente
😛	cara sacando la lengua
😜	cara sacando la lengua y guiñando un ojo
🤪	cara de loco, ojo grande, ojo pequeño
😝	cara con los ojos bien cerrados y sacando la lengua, cara con ojos cerrados y sacando la lengua
🤑	cara con lengua de dinero
🤭	chanfle, risita, uy, vaya
🤐	boca, cara, cara con la boca cerrada con cierre, zipper
😑	cara sin expresión
😏	cara sonriendo con superioridad
🙄	cara con ojos en blanco
😬	cara, cara haciendo mueca, mueca
😔	cara desanimada
😷	barbijo, cara, cara con mascarilla médica, cubrebocas, enfermo
🤕	cara, cara con la cabeza vendada, dolor, herido, vendas
🤧	cara, cara estornudando, estornudar, estornudo, resfrío
🥵	calor, cara colorada, cara de calor, fiebre, golpe de calor, sudor
🥶	cara azul, cara de frío, congelamiento, frío, helado, tempano
🥴	boca ondulada, borrachera, cara de mareo, intoxicación, mareo, ojos desparejos
😵	cara, cara mareada, mareado
🥳	cara de fiesta, celebración, fiesta, gorro, matasuegras
