😀	aurpegi, barre egiten ari den aurpegia, irribarre
😃	aho, aurpegi, ireki, irribarre, irribarre egiten ari den aurpegia, ahoa irekita
😄	aho, aurpegi, begi, begiez irribarre egiten ari den aurpegia, ahoa irekita, ireki, irribarre
😁	aurpegi, barre, begi, begiez barre egiten ari den aurpegia, irribarre
😆	aho, asebeteta, aurpegi, barre, ireki, irribarre, irribarre egiten ari den aurpegia, begiak itxita
😅	aurpegi, hotz, ireki, irribarre, irribarre egiten ari den aurpegia, izerdi hotzarekin eta ahora irekita, izerdi
🤣	barrez, barrez leherka, leherka, lehertu
😂	aurpegi, barre, malko, poz, pozez negar egiten ari den aurpegia
🙂	apur bat irribarre egiten ari den aurpegia, aurpegi, irribarre
🙃	aurpegi, buruz behera, buruz behera dagoen aurpegia
😉	aurpegi, begiaz keinu egiten ari den aurpegia, keinu
😊	aurpegi, begi, begiez irribarre egiten ari den aurpegia, gorritu, irribarre
😇	aingeru, argi-koroa, aurpegi, fantasia, inuzente, ipuin, irribarre, irribarre egiten ari den aurpegia argi-koroarekin
🥰	irri egiten ari den aurpegia, 3 bihotzekin, irribarre egiten ari den aurpegia, 3 bihotzekin, maiteminduta, oso gustuko, txoratze
😍	aurpegi, begi, bihotz, irribarre, irribarre egiten ari den aurpegia, bihotz-itxurako begiekin, maitasun
🤩	aurpegi, begiak, irribarretsu, izar
😘	aurpegi, bihotz, musu, musu bat bidaltzen ari den aurpegia
😗	aurpegi, musu, musuka ari den aurpegia
☺️	aurpegi, erlaxatuta, irribarre, irribarre egiten ari den aurpegia, nabarmen
😚	aurpegi, begi, itxi, musu, musuka ari den aurpegia, begiak itxita
😙	aurpegi, begi, irribarre, musu, musuka eta begiez irribarre egiten ari den aurpegia
😋	aurpegi, dastatu, gozo, irribarre, janari gozoa dastatzen ari den aurpegia, mmm
😛	aurpegi, mingain, mingaina kanpoan duen aurpegia
😜	aurpegi, begi, keinu, mingain, mingaina kanpoan duen eta begiaz keinu egiten ari den aurpegia, txantxa
🤪	begi, ero-aurpegia, handi, txiki
😝	aurpegi, begi, mingain, mingaina kanpoan duen eta begiak itxita dituen aurpegia, txar, zapore
🤑	aho, aurpegi, diru, diru-itxurako mingaina duen aurpegia
🤗	aurpegi, besarkada, besarkada ematen ari den aurpegia, besarkatu
🤭	ene, eskuaz ahoa estaltzen ari den aurpegia
🤫	isilarazi, isilik, isiltasuna eskatzen ari den aurpegia, ixo
🤔	aurpegi, pentsatzen, pentsatzen ari den aurpegia
🤐	aho, aurpegi, kremailera, kremaileradun ahoa duen aurpegia
🤨	bekaina jasota duen aurpegia, eszeptiko, mesfidatu
😐️	aurpegi, aurpegi neutrala, espresiorik gabe, neutrala
😑	aurpegi, espresiorik gabe, espresiorik gabeko aurpegia
😶	aho, ahorik gabeko aurpegia, aurpegi, isilik, isiltasun
😏	aurpegi, handiki, handitasun-aurpegia
😒	aspertu-aurpegia, aspertuta, aurpegi, triste
🙄	aurpegi, begiak, begiak bueltaka dituen aurpegia, biraka, bueltaka
😬	aurpegi, imintzio, imintzio-aurpegia
🤥	aurpegi, aurpegi gezurtia, gezur, pinotxo
😌	aurpegi, lasaitasun, lasaitasun-aurpegia
😔	aurpegi, aurpegi pentsakorra, goibel, pentsakor
😪	aurpegi, lo, logura, logura-aurpegia
