😀	خنده, صورت با لبخند, لبخند, نیش باز
😃	باز, خنده, دهان, صورت, صورت خندان, لبخند
😄	باز, خندان, خنده, دهان, صورت, صورتک با پوزخند و چشمان خندان, لبخند, چشم
😁	تبسم, خندهٔ دندانی, صورت, صورت شاد با چشمان خندان, نیشخند, چشم
😆	خوشحالی, دهان, صورت, قاه‌قاه, لبخند
😅	باز, خنده و عرق خوشحالی, صورت, عرق, لبخند
🤣	از خنده, از خنده غش کردن, صورت, غش, قهقهه, مردم
😂	اشک, خنده بلند, خوشحالی, روده‌بر, صورت
🙂	صورت, لبخند, لبخند ملایم
🙃	صورت, صورت وارونه, لبخند, معکوس, وارونه
😉	صورت, چشمک
😊	خجالت, سرخ شدن, صورت, لبخند, لبخند خجالتی, چشم
😇	صورت, فانتزی, فرشته, لبخند, معصوم, ملیح, هاله, هاله‌دار, پری
🥰	خاطرخواه, شیفته, صورت خندان با قلب, صورت خندان و عاشق, عاشق, قلب
😍	صورت, عاشق, عشق, قلب, لبخند, چشم, چشم‌های عاشق
🤩	آدم مشهور, آدم مشهور دیده, خندان, ستاره, صورت, چشمان
😘	بوسه, بوسه فرستادن, بوسیدن, صورت, قلب
😗	بوسه, بوسیدن, صورت
☺️	آرام, بسته, صورت, لبخند, چشم
😚	بسته, بوسه, بوسه خجالتی, بوسیدن, صورت, چشم
😙	بوسه, بوسیدن, صورت, لبخند, لبخند و بوسه, چشم
😋	به‌به, خوشمزه, صورت, صورت با زبان آب افتاده, لبخند, لذیذ
😛	زبان, زبونک, صورت
😜	زبان, زبونک و چشمک, شوخی, صورت, چشمک
🤪	احمق, بزرگ, بی‌عقل, دیوانه, چشم, کوچک
😝	زبان, زبونک با چشم بسته, صورت, فجیع, چشم بسته
🤑	دهان, صورت, صورت پول‌دوست, پول
🤗	آغوش, بغل کردن, در آغوش گرفتن, صورت, لبخند
🤭	آخ, آه, اوه, ای وای, دست روی دهن, وا
🤫	بی‌صدا, ساکت, هیس
🤔	تفکر, درحال تفکر, صورت, فکر کردن, متفکر
🤐	دهان, دهان چفت, زیپ, صورت, قابل اعتماد, قفل
🤨	سوءظن, شک, شکاک, صورت با ابروی بالاداده
😐️	بی‌روح, بی‌طرف, خنثی, صورت
😑	بدون احساس, بدون حالت, بی‌بیان, بی‌حالت, صورت, صورت بی‌حالت, گنگ
😶	آرام, بی‌صدا, دهان, ساکت, صورت, صورت بدون لب
😏	تمسخر, صورت, پوزخند
😒	بی‌حوصله, صورت, کسل, کسل‌کننده
🙄	صورت, نگاه عاقل اندر سفیه, نگاه کلافه, چشم, کلافه
😬	ادا و اصول, دهن‌کجی, شکلک, صورت, منزجر
🤥	دروغ, دروغگو, دماغ دراز, دماغ‌دراز, صورت دروغگو, پینوکیو
😌	آسوده‌خاطر, خیال راحت, صورت
😔	افسرده, صورت, غمگین, ناراحت, پژمرده
😪	خواب, خواب‌آلود, صورت
🤤	آب افتادن, آب افتادن دهان, دهان, دهن
😴	خروپف, خواب, خوابیدن, خوابیده, صورت
😷	بیمار, دکتر, سرد, سرما, سرماخورده, صورت, صورت با ماسک پزشکی, ماسک, مریض
🤒	بیمار, تب, تب‌دار, دماسنج, صورت, مریض
