😀	andlit, grín, grínandi andlit
😃	andlit, eygu, grín, grínandi andlit við stórum eygum, munnur, opin, stór
😄	andlit, grín, grínandi andlit við brosandi eygum, munnur, opin
😁	andlit, bros, eyga, grín, smíl, strálandi andlit við brosandi eygum
😆	andlit, eygu, grín, grínandi andlit við krympaðum eygum, krympa
😅	andlit, bros, grín, grínandi andlit við sveitta, smíl, sveitti
🤣	andlit, lofl, tár, tárandi flennandi andlit
😂	andlit, andlit við gleðistárum, gleði, látur, tár
🙂	andlit, andlit ið smílur eitt sindur, bros, smíl
🙃	andlit, andlit ið vendur á høvdinum, upp og niður
😉	andlit, andlit við blunkandi eyga, blunk
😊	andlit, bros, brosandi andlit við brosandi eygum, eyga, rodna
😇	andlit, brosandi andlit við halgiboga, gloria, halgibogi, sakleys
😍	andlit, hjarta, kærleikur, smílandi andlit við hjarta eygum
🤩	andlit, stjørna, stjørnuandlit
😘	andlit, andlit ið sendur hjarta koss, koss, muss
😗	andlit, koss, muss, mussandi andlit
☺️	andlit, bros, brosandi andlit
😚	afturlatin, andlit, eygu, koss, muss, mussandi andlit við afturlatnum eygum
😙	andlit, bros, eyga, koss, muss, mussandi andlit við brosandi eygum
😋	andlit, andlit við matarlystið, lekkurt, matarlystur, tunga
😛	andlit, gálva, gálvandi andlit, tunga
😜	andlit, blunka, eyga, gálva, gálvandi andlit við blunkandi eyga, tunga
🤪	andlit, eygu, svakt, svakt andlit, ørt
😝	andlit, eygu, gálva, gálvandi andlit við krympaðum eygum, krympa, tunga
🤑	andlit, munn, pengar, peningaandlit
🤗	andlit, klemm, klemmandi andlit
🤭	andlit, andlit við hond yvir munnin, hond, munn, ups
🤫	andlit, hússja, hússjandi andlit
🤔	andlit, hugsandi, hugsandi andlit
🤐	andlit, lýnlás, lýnlás andlit
🤨	andlit, andlit við upplyftum eygnabrúni, eygnabrún, ivi, skeptisk, skeptiskur
😐️	andlit, nevtralt, nevtralt andlit, ópartískt
😑	andlit, kensluleyst, kensluleyst andlit
😶	andlit, andlit uttan munn, munn
😏	andlit, lúrin, lúrt andlit, snildur
😒	andlit, ikki stuttligt, ikki stuttligt andlit
🙄	andlit, andlit við rullandi eygum, eygu, rullandi
😬	andlit, andlit ið vísur tenn, snerkja, tenn
🤥	andlit, andlit sum lýgur, lygn, pinocchio
😌	andlit, lætna, lætna andlit
😔	andlit, dapur, grundandi, grundandi andlit, kedd, keddur
😪	andlit, grætur, lint, lint andlit
🤤	andlit, slev, slevandi andlit
😴	andlit, sovandi, sovandi andlit, zzz
😷	andlit, andlit við masku, maska, sjúk
🤒	andlit, andlit við fepurstokkið, fepurstokkur, sjúk
🤕	andlit, andlit við bind um høvdið, bind, skaði, sár
🤢	andlit, andlit ið vil spýggja, sjóverk, spýggj, vaml
🤮	andlit, sjóverk, spýggj, spýggjandi andlit, vaml
🤧	andlit, njós, njósandi andlit
😵	andlit, svimbul, svimbult andlit
🤯	andlit, andlit í brestur, brestur, skelkur
🤠	andlit, andlit við cowboyhatti, cowboy, hattur, kovboy
😎	andlit, smílandi andlit við sólbrillum, sólbrillur
🤓	andlit, nørd, nørd andlit
🧐	andlit, andlit við einglesi, einglesi, monokul
😕	andlit, forvirra, forvirra andlit, ørviti
😟	andlit, bangin, stúrin, stúrt andlit
🙁	andlit, eitt sindur illbrýnt andlit, harmur, illbrýnt, illfýsið, keddur, sorgarbundin, óglaður, ólukkulig
☹️	andlit, harmur, illbrýnt, illbrýnt andlit, illfýsið, keddur, sorgarbundin, óglaður, ólukkulig
😮	andlit, andlit við opnum munni, munn, opin
😯	andlit, bilsi andlit, ovfari, undrandi
😲	andlit, bilsi, ovfari andlit, undrandi
😳	andlit, rodna, rodna andlit
😦	andlit, skelka, skelka andlit
😧	andlit, pínt, pínt andlit
😨	andlit, bangi, bangi andlit, óttafult, óttast
😰	andlit, bangi, bangi andlit við sveitta, sveitti, óttafult, óttast
😥	andlit, dapur, sorgarbundi andlit og tár, sorgarbundin, tár
😢	andlit, andlit ið grætur, grátur, kedd, keddur, tár
😭	andlit, andlit sum grætur nógv, grátur, kedd, keddur, tár
😱	andlit, angist, bangilsi, ræðsla, skríggjandi, skríggjandi andlit, ótti
😖	andlit, harmur, illbrýnt, illfýsið, keddur, sera illbrýnt andlit, sorgarbundin, óglaður, ólukkulig
😣	andlit, ágrýti andlit, ágrýtin
😞	andlit, harmur, illbrýnt, illfýsið, keddur, skuffa andlit, sorgarbundin, óglaður, ólukkulig
😓	andlit, niður, sveittandi andlit ið hyggur niðureftir, sveitti
😩	andlit, pøst, pøst andlit, troytt, troyttur
😫	andlit, móð, móður, troytt, troytt andlit, troyttur
😤	andlit, andlit við royki úr nøsuni, argur, ill, vreiður
😡	andlit, hóttandi, ill, illur, sera hóttandi andlit
😠	andlit, hóttandi, hóttandi andlit, ill, illur
🤬	andlit, banna, bannandi andlit, blóta, svørja
😈	andlit, bros, brosandi andlit við hornum, horn, smíl, ævint´yr
👿	andlit, horn, hóttandi, hóttandi andlit við hornum, illur, ævint´yr
💀	andlit, deyði, skøltur
☠️	deyði, krossleggir, skøltur, skøltur og krossleggir, vandi
💩	bros, kukkur, lortur, smíl
🤡	andlit, gekkur, klovn, klovn andlit
👹	andlit, skrímsl, trøll, ævintýr
👺	andlit, skrímsl, trøll, vættur, ævintýr
👻	gálva, gálvandi spøkilsi, spøkilsi, ævintýr
👽️	alien, andlit, rúmdarvera, ufo, ævintýr
👾	alien, andlit, rúmdarvera, rúmdarvera skrímsl, skrímsl, ufo, ævintýr
🤖	andlit, robottandlit, robottur, tólmenni
😺	andlit, brosandi kettuandlit, brós, ketta, smíl
😸	andlit, brosandi kettuandlit við smílandi eygum, brós, ketta, smíl
😹	andlit, gleði, ketta, kettuandlit sum fellur gleðist´´ár, tár
😻	andlit, brosandi kettuandlit við hjartaeygum, eygu, hjarta, ketta
😼	andlit, beiskt, ketta, kettuandlit við speiskum smíli, speiskt
😽	andlit, ketta, muss, mussandi kettuandlit
🙀	andlit, bilsi, bilsi kettuandlit, ketta, skelkur, undran
😿	andlit, grátandi kettuandlit, grátur, grætur, ketta, tár
😾	andlit, gron, ketta, kettuandlit við gron
🙈	andlit, apa, apuandlit við hondunum yvir eygunum, eygu, hond
🙉	andlit, apa, apuandlit við hondunum yvir oyrunum, hond, oyru
🙊	andlit, apa, apuandlit við hondunum yvir munninum, hond, munn
💋	koss, muss, muss merki, varrar, varrastift
💌	bræv, kærleiksbræv, kærleikur
💘	Amor, amorina, hjarta, kærleikstekin, pílur, pílur ígjøgnum hjarta
💝	band, hjarta, hjarta við bandi
💖	glampandi, glitrandi, glitrandi hjarta, glógvandi, hjarta, ljómandi
💗	glógvandi, glógvandi hjarta, hjarta
💓	bankandi hjarta, bankar, hjarta, slær
💞	hjarta, hjørtu, hjørtu sum mela í klingur, mala
💕	kærleiki, tvey hjørtu
💟	hjarta, hjarta pynt, prýði, pynt
❣️	hjarta, hjarta rópitekn, rópitekn
💔	brotið, brotið hjarta, hjarta, sorgarbundin
❤️	hjarta
🧡	appilsingult, appilsingult hjarta, hjarta
💛	gult, gult hjarta, hjarta
💚	grønt, grønt hjarta, hjarta
💙	blátt, blátt hjarta, hjarta
💜	bláreytt, hjarta, korkalitt, korkalitt hjarta, lilla, lillafarva, purpurlitt, purpurreytt
🖤	hjarta, svart, svart hjarta
💯	100, hundrað, hundrað stig, stig, úrslit
💢	tekin, vreiði, vreiði tekin
💥	bang, samanbrestur, samanstoytur
💫	stjørna, stjørnuskot, svimbul, tekin
💦	dropar, sveitti, vatn
💨	fok, renna, vindur
🕳️	hol
💣️	bumba, vopn
💬	bløðra, samtala, tala, talubløðra
👁‍🗨	eyga, eyga í talubløðru, talubløðra
🗨️	samtala, svørt talubløðra, tala
🗯️	hartan, skeld, skelda, talubløðra, ábreiðsla, átala, átalandi talubløðra
💭	hugskot, tankabløðra, tanki, umsorgan
💤	snorkar, svevur, zzz
👋	hond, veitra, veitrandi hond, vinka
👋🏻	hond, ljósur húðarlitur, veitra, veitrandi hond, veitrandi hond: ljósur húðarlitur, vinka
👋🏼	hond, miðalljósur húðarlitur, veitra, veitrandi hond, veitrandi hond: miðalljósur húðarlitur, vinka
👋🏽	hond, miðal húðarlitur, veitra, veitrandi hond, veitrandi hond: miðal húðarlitur, vinka
👋🏾	hond, miðalmyrkur húðarlitur, veitra, veitrandi hond, veitrandi hond: miðalmyrkur húðarlitur, vinka
👋🏿	hond, myrkur húðarlitur, veitra, veitrandi hond, veitrandi hond: myrkur húðarlitur, vinka
🤚	handarbak
🤚🏻	handarbak, handarbak: ljósur húðarlitur, ljósur húðarlitur
🤚🏼	handarbak, handarbak: miðalljósur húðarlitur, miðalljósur húðarlitur
🤚🏽	handarbak, handarbak: miðal húðarlitur, miðal húðarlitur
🤚🏾	handarbak, handarbak: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur
🤚🏿	handarbak, handarbak: myrkur húðarlitur, myrkur húðarlitur
🖐️	fimm, fimm fingrar, fingrar, hond
🖐🏻	fimm, fimm fingrar: ljósur húðarlitur, fingrar, hond, ljósur húðarlitur
🖐🏼	fimm, fimm fingrar: miðalljósur húðarlitur, fingrar, hond, miðalljósur húðarlitur
🖐🏽	fimm, fimm fingrar: miðal húðarlitur, fingrar, hond, miðal húðarlitur
