😀	sourire, visage rieur
😃	sourire, visage souriant avec de grands yeux
😄	sourire, visage très souriant aux yeux rieurs
😁	dents, sourire, visage souriant aux yeux rieurs
😆	bouche, rire, sourire, visage, visage souriant avec yeux plissés
😅	sourire, visage souriant avec une goutte de sueur
🤣	rire, se rouler par terre, se rouler par terre de rire, visage
😂	larmes, sourire, visage riant aux larmes
🙂	sourire, visage avec un léger sourire
🙃	renversée, tête, tête à l’envers
😉	clin d’œil, visage, visage faisant un clin d’œil
😊	rougir, sourire, visage, visage souriant avec yeux rieurs, œil
😇	ange, visage souriant avec auréole
🥰	aimer, amour, amoureuse, amoureux, béguin, cœurs, sourire, visage souriant avec cœurs
😍	amour, cœur, visage, visage souriant avec yeux en forme de cœur, œil
🤩	grand sourire, visage, visage avec des étoiles à la place des yeux, yeux, étoile
😘	bisou, cœur, visage envoyant un bisou
😗	bisou, visage faisant un bisou
☺️	sourire, visage souriant
😚	bisou, visage faisant un bisou avec les yeux fermés
😙	bisou, visage aux yeux rieurs faisant un bisou
😋	langue, miam
😛	langue, visage, visage qui tire la langue
😜	clin d’œil, langue, visage, visage qui tire la langue et fait un clin d’œil, œil
🤪	grand, petit, tête de fou, œil
😝	horrible, langue, visage, visage qui tire la langue avec les yeux plissés, visage qui tire la langue les yeux plissés, œil
🤑	argent, argent dans les yeux et la bouche, bouche, yeux
🤗	câlin, gentil, visage, visage qui fait un câlin
🤭	oups, visage avec une main sur la bouche
🤫	chut, silence, visage avec un doigt sur la bouche
🤔	réflexion, visage, visage en pleine réflexion
🤐	bouche, fermeture éclair, visage, visage avec bouche fermeture éclair
🤨	méfiant, sceptique, visage avec les sourcils relevés
😐️	neutre, visage neutre
😑	inexpressif, neutre, sans expression, visage, visage sans expression
😶	muet, visage sans bouche
😏	malin, sourire, visage avec un sourire malin
😒	blasé, pas content, visage, visage blasé
🙄	roulement, visage roulant des yeux, yeux
😬	grimace, visage, visage grimaçant
🤥	mensonge, menteur, pinocchio, visage, visage de menteur
😌	soulagement, visage, visage soulagé
😔	déçu, pensif, visage, visage pensif
😪	sommeil, visage, visage endormi
🤤	baver, visage, visage qui bave
😴	sommeil, visage, visage somnolent, zzz
😷	masque, visage avec masque
🤒	indisposé, malade, thermomètre, visage, visage avec thermomètre
🤕	bandage, tête, visage avec bandage autour de la tête
🤢	nausée, visage, visage nauséeux, écœuré
🤮	malade, visage qui vomit, vomi, vomissure
🤧	atchoum, rhume, visage, visage qui éternue, éternuement, éternuer
🥵	chaud, coup de chaleur, fièvre, transpiration, visage rouge, visage rouge et chaud
🥶	froid, gelure, glacial, glaçon, visage bleu, visage bleu et froid
🥴	bouche ondulée, dans les vapes, hébété, pompette, rond, visage éméché
😵	tournis, visage, visage étourdi
🤯	choqué, tête qui explose
🤠	chapeau, cowboy, visage, visage avec chapeau de cowboy
🥳	chapeau, célébration, fête, sifflet, visage festif
😎	lunettes de soleil, visage avec lunettes de soleil
🤓	geek, lunettes, visage, visage de geek
🧐	collet monté, vieux jeu, visage avec un monocle
😕	confus, visage, visage confus
😟	inquiet, visage, visage inquiet
🙁	mécontent, visage, visage légèrement mécontent
☹️	mécontent, visage, visage mécontent
😮	surpris, visage avec bouche ouverte
😯	sans voix, stupéfait, surpris, visage, visage ébahi
😲	choc, stupéfait, visage, visage stupéfait
😳	rouge, rougissant, visage, visage qui rougit
🥺	pitié, supplication, visage implorant, yeux de chiens battus
😦	bouche, déçu, ouverte, visage, visage mécontent avec bouche ouverte
😧	angoisse, visage, visage angoissé
😨	apeuré, effrayé, peur, visage, visage effrayé
😰	bouche, froid, sueur, visage, visage anxieux avec goutte de sueur
😥	pfiou, visage triste mais soulagé
😢	larmes, visage qui pleure
😭	larme, pleurs, triste, visage, visage qui pleure à chaudes larmes
😱	cri, effrayé, peur, visage, visage qui hurle de peur
😖	déconcerté, visage, visage déconcerté
😣	persévérant, visage, visage persévérant
😞	déçu, visage, visage déçu
😓	froide, sueur, visage, visage démoralisé avec goutte de sueur
😩	fatigué, visage, visage épuisé, épuisé
😫	fatigue, visage, visage fatigué
🥱	bâiller, ennui, fatigue, visage bâillant
😤	triomphe, victoire, visage, visage avec fumée sortant des narines
😡	colère, furieux, visage, visage boudeur, énervé
😠	colère, visage en colère
🤬	juron, visage avec des symboles dans la bouche
😈	cornes, fantastique, sourire, visage, visage souriant avec des cornes
👿	diablotin, mauvais, visage en colère avec des cornes
💀	corps, crâne, fantastique, mort, visage
☠️	crâne, mort, os, tête, tête de mort
💩	caca, crotte, dessin, tas de crotte, visage
🤡	clown, visage, visage de clown
👹	japonais, ogre
👺	japonais, monstre, monstre japonais
👻	créature, fantastique, fantôme, monstre, visage
👽️	alien, créature, extraterrestre, ovni, visage
👾	espace, extraterrestre, monstre, monstre de l’espace
🤖	androïde, automate, machine, monstre, robot, visage
😺	chat qui sourit, sourire, visage
😸	chat qui sourit avec des yeux rieurs, sourire, visage
😹	chat qui pleure de joie, joie, sourire, visage
😻	amoureux, chat souriant aux yeux en cœurs, cœur, sourire, visage, yeux
😼	chat avec sourire en coin, ironique, narquois, visage
😽	bisou, chat qui fait un bisou, visage
🙀	chat fatigué, fatigue, inquiet, oh, surpris, visage
😿	chat qui pleure, larme, pleurer, triste, visage
😾	bouder, chat qui boude, colère, désaccord, ennui, visage
🙈	aveugle, singe, singe ne rien voir
🙉	singe, singe ne rien entendre, sourd
🙊	muet, singe, singe ne rien dire
💋	baiser, lèvres, rouge, trace de rouge à lèvres
💌	amour, lettre, lettre d’amour
💘	Cupidon, cœur, cœur et flèche, flèche
💝	Saint-Valentin, cœur, cœur avec ruban, ruban
💖	cœur, cœur étincelant
💗	cœur, cœur grandissant
💓	cœur, cœur battant
💞	cœurs, cœurs qui tournent
💕	amour, cœurs, deux cœurs
💟	cœur, décoration avec cœur
❣️	cœur, cœur point d’exclamation, exclamation, ponctuation
💔	cœur, cœur brisé
❤️	cœur, cœur rouge
🧡	cœur orange, orange
💛	cœur, cœur jaune
💚	cœur, cœur vert
💙	cœur, cœur bleu
💜	cœur, cœur violet
🤎	brun, cœur marron, marron
🖤	cœur, cœur noir
🤍	blanc, cœur blanc
💯	cent, cent points
💢	colère, dessin, furieux, symbole de colère
💥	collision, explosion
💫	tournis, étourdissement
💦	gouttes de sueur, sueur, éclaboussures
💨	décamper, filer
🕳️	trou
💣️	bombe, dessin
💬	bulle, bulle de parole, dialogue
👁‍🗨	bulle de BD, témoin, œil, œil dans une bulle de BD
🗨️	bulle, bulle de parole gauche, dialogue
🗯️	bulle, bulle colère droite, colère, droite
💭	bulle, bulle de pensée, pensée
💤	dormir, endormi, ronfler
👋	coucou, main, signe de la main
👋🏻	coucou, main, peau claire, signe de la main, signe de la main : peau claire
👋🏼	coucou, main, peau moyennement claire, signe de la main, signe de la main : peau moyennement claire
👋🏽	coucou, main, peau légèrement mate, signe de la main, signe de la main : peau légèrement mate
👋🏾	coucou, main, peau mate, signe de la main, signe de la main : peau mate
👋🏿	coucou, main, peau foncée, signe de la main, signe de la main : peau foncée
🤚	dos de main levée, levée, main
🤚🏻	dos de main levée, dos de main levée : peau claire, levée, main, peau claire
🤚🏼	dos de main levée, dos de main levée : peau moyennement claire, levée, main, peau moyennement claire
🤚🏽	dos de main levée, dos de main levée : peau légèrement mate, levée, main, peau légèrement mate
🤚🏾	dos de main levée, dos de main levée : peau mate, levée, main, peau mate
🤚🏿	dos de main levée, dos de main levée : peau foncée, levée, main, peau foncée
🖐️	main, main levée doigts écartés
🖐🏻	main, main levée doigts écartés, main levée doigts écartés : peau claire, peau claire
🖐🏼	main, main levée doigts écartés, main levée doigts écartés : peau moyennement claire, peau moyennement claire
🖐🏽	main, main levée doigts écartés, main levée doigts écartés : peau légèrement mate, peau légèrement mate
🖐🏾	main, main levée doigts écartés, main levée doigts écartés : peau mate, peau mate
🖐🏿	main, main levée doigts écartés, main levée doigts écartés : peau foncée, peau foncée
✋	feuille, main, main levée
✋🏻	feuille, main, main levée, main levée : peau claire, peau claire
✋🏼	feuille, main, main levée, main levée : peau moyennement claire, peau moyennement claire
✋🏽	feuille, main, main levée, main levée : peau légèrement mate, peau légèrement mate
✋🏾	feuille, main, main levée, main levée : peau mate, peau mate
✋🏿	feuille, main, main levée, main levée : peau foncée, peau foncée
🖖	main, salut vulcain, vulcain
🖖🏻	main, peau claire, salut vulcain, salut vulcain : peau claire, vulcain
🖖🏼	main, peau moyennement claire, salut vulcain, salut vulcain : peau moyennement claire, vulcain
🖖🏽	main, peau légèrement mate, salut vulcain, salut vulcain : peau légèrement mate, vulcain
🖖🏾	main, peau mate, salut vulcain, salut vulcain : peau mate, vulcain
🖖🏿	main, peau foncée, salut vulcain, salut vulcain : peau foncée, vulcain
👌	geste, main, ok
👌🏻	geste, main, ok, ok : peau claire, peau claire
👌🏼	geste, main, ok, ok : peau moyennement claire, peau moyennement claire
👌🏽	geste, main, ok, ok : peau légèrement mate, peau légèrement mate
👌🏾	geste, main, ok, ok : peau mate, peau mate
👌🏿	geste, main, ok, ok : peau foncée, peau foncée
🤏	petite quantité, petite somme, peu, pouce et index rapprochés, un peu
🤏🏻	peau claire, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau claire, un peu
🤏🏼	peau moyennement claire, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau moyennement claire, un peu
🤏🏽	peau légèrement mate, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau légèrement mate, un peu
🤏🏾	peau mate, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau mate, un peu
🤏🏿	peau foncée, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau foncée, un peu
✌️	V de la victoire, ciseaux, main, victoire
✌🏻	V de la victoire, V de la victoire : peau claire, ciseaux, main, peau claire, victoire
✌🏼	V de la victoire, V de la victoire : peau moyennement claire, ciseaux, main, peau moyennement claire, victoire
✌🏽	V de la victoire, V de la victoire : peau légèrement mate, ciseaux, main, peau légèrement mate, victoire
✌🏾	V de la victoire, V de la victoire : peau mate, ciseaux, main, peau mate, victoire
✌🏿	V de la victoire, V de la victoire : peau foncée, ciseaux, main, peau foncée, victoire
🤞	croisés, doigts, doigts croisés, main
🤞🏻	croisés, doigts, doigts croisés : peau claire, main, peau claire
🤞🏼	croisés, doigts, doigts croisés : peau moyennement claire, main, peau moyennement claire
🤞🏽	croisés, doigts, doigts croisés : peau légèrement mate, main, peau légèrement mate
🤞🏾	croisés, doigts, doigts croisés : peau mate, main, peau mate
🤞🏿	croisés, doigts, doigts croisés : peau foncée, main, peau foncée
🤟	amour, main, signe je t’aime
🤟🏻	amour, main, peau claire, signe je t’aime, signe je t’aime : peau claire
🤟🏼	amour, main, peau moyennement claire, signe je t’aime, signe je t’aime : peau moyennement claire
🤟🏽	amour, main, peau légèrement mate, signe je t’aime, signe je t’aime : peau légèrement mate
🤟🏾	amour, main, peau mate, signe je t’aime, signe je t’aime : peau mate
🤟🏿	amour, main, peau foncée, signe je t’aime, signe je t’aime : peau foncée
🤘	cornes, cornes avec les doigts, main
🤘🏻	cornes, cornes avec les doigts, cornes avec les doigts : peau claire, main, peau claire
🤘🏼	cornes, cornes avec les doigts, cornes avec les doigts : peau moyennement claire, main, peau moyennement claire
🤘🏽	cornes, cornes avec les doigts, cornes avec les doigts : peau légèrement mate, main, peau légèrement mate
🤘🏾	cornes, cornes avec les doigts, cornes avec les doigts : peau mate, main, peau mate
🤘🏿	cornes, cornes avec les doigts, cornes avec les doigts : peau foncée, main, peau foncée
🤙	appel, main, signe, signe appel téléphonique avec les doigts, téléphone
🤙🏻	appel, main, peau claire, signe, signe appel téléphonique avec les doigts, signe appel téléphonique avec les doigts : peau claire, téléphone
🤙🏼	appel, main, peau moyennement claire, signe, signe appel téléphonique avec les doigts, signe appel téléphonique avec les doigts : peau moyennement claire, téléphone
🤙🏽	appel, main, peau légèrement mate, signe, signe appel téléphonique avec les doigts, signe appel téléphonique avec les doigts : peau légèrement mate, téléphone
🤙🏾	appel, main, peau mate, signe, signe appel téléphonique avec les doigts, signe appel téléphonique avec les doigts : peau mate, téléphone
🤙🏿	appel, main, peau foncée, signe, signe appel téléphonique avec les doigts, signe appel téléphonique avec les doigts : peau foncée, téléphone
👈️	doigt, gauche, index, main, main avec index pointant à gauche
👈🏻	doigt, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau claire, peau claire
👈🏼	doigt, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau moyennement claire, peau moyennement claire
👈🏽	doigt, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau légèrement mate, peau légèrement mate
👈🏾	doigt, gauche, index, main, main avec index pointant à gauche, main avec index pointant à gauche : peau mate, peau mate
