😀	grand sourire, large sourire, visage, visage avec large sourire
😃	bouche ouverte, sourire, visage, visage souriant les yeux grands ouverts
😄	bouche ouverte, sourire, visage, visage avec large sourire et yeux rieurs, œil
😁	grand sourire, large sourire, sourire, visage, visage radieux et yeux rieurs, œil
😆	bouche ouverte, rire, satisfait, sourire, visage, visage avec large sourire, les yeux fermés
😅	un visage en sueur avec large sourire
🤣	rire, rire à se rouler par terre, se rouler par terre, visage
😂	joie, larme, rire, visage, visage pleurant de joie
🙂	sourire, visage, visage avec un léger sourire
🙃	renversé, visage, visage à l’envers, à l’envers
😉	clin d’œil, visage, visage clignant d’un œil
😊	rougir, sourire, visage, visage souriant les yeux plissés, œil
😇	ange, auréole, innocent, visage, visage qui sourit avec une auréole
🥰	aimer, amour, amoureuse, amoureux, béguin, cœurs, visage souriant avec cœurs
😍	amour, sourire, visage, visage souriant aux yeux en forme de cœur, œil
🤩	grand sourire, large sourire, visage, visage aux yeux en forme d’étoiles, yeux, étoile
😘	baiser, visage, visage envoyant un baiser
😗	baiser, visage, visage donnant un baiser
☺️	détendu, sourire, visage, visage souriant
😚	baiser, visage, visage faisant un baiser les yeux fermés, yeux fermés
😙	baiser, sourire, visage, visage donnant un baiser avec les yeux plissés, visage faisant un baiser les yeux rieurs, œil
🥲	Visage souriant avec une larme, fier, larme, soulagé, souriant, touché, visage souriant avec larme, ému
😋	délicieux, menoum, miam, savourant, sourire, visage, visage savourant
😛	langue, langue sortie, tire la langue, visage, visage qui tire la langue
😜	clin d’œil, langue, tire la langue, visage, visage qui tire la langue et fait un clin d’œil
🤪	amusant, farfelu, idiot, niaiseux, tête de fou, visage
😝	dégoût, horrible, langue, visage, visage qui tire la langue les yeux plissés, yeux plissés
🤑	argent, argent dans les yeux et la bouche, bouche, dollar, visage, yeux
🤗	câlin, visage, visage heureux et câlin
🤭	Oups, main sur la bouche, visage, visage avec une main sur la bouche
🤫	chut, doigt sur la bouche, silence, visage, visage avec un doigt sur la bouche
🤐	bouche, bouche cousue, fermeture à glissière, visage, visage avec bouche fermeture éclair
😐️	impassible, neutre, visage
😶	muet, sans bouche, silence, silencieux, visage, visage sans bouche
😏	malin, sourire, visage, visage au sourire malin
😒	contrarié, désabusé, pas content, résigné, visage, visage désabusé
🙄	roule des yeux, visage, visage qui roule des yeux, yeux
😌	soulagement, soulagé, visage
😪	endormi, sommeil, visage
🤤	bave, baver, salive, saliver, visage, visage qui bave
😴	endormi, sommeil, visage, visage somnolent, zzz
😷	docteur, froid, malade, masque, médical, visage, visage avec masque
🤕	bandage, blessure, blessé, visage, visage bandé
🤢	nausée, visage, visage écœuré, écœuré
🥵	canicule, chaud, fièvre, rouge, sueur, visage, visage rouge et chaud
🥶	bleu, froid, gelure, gelé, glacial, visage, visage bleu et froid
🥴	bouche ondulée, dans les vapes, hébété, pompette, rond, visage abruti, visage éméché
😵	croches, tournis, visage, yeux, étourdi
🥳	chapeau, célébration, fête, sifflet, visage, visage festif
😎	cool, intelligent, soleil, visage, visage souriant avec des lunettes de soleil
🤓	geek, lunettes, nerd, tronche, visage, visage de tronche
🧐	monocle, sérieux, visage, visage avec un monocle
😮	bouche ouverte, compassion, impressionné, visage, visage épaté
😯	sans voix, stupéfait, surpris, visage, ébahi
😲	choqué, stupéfait, surpris, visage, étonné
🥺	implorant, pitié, supplication, visage, yeux de chiot
😦	bouche, béante, ouverte, renfrogné, visage, visage mécontent avec bouche ouverte
😰	anxieux, bleu, froide, sueur, visage, visage inquiet et en sueur
😥	déçu, fiou, soulagé, visage, visage triste mais soulagé
😢	larmes, pleure, triste, visage, visage qui pleure
😭	chaudes larmes, pleure, sanglot, triste, visage, visage qui pleure à chaudes larmes
😱	cri, munch, peur, terreur, visage, visage qui hurle de peur
😓	froide, sueur, triste, visage, visage triste et en sueur
😤	fumée, triomphe, victoire, visage, visage avec fumée sortant des narines, énervé
😡	boudeur, furieux, rouge, visage, énervé
😠	en colère, furieux, visage, visage en colère
🤬	bipé, blasphème, censuré, sacre, visage, visage avec des symboles dans la bouche
👿	cornes, diable, diablotin, démon, en colère, visage, visage en colère avec des cornes
💀	crâne, fantastique, monstre, mort, visage
💩	caca, crotte, marde, merde, tas de crotte, visage
👹	créature, fantastique, monstre, ogre, visage
👺	créature, fantastique, gobelin, monstre, visage
👽️	alien, créature, extraterrestre, fantastique, ovni, visage
👾	alien, créature, extraterrestre, monstre, monstre de l’espace, ovni, visage
🤖	monstre, robot, visage
😺	bouche, chat, chat qui sourit, ouverte, sourire, visage
😸	chat, chat qui sourit avec des yeux rieurs, sourire, visage, yeux rieurs
😹	chat, chat qui pleure de joie, joie, larmes, sourire, visage
😻	amoureux, chat, chat souriant aux yeux en cœurs, sourire, visage, yeux en forme de cœurs
😼	chat, chat avec sourire en coin, en coin, ironique, sourire, visage
😽	baiser, bec, bisou, chat, chat qui fait un bisou, visage
🙀	chat, chat fatigué, inquiet, surpris, visage, étonné
😿	chat, chat qui pleure, larmes, pleure, triste, visage
😾	chat, chat qui boude, colère, furieux, visage
🙈	aveugle, rien de mal, singe, singe ne rien voir, visage, yeux couverts
🙉	oreilles couvertes, rien de mal, singe, singe ne rien entendre, sourd, visage
🙊	bouche couverte, muet, rien de mal, singe, singe ne rien dire, visage
💌	amour, cœur, lettre, lettre d’amour
💘	cupidon, cœur, cœur et flèche, flèche
💝	cœur, cœur avec ruban, ruban, saint valentin, st valentin
💖	cœur, enthousiaste, étincelant
💗	cœur, grandissant, nerveux, pouls, pulsations
💓	battant, battement, cœur, pulsations
💕	amour, deux cœurs
💟	cœur, décoration, décoration avec cœur
❣️	cœur, cœur point d’exclamation, exclamation, point
💔	brisé, cœur
❤️	cœur, rouge
🧡	cœur, orange
💛	cœur, jaune
💚	cœur, vert
💙	bleu, cœur
💜	cœur, violet
🤎	cœur brun
💯	cent, cent points, marque, score
💢	bande dessinée, colère, furieux, symbole, symbole de colère
💥	bande dessinée, collision, explosion
💫	bande dessinée, tournis, étourdissement
💦	bande dessinée, goutte, gouttes de sueur, sueur, éclaboussure
💨	bande dessinée, décamper, filer, fuir, se sauver, s’enfuir
💣️	bande dessinée, bombe
💬	bande dessinée, bulle, bulle de parole, dialogue, parole
👁‍🗨	bulle, parole, témoin, œil, œil dans une bulle de parole
🗨️	bande dessinée, bulle, bulle de parole à gauche, dialogue, parole, à gauche
🗯️	bande dessinée, bulle, bulle de colère à droite, dialogue, parole, à droite
💭	bande dessinée, bulle, bulle de pensée, pensée
💤	dormir, endormi, ronfler, zzz
👋	coucou, main, signe, signe de la main
👋🏻	coucou, main, peau claire, signe, signe de la main, signe de la main : peau claire
👋🏼	coucou, main, peau modérément claire, signe, signe de la main, signe de la main : peau modérément claire
👋🏽	coucou, main, peau légèrement mate, signe, signe de la main, signe de la main : peau légèrement mate
👋🏾	coucou, main, peau modérément foncée, signe, signe de la main, signe de la main : peau modérément foncée
👋🏿	coucou, main, peau foncée, signe, signe de la main, signe de la main : peau foncée
🤚	dos de main, dos de main levée, levée, main
🤚🏻	dos de main, dos de main levée, dos de main levée : peau claire, levée, main, peau claire
🤚🏼	dos de main, dos de main levée, dos de main levée : peau modérément claire, levée, main, peau modérément claire
🤚🏽	dos de main, dos de main levée, dos de main levée : peau légèrement mate, levée, main, peau légèrement mate
🤚🏾	dos de main, dos de main levée, dos de main levée : peau modérément foncée, levée, main, peau modérément foncée
🤚🏿	dos de main, dos de main levée, dos de main levée : peau foncée, levée, main, peau foncée
🖐️	doigts écartés, main, main aux doigts écartés
🖐🏻	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau claire, peau claire
🖐🏼	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau modérément claire, peau modérément claire
🖐🏽	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau légèrement mate, peau légèrement mate
🖐🏾	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau modérément foncée, peau modérément foncée
🖐🏿	doigts écartés, main, main aux doigts écartés, main aux doigts écartés : peau foncée, peau foncée
✋	levée, main
✋🏻	levée, main, main levée : peau claire, peau claire
✋🏼	levée, main, main levée : peau modérément claire, peau modérément claire
✋🏽	levée, main, main levée : peau légèrement mate, peau légèrement mate
✋🏾	levée, main, main levée : peau modérément foncée, peau modérément foncée
✋🏿	levée, main, main levée : peau foncée, peau foncée
🖖	main, salut, spock, vulcain
🖖🏻	main, peau claire, salut, salut vulcain : peau claire, spock, vulcain
🖖🏼	main, peau modérément claire, salut, salut vulcain : peau modérément claire, spock, vulcain
🖖🏽	main, peau légèrement mate, salut, salut vulcain : peau légèrement mate, spock, vulcain
🖖🏾	main, peau modérément foncée, salut, salut vulcain : peau modérément foncée, spock, vulcain
🖖🏿	main, peau foncée, salut, salut vulcain : peau foncée, spock, vulcain
👌	OK, main, ok
👌🏻	OK, main, ok, ok : peau claire, peau claire
👌🏼	OK, main, ok, ok : peau modérément claire, peau modérément claire
👌🏽	OK, main, ok, ok : peau légèrement mate, peau légèrement mate
👌🏾	OK, main, ok, ok : peau modérément foncée, peau modérément foncée
👌🏿	OK, main, ok, ok : peau foncée, peau foncée
🤌	geste de la main, interrogation, main qui interroge, sarcastique
🤌🏻	geste de la main, interrogation, main qui interroge, main qui interroge : peau claire, peau claire, sarcastique
🤌🏼	geste de la main, interrogation, main qui interroge, main qui interroge : peau modérément claire, peau modérément claire, sarcastique
🤌🏽	geste de la main, interrogation, main qui interroge, main qui interroge : peau légèrement mate, peau légèrement mate, sarcastique
🤌🏾	geste de la main, interrogation, main qui interroge, main qui interroge : peau modérément foncée, peau modérément foncée, sarcastique
🤌🏿	geste de la main, interrogation, main qui interroge, main qui interroge : peau foncée, peau foncée, sarcastique
🤏🏻	pouce et index rapprochés : peau claire
🤏🏼	peau modérément claire, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau modérément claire, un peu
🤏🏽	pouce et index rapprochés : peau légèrement mate
🤏🏾	peau modérément foncée, petite quantité, petite somme, peu, pouce et index rapprochés, pouce et index rapprochés : peau modérément foncée, un peu
🤏🏿	pouce et index rapprochés : peau foncée
✌️	V de la victoire, ciseaux, victoire
✌🏻	V de la victoire, V de la victoire : peau claire, ciseaux, peau claire, victoire
✌🏼	V de la victoire, V de la victoire : peau modérément claire, ciseaux, peau modérément claire, victoire
✌🏽	V de la victoire, V de la victoire : peau légèrement mate, ciseaux, peau légèrement mate, victoire
✌🏾	V de la victoire, V de la victoire : peau modérément foncée, ciseaux, peau modérément foncée, victoire
✌🏿	V de la victoire, V de la victoire : peau foncée, ciseaux, peau foncée, victoire
🤞	chance, croisés, doigts, main
🤞🏻	chance, croisés, doigts, doigts croisés : peau claire, main, peau claire
🤞🏼	chance, croisés, doigts, doigts croisés : peau modérément claire, main, peau modérément claire
🤞🏽	chance, croisés, doigts, doigts croisés : peau légèrement mate, main, peau légèrement mate
🤞🏾	chance, croisés, doigts, doigts croisés : peau modérément foncée, main, peau modérément foncée
🤞🏿	chance, croisés, doigts, doigts croisés : peau foncée, main, peau foncée
🤟	amour, je t’aime, main, signe, signe je t’aime
🤟🏻	amour, je t’aime, main, peau claire, signe, signe je t’aime, signe je t’aime : peau claire
🤟🏼	amour, je t’aime, main, peau modérément claire, signe, signe je t’aime, signe je t’aime : peau modérément claire
🤟🏽	amour, je t’aime, main, peau légèrement mate, signe, signe je t’aime, signe je t’aime : peau légèrement mate
🤟🏾	amour, je t’aime, main, peau modérément foncée, signe, signe je t’aime, signe je t’aime : peau modérément foncée
🤟🏿	amour, je t’aime, main, peau foncée, signe, signe je t’aime, signe je t’aime : peau foncée
🤘	cornes, cornes avec les doigts, doigts, main, rock
