😀	aodann, aodann le gàire, fiamh-ghàire, gàire
😃	aodann, aodann le gàire is sùilean fosgailte, beul, fiamh-ghàire, fosgailte
😄	aodann, aodann le gàire na shùilean, beul, fiamh-ghàire, fosgailte, sùil
😁	aodann, aodann le gàire mhòr, fiamh-ghàire, sùil
😆	aodann, aodann le gàire, beul fosgailte ⁊ sùilean dùinte, beul, fiamh-ghàire, fosgailte, gàire, sàsaichte
😅	aodann, aodann le gàire a’ cur fallas, fallas, fiamh-ghàire, fosgailte, fuar
🤣	aodann, a’ ruidhleadh air an làr a’ gàireachdainn, gàire, gàireachdainn, làr, roladh, ruidhleadh
😂	aodann, aodann le deòir shona, deur, gàire, sona
🙂	aodann, aodann le fiamh gàire beag, fiamh-ghàire
🙃	aodann, aodann bun os cionn, bun os cionn
😉	aodann, aodann le sùil bheag, priobadh, sùil bheag
😊	aodann, aodann le gàire agus sùilean toilichte, fiamh-ghàire, ruadhadh, sùil
😇	aingeal, aodann, aodann le gàire agus riomball, fantastach, faoinsgeul, fiamh-ghàire, neoichiontach, riomball
🥰	ann an gaol, aodann le fiamh-ghàire is cridheachan, gaol, sùil mhòr ort, trom-ghràdh
😍	aodann, aodann le gàire agus sùilean an cumadh cridhe, fiamh-ghàire, gaol, sùil
🤩	aodann, aodann toilichte le rionnagan na shùilean, fiamh-ghàire, rionnag, sùilean
😘	aodann, aodann a’ caitheamh pòg, pòg
😗	aodann, aodann pòige, pòg
☺️	aodann, aodann le fiamh-ghàire, fiamh-ghàire, oir-loidhne, socair
😚	aodann, aodann a’ pògadh le sùilean dùinte, dùinte, pòg, sùil
😙	aodann, aodann a’ pògadh le sùilean toilichte, fiamh-ghàire, pòg, sùil
😋	aodann, aodann ag ithe biadh blasta, biadh, blasta, fiamh-ghàire, math
😛	aodann, aodann a’ cur a-mach na teanga, teanga
😜	aodann, aodann le theanga ga cur a-mach ⁊ sùil bheag, fealla-dhà, priobadh, sùil, sùil bheag, teanga
🤪	aodann às a rian, beag, mòr, sùil
😝	aodann, aodann le theanga ga cur a-mach ⁊ sùilean dùinte, blas, sùil, teanga, uabhasach
🤑	airgead, aodann, aodann le sùilean is teanga airgid, beul
🤗	aodann, aodann a’ pasgadh gàirdeanan timcheall, gàirdeanan, pasgadh, timcheall
🤭	aodann le làmh air a beul, oich
🤫	aodann “Ist!”, ist, sàmhach, tost
🤔	aodann, aodann ri smaoineachadh, smaoineachadh
🤐	aodann, aodann le bilean seulaichte, beul, bilean, seulaichte
🤨	aodann le mala togta, dì-earbsa, teagamh, teagamhaiche
😐️	aodann, aodann gun fhiamh, bàn, gun fhaireachdainn, gun fhiamh
😑	aodann, aodann gun fhaireachdainn, bàn, gun fhaireachdainn, gun fhiamh
😶	aodann, aodann gun bheul, beul, sàmhach, tost
😏	aodann, aodann le plìonas, plìonas
