😀	cara, cara moi riseira, sorriso
😃	aberta, boca, cara, cara moi riseira con ollos grandes, sorriso
😄	boca, cara, cara moi riseira cos ollos alegres, ollos, sorriso
😁	cara, cara radiante cos ollos alegres, ollos, sorriso
😆	cara, cara rindo ás gargalladas, ollos pechados, risa
😅	boca, cara, cara moi riseira cunha pinga de suor, sorriso, suor
🤣	cara, cara esmendrellándose de risa, esmendrellarse, gargallada, risa
😂	alegría, bágoas, cara, cara chorando de risa
🙂	cara, cara cun leve sorriso, sorriso
🙃	cara, cara ao revés, revés
😉	cara, cara chiscando un ollo, chiscadela, ollo
😊	alegre, cara alegre con ollos riseiros, ollos, sorriso
😇	anxo, auréola, cara riseira con auréola, santa, santo
🥰	amor, cara con corazóns, cara riseira con corazóns, enc´ántame, namorada
😍	amor, cara, cara con ollos en forma de corazón, corazóns, sorriso
🤩	cara, cara con ollos en forma de estrela, estrela, felicidade, ollos
😘	bico, cara, cara mandando un bico, corazón
😗	bico, cara, cara dando un bico
☺️	cara, cara riseira, sorriso
😚	bico, cara, cara dando un bico cos ollos pechados, coloretes, ollos
😙	bico, cara, cara dando un bico con ollos riseiros, ollos
😋	cara, cara de saborear algo delicioso, delicioso, rico, saborear
😛	broma, cara, cara sacando a lingua, lingua
😜	broma, cara, cara sacando a lingua e chiscando un ollo, chiscadela, lingua
🤪	cara, cara de tolo, ollo, tolemia, tolo
😝	cara, cara sacando a lingua e cos ollos pechados, lingua, noxo, ollos pechados
🤑	cara, cara de pensar en cartos, cartos, diñeiro
🤗	abrazo, cara, cara dando un abrazo
🤭	cara, cara rindo disimuladamente, disimulada, man, risa
🤫	calada, calado, calar, cara de mandar calar, silencio
🤔	cara, cara pensativa, pensar
🤐	boca, cara, cara coa boca pechada cunha cremalleira, cremalleira, silencio
🤨	cara cunha cella levantada, cella, desconfianza, escepticismo
😐️	cara, cara neutra, neutra
😑	cara, cara inexpresiva, inexpresiva
😶	boca, calar, cara, cara sen boca, silencio
😏	cara, cara con sorriso malicioso, malicia, sorriso
😒	aburrido, cara, cara de que non ten graza, desagrado, desaprobación
🙄	cara, cara cos ollos en branco, ollos en branco
😬	cara, cara apertando os dentes, dentes, nervios
🤥	Pinocchio, cara de mentirán, mentira, mentireira, mentireiro, nariz
😌	alivio, cara, cara de alivio
😔	cara, cara desanimada, desánimo, pensativo, triste
😪	cara, cara de sono, sono
🤤	baba, babas, babexar, cara, cara babexando
😴	cara, cara durmindo, durmir, sono
😷	cara, cara con máscara médica, enferma, enfermo, máscara
🤒	cara, cara con termómetro, enferma, enfermo, termómetro
🤕	accidente, cara, cara coa cabeza vendada, ferido, venda
🤢	cara, cara de mareo, mareada, mareado, mareo, náuseas
🤮	cara, cara vomitando, noxo, vomitar, vómito
🤧	arrefriada, arrefriado, cara acatarrada, catarreira, catarro, mocos
🥵	calor, cara de calor, febre, golpe de calor, suar
🥶	cara de frío, conxelada, conxelado, frío
🥴	borracha, borracho, bébeda, bébedo, cara atordada
😵	atordamento, cara, cara mareada, mareo
🤯	cabeza, cara, cara de estoupar a cabeza, estoupar
🤠	cara, sombreiro, sombreiro de vaqueiro, vaqueira, vaqueiro
🥳	aniversario, cara de festa, celebración, celebrar, festa
😎	cara, cara riseira con lentes de sol, lentes de sol, sorriso
🤓	anteollos, cara, cara de chapón, chapón, estudar
🧐	cara, cara con monóculo, monóculo
😕	cara, cara confusa, confusa, confusión, confuso
😟	cara, cara de preocupación, preocupación, preocupado
🙁	cara, cara triste, triste, tristeza
☹️	cara, cara moi triste, decepción, triste, tristeza
😮	boca aberta, cara, cara coa boca aberta
😯	cara, cara estupefacta, estupefacto, pasmo
😲	abraio, asombro, cara, cara abraiada
😳	arroibado, cara, cara arroibada, vergoña
🥺	cara de súplica, implorar, pedir clemencia, pedir compaixón, suplicar
😦	aberta, boca, cara, cara triste coa boca aberta, triste
😧	angustia, cara, cara de angustia, sufrimento
😨	cara, cara de medo, medo, terror
😰	boca aberta, cara, cara coa boca aberta e suor fría, suor fría
😥	alivio, cara, cara triste pero aliviada, decepción, pinga, suor
😢	bágoa, cara, cara chorando, chorar, triste
😭	bágoas, cara, cara chorando desconsoladamente, chorar, desconsolo
😱	aterrorizar, berrar, cara, cara berrando de medo, medo
😖	cara, cara de frustración, frustración, frustrado
😣	cara, cara de estragalo todo, estragar, perseverante
😞	cara, cara de decepción, decepcionado, decepción, desilusión
😓	cara, cara con suor fría, suor fría
😩	cansazo, cara, cara de esgotamento, esgotamento
😫	cansa, cansazo, canso, cara, cara de cansazo
🥱	aburrimento, bocexo, canso, cara bocexando, sono
😤	botar fume, cabreo, cara, cara botando fume, enfado
😡	cara, cara furiosa, ira, rabia
😠	cabreo, cara, cara de cabreo, enfado
🤬	cabreo, cara, cara insultando, insultar, insulto
😈	cara, cara de demo riseiro, demo, maldade, sorriso
👿	cara, cara de demo, demo, pillabana, pillabán
💀	caveira, morte
☠️	caveira, caveira e osos, morte, osos
💩	caca, merda
🤡	cara, cara de pallaso, circo, pallasa, pallaso
👹	cara, ogro, ogro xaponés, xaponés
👺	cara, demo, demo xaponés, tengu, xaponés
👻	fantasma, pantasma, susto
👽️	espazo, extraterrestre, ovni
👾	espazo, extraterrestre, monstro, monstro extraterrestre, ovni
🤖	cara, cara de robot, robot
😺	cara, gato, gato moi riseiro, riseiro, sorriso
😸	cara, gato, gato moi riseiro cos ollos alegres, ollos alegres, sorriso
😹	bágoas, chorar de risa, escachar, gato, gato chorando de risa
😻	cara, corazóns, gato, gato con ollos en forma de corazón, sorriso
😼	cara, gato, gato con sorriso irónico, ironía, sorriso irónico
😽	bico, cara, gato, gato dando un bico, ollos
🙀	cara, gato, gato con cara de esgotamento, sorpresa, susto
😿	bágoa, chorar, gato chorando, triste
😾	gato, gato furioso, ira, rabia
🙈	cara, mono, mono cos ollos tapados, ollos, tapados
🙉	cara, mono, mono coas orellas tapadas, orellas, tapadas
🙊	boca, cara, mono, mono coa boca tapada, tapada
💋	beizos, bico, labios, marca, marca de bico
💌	amor, carta, carta de amor, corazón, correo
💘	amor, corazón, corazón con frecha, cupido, frecha
💝	San Valentín, corazón, corazón cun lazo, lazo
💖	amor, corazón, corazón escintilante, escintilar
💗	amor, corazón, corazón crecendo, emoción, entusiasmo
💓	amor, corazón, corazón latexando, latexo
💞	corazóns, corazóns voando, voar
💕	amor, corazóns, dous corazóns
💟	corazón, decoración, decoración en forma de corazón
❣️	admiración, corazón, exclamación, exclamación en forma de corazón, puntuación
💔	corazón, corazón roto, desamor, romper o corazón, roto
❤️	amor, corazón
🧡	corazón, corazón laranxa, laranxa
💛	amarelo, corazón, corazón amarelo
💚	corazón, corazón verde, verde
💙	azul, corazón, corazón azul
💜	corazón, corazón violeta, violeta
🤎	castaño, corazón, corazón marrón, marrón
🖤	corazón, corazón negro, maldade, malvado, negro
🤍	branco, corazón, corazón branco
💯	100, 100 puntos, cen, puntos, puntuación
💢	cómic, enfado, símbolo de enfado
💥	colisión, cómic, explosión
💫	atordamento, cómic, estrelas, mareo, símbolo de atordamento
💦	cómic, pingas de suor, salpicadura, salpicar, suor
💨	cómic, escapar, saír correndo, símbolo de saír correndo
🕳️	buraco, burato
💣️	bomba, cómic
💬	cómic, diálogo, falar, globo, globo de diálogo á esquerda
👁‍🗨	globo, globo de diálogo en forma de ollo, ollo, testemuña
🗨️	cómic, diálogo, falar, globo, globo de diálogo á dereita
🗯️	berrar, cómic, diálogo, globo, globo de diálogo enfadado
💭	cómic, globo, globo de pensamento, pensamento
💤	cómic, durmindo, durmir, símbolo de estar durmindo
👋	man, man saudando, saudar, saúdo
👋🏻	man, man saudando, man saudando: ton de pel moi claro, saudar, saúdo, ton de pel moi claro
👋🏼	man, man saudando, man saudando: ton de pel claro, saudar, saúdo, ton de pel claro
👋🏽	man, man saudando, man saudando: ton de pel medio, saudar, saúdo, ton de pel medio
👋🏾	man, man saudando, man saudando: ton de pel escuro, saudar, saúdo, ton de pel escuro
👋🏿	man, man saudando, man saudando: ton de pel moi escuro, saudar, saúdo, ton de pel moi escuro
🤚	deter, man, palma, palma da man
🤚🏻	deter, man, palma, palma da man, palma da man: ton de pel moi claro, ton de pel moi claro
🤚🏼	deter, man, palma, palma da man, palma da man: ton de pel claro, ton de pel claro
🤚🏽	deter, man, palma, palma da man, palma da man: ton de pel medio, ton de pel medio
🤚🏾	deter, man, palma, palma da man, palma da man: ton de pel escuro, ton de pel escuro
🤚🏿	deter, man, palma, palma da man, palma da man: ton de pel moi escuro, ton de pel moi escuro
🖐️	aberta, man, man aberta
🖐🏻	aberta, man, man aberta: ton de pel moi claro, ton de pel moi claro
🖐🏼	aberta, man, man aberta: ton de pel claro, ton de pel claro
🖐🏽	aberta, man, man aberta: ton de pel medio, ton de pel medio
🖐🏾	aberta, man, man aberta: ton de pel escuro, ton de pel escuro
🖐🏿	aberta, man, man aberta: ton de pel moi escuro, ton de pel moi escuro
✋	levantada, man, man levantada
✋🏻	levantada, man, man levantada: ton de pel moi claro, ton de pel moi claro
✋🏼	levantada, man, man levantada: ton de pel claro, ton de pel claro
✋🏽	levantada, man, man levantada: ton de pel medio, ton de pel medio
✋🏾	levantada, man, man levantada: ton de pel escuro, ton de pel escuro
✋🏿	levantada, man, man levantada: ton de pel moi escuro, ton de pel moi escuro
🖖	Spock, Star Trek, man, saúdo, saúdo vulcaniano
🖖🏻	Spock, Star Trek, man, saúdo, saúdo vulcaniano, saúdo vulcaniano: ton de pel moi claro, ton de pel moi claro
🖖🏼	Spock, Star Trek, man, saúdo, saúdo vulcaniano, saúdo vulcaniano: ton de pel claro, ton de pel claro
🖖🏽	Spock, Star Trek, man, saúdo, saúdo vulcaniano, saúdo vulcaniano: ton de pel medio, ton de pel medio
🖖🏾	Spock, Star Trek, man, saúdo, saúdo vulcaniano, saúdo vulcaniano: ton de pel escuro, ton de pel escuro
🖖🏿	Spock, Star Trek, man, saúdo, saúdo vulcaniano, saúdo vulcaniano: ton de pel moi escuro, ton de pel moi escuro
👌	OK, man, perfecto, xesto de “OK”
👌🏻	OK, man, perfecto, ton de pel moi claro, xesto de “OK”, xesto de “OK”: ton de pel moi claro
👌🏼	OK, man, perfecto, ton de pel claro, xesto de “OK”, xesto de “OK”: ton de pel claro
👌🏽	OK, man, perfecto, ton de pel medio, xesto de “OK”, xesto de “OK”: ton de pel medio
👌🏾	OK, man, perfecto, ton de pel escuro, xesto de “OK”, xesto de “OK”: ton de pel escuro
👌🏿	OK, man, perfecto, ton de pel moi escuro, xesto de “OK”, xesto de “OK”: ton de pel moi escuro
🤏	chisco, miga, pouquichiño, pouquiño, xesto de "un chisco"
🤏🏻	chisco, miga, pouquichiño, pouquiño, ton de pel moi claro, xesto de "un chisco", xesto de "un chisco": ton de pel moi claro
🤏🏼	chisco, miga, pouquichiño, pouquiño, ton de pel claro, xesto de "un chisco", xesto de "un chisco": ton de pel claro
🤏🏽	chisco, miga, pouquichiño, pouquiño, ton de pel medio, xesto de "un chisco", xesto de "un chisco": ton de pel medio
🤏🏾	chisco, miga, pouquichiño, pouquiño, ton de pel escuro, xesto de "un chisco", xesto de "un chisco": ton de pel escuro
🤏🏿	chisco, miga, pouquichiño, pouquiño, ton de pel moi escuro, xesto de "un chisco", xesto de "un chisco": ton de pel moi escuro
✌️	man, triunfo, vitoria, xesto, xesto de vitoria
✌🏻	man, ton de pel moi claro, triunfo, vitoria, xesto, xesto de vitoria, xesto de vitoria: ton de pel moi claro
✌🏼	man, ton de pel claro, triunfo, vitoria, xesto, xesto de vitoria, xesto de vitoria: ton de pel claro
✌🏽	man, ton de pel medio, triunfo, vitoria, xesto, xesto de vitoria, xesto de vitoria: ton de pel medio
✌🏾	man, ton de pel escuro, triunfo, vitoria, xesto, xesto de vitoria, xesto de vitoria: ton de pel escuro
✌🏿	man, ton de pel moi escuro, triunfo, vitoria, xesto, xesto de vitoria, xesto de vitoria: ton de pel moi escuro
🤞	cruzar, dedos, dedos cruzados, man, sorte
🤞🏻	cruzar, dedos, dedos cruzados, dedos cruzados: ton de pel moi claro, man, sorte, ton de pel moi claro
🤞🏼	cruzar, dedos, dedos cruzados, dedos cruzados: ton de pel claro, man, sorte, ton de pel claro
🤞🏽	cruzar, dedos, dedos cruzados, dedos cruzados: ton de pel medio, man, sorte, ton de pel medio
🤞🏾	cruzar, dedos, dedos cruzados, dedos cruzados: ton de pel escuro, man, sorte, ton de pel escuro
🤞🏿	cruzar, dedos, dedos cruzados, dedos cruzados: ton de pel moi escuro, man, sorte, ton de pel moi escuro
🤟	I Love You, ILY, man, xesto, xesto das iniciais de "I Love You"
🤟🏻	I Love You, ILY, man, ton de pel moi claro, xesto, xesto das iniciais de "I Love You", xesto das iniciais de "I Love You": ton de pel moi claro
🤟🏼	I Love You, ILY, man, ton de pel claro, xesto, xesto das iniciais de "I Love You", xesto das iniciais de "I Love You": ton de pel claro
🤟🏽	I Love You, ILY, man, ton de pel medio, xesto, xesto das iniciais de "I Love You", xesto das iniciais de "I Love You": ton de pel medio
🤟🏾	I Love You, ILY, man, ton de pel escuro, xesto, xesto das iniciais de "I Love You", xesto das iniciais de "I Love You": ton de pel escuro
🤟🏿	I Love You, ILY, man, ton de pel moi escuro, xesto, xesto das iniciais de "I Love You", xesto das iniciais de "I Love You": ton de pel moi escuro
🤘	cornos, man, man facendo os cornos, rock and roll
🤘🏻	cornos, man, man facendo os cornos, man facendo os cornos: ton de pel moi claro, rock and roll, ton de pel moi claro
🤘🏼	cornos, man, man facendo os cornos, man facendo os cornos: ton de pel claro, rock and roll, ton de pel claro
🤘🏽	cornos, man, man facendo os cornos, man facendo os cornos: ton de pel medio, rock and roll, ton de pel medio
🤘🏾	cornos, man, man facendo os cornos, man facendo os cornos: ton de pel escuro, rock and roll, ton de pel escuro
🤘🏿	cornos, man, man facendo os cornos, man facendo os cornos: ton de pel moi escuro, rock and roll, ton de pel moi escuro
🤙	chamar, chámame, man, xesto de chamar por teléfono
🤙🏻	chamar, chámame, man, ton de pel moi claro, xesto de chamar por teléfono, xesto de chamar por teléfono: ton de pel moi claro
🤙🏼	chamar, chámame, man, ton de pel claro, xesto de chamar por teléfono, xesto de chamar por teléfono: ton de pel claro
🤙🏽	chamar, chámame, man, ton de pel medio, xesto de chamar por teléfono, xesto de chamar por teléfono: ton de pel medio
🤙🏾	chamar, chámame, man, ton de pel escuro, xesto de chamar por teléfono, xesto de chamar por teléfono: ton de pel escuro
🤙🏿	chamar, chámame, man, ton de pel moi escuro, xesto de chamar por teléfono, xesto de chamar por teléfono: ton de pel moi escuro
👈️	dedo, esquerda, man, índice, índice apuntando á esquerda
👈🏻	dedo, esquerda, man, ton de pel moi claro, índice, índice apuntando á esquerda, índice apuntando á esquerda: ton de pel moi claro
