😀	ચહેરો, સ્મિત, સ્મિત કરતો ચહેરો
😃	ખુલ્લા મોં સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લું, ચહેરો, મોટી આંખો સાથે સ્મિત કરતો ચહેરો, સ્મિત
😄	આંખ, ખુલ્લા મોં અને હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લું, ચહેરો, મોં, સ્મિત, હસતી આંખો સાથે સ્મિત કરતો ચહેરો
😁	આંખ, ચહેરો, સ્મિત, હસતી આંખો સાથેનો સ્મિત કરતો ચહેરો, હસવું
😆	ખુલ્લા મોં અને ચુસ્તપણે બંધ આંખો સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લા મોંએ હાસ્ય, ખુલ્લું મોઢું, ચહેરો, બંધ આંખો, બંધ આંખો સાથેનું હાસ્ય
😅	ખુલ્લા મોં અને ઠંડા પરસેવા સાથેનો સ્મિત કરતો ચહેરો, ખુલ્લો, ચહેરો, ઠંડો, પરસેવો, પરસેવો સાથે સ્મિત કરતો ચહેરો, સ્મિત
🤣	ચહેરો, જમીન, જમીન પર લોટીને હસવું, લોટવું, હસવું
😂	અશ્રુ, આનંદ, ચહેરો, હર્ષના આંસુ સાથેનો ચહેરો, હાસ્ય
🙂	ચહેરો, મુખ, સહેજ સ્મિત કરતો ચહેરો, સ્મિત, હાસ્ય
🙃	ઊંધો, ઊંધો ચહેરો, ચહેરો, મુખ
😉	આંખ મારતો ચહેરો, આંખ મારવી, ચહેરો
😊	ચહેરો, હસતી આંખો, હસતો ચહેરો, હસતો ચહેરો અને આંખો, હસ્તી આંખો સાથેનો સ્મિત કરતો ચહેરો, હાસ્ય
😇	ચહેરો, પ્રભાવલય, પ્રભાવલય સાથેનું હાસ્ય, પ્રભાવલય સાથેનો સ્મિત કરતો ચહેરો, મુખ, હાસ્ય
🥰	ક્રશ, પૂજવું, પ્રેમમાં, હૃદય, હૃદય સાથે હસતાં ચહેરો, હૃદય સાથે હસતો ચહેરો
😍	આંખો, ચહેરો, પ્રેમ, સ્મિત, હૃદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો, હ્રદયાકારની આંખો સાથેનો સ્મિત કરતો ચહેરો
🤩	સ્ટાર સ્ટ્રક
😘	ચહેરો, ચુંબન, ચુંબન ઉછાળતો ચહેરો
😗	ચહેરો, ચુંબન, ચુંબન કરતો ચહેરો
☺️	ચહેરો, બિન-ભરેલો સ્માઇલી ચહેરો, મુખ, સ્માઇલી, હસતો ચહેરો
😚	આંખ, ચહેરો, ચુંબન, બંધ, બંધ આંખો સાથે ચુંબન કરતો ચહેરો
😙	આંખો, ચહેરો, ચુંબન, હસતી આંખો સાથેનો ચુંબન કરતો ચહેરો, હાસ્ય
😋	ચહેરો, યમ યમ મસ્ત, સ્વાદિષ્ટ, સ્વાદિષ્ટ ભોજન, સ્વાદિષ્ટના ભાવવાળો ચહેરો, હસતો ચહેરો
😛	ચહેરો, જીભ, જીભ બહાર કાઢેલો ચહેરો, બહાર કાઢેલી જીભ સાથેનો ચહેરો
😜	આંખ, આંખ મારવાની સાથે જીભ બહાર કાઢતો ચહેરો, આંખ મારવી, ચહેરો, જીભ, જીભ સાથે આંખ મારતો ચહેરો, મજાક
🤪	ઉન્મત્ત ચહેરો
😝	આંખ, ચહેરો, ચુસ્તપણે બંધ આંખો સાથે જીભ બહાર કાઢતો ચહેરો, જીભ, જીભ સાથે ચુસ્તપણે બંધ આંખોવાળો ચહેરો, ભયાનક, સ્વાદ
🤑	ચહેરો, ધન, ધનવાળો ચહેરો, મુખ
🤗	આલિંગન, આલિંગન કરતો ચહેરો, આલિંગન કરવું, ચહેરો
🤭	મોં પર હાથ મૂકેલો ચહેરો
🤫	ચૂપ કરતો ચહેરો
🤔	ચહેરો, વિચાર કરતો, વિચારશીલ ચહેરો
🤐	ચહેરો, ઝિપથી બંધ કરેલો મોઢું, મુખ, મોઢા પર ઝિપ સાથેનો ચહેરો
🤨	ઊંચી ભ્રમર સાથેનો ચહેરો
😐️	કોઈ ટિપ્પણી નહીં, ચહેરો, તટસ્થ, તટસ્થ ચહેરો, ભાવશૂન્ય
😑	અકથનીય ચહેરો, કોઈ ટિપ્પણી નહીં, ચહેરો, ભાવશૂન્ય ચહેરો, મુખ, હાવભાવવિહીન
😶	ચહેરો, મુખ, મોંઢા વગરનો, મોંઢા વગરનો ચહેરો
😏	કૃત્રિમ, કૃત્રિમ હસતો ચહેરો, ચહેરો
😒	ચહેરો, દુઃખી, નાખુશ, નાખુશ ચહેરો
