😀	arc, nevetés, nevető arc
😃	arc, mosoly, nagyra nyílt szemmel mosolygó arc, nyitott száj, vidámság
😄	arc, mosoly, nevető arc mosolygó szemmel, szem, száj
😁	arc, mosoly, mosolygó szemmel nevető arc, szem
😆	arc, nevetés, nyitott száj, nyitott szájjal és lehunyt szemmel mosolygó arc
😅	arc, hideg verejték, mosoly, nevető arc verejtékkel, nyitott száj
🤣	fej, gurul, gurul a nevetéstől, nevet, nevetés
😂	arc, arc örömkönnyekkel, könnyek, nevetés, öröm
🙂	arc, finoman mosolygó arc, mosoly
🙃	arc, fejjel lefelé, fejjel lefelé fordult arc
😉	arc, kacsintás, kacsintó arc
😊	elpirul, elvörösödik, mosoly, mosolygó arc mosolygó szemmel, vidám szemek
😇	angyal, arc, glória, mese, mosoly, mosolygó arc glóriával, ártatlanság
🥰	imádat, mosolygós arc szívekkel, szerelem, szerelmes
😍	arc, mosoly, mosolygó arc szív alakú szemmel, szem, szerelem, szívek
🤩	arc, csillag, csillagszemű, szemek, vigyorgó
😘	arc, csók, csókot dobó arc, puszi, szív
😗	arc, csók, csókoló arc, puszi
☺️	arc, mosoly, mosolygó arc, nyugodt
😚	arc, csók, csókoló arc lehunyt szemmel, lehunyt szem, puszi
😙	arc, csók, csókoló arc mosolygó szemmel, puszi, szem
😋	arc, finom, finom ételt élvező arc, mosoly, nyami
😛	arc, arc kinyújtott nyelvvel, nyelv
😜	arc, arc kinyújtott nyelvvel és kacsintó szemmel, kacsintás, mosoly, nyelv, szem, vicc
🤪	kicsi, nagy, szem, őrült fej
😝	arc, arc kilógó nyelvvel és erősen behunyt szemmel, kiöltött nyelv, lehunyt szem, szörnyű íz
🤑	arc, arc dollárjelekkel, dollár, pénz, száj
🤗	arc, ölelés
🤭	arc szájra tett kézzel, hoppá
🤫	csend, csitt, csitító arc
🤔	arc, elgondolkodó, gondolkodó arc
🤐	arc, arc összecipzározott szájjal, cipzár, száj
🤨	bizalmatlan, felhúzott szemöldökű arc, kételkedő
😐️	arc, pókerarc, semleges, semleges arc
😑	arc, kifejezéstelen, kifejezéstelen arc, semleges, érzéketlen
😶	arc, csendes, nincs szája, néma, száj nélküli arc
😏	arc, vigyor, önelégült, önelégült vigyor
😒	arc, szomorú, szomorú arc
🙄	arc, forgó szemek, szemét forgató arc
😬	arc, grimasz, grimaszoló arc
🤥	arc, hazudik, hazudó, hazudó arc, hazudós, pinokkió
😌	arc, megkönnyebbült, megkönnyebbült arc
😔	arc, elgondolkodó, elgondolkodó arc, tűnődő
😪	arc, álmos, álmos arc, ásít
🤤	fej, nyál, nyáladzó, nyáladzó fej
😴	alvás, alvó arc, arc, zzz
😷	arc, arc egészségügyi maszkkal, betegség, egészségügyi maszk, gyógyszer, orvos
🤒	arc, arc lázmérővel, beteg, lázmérő
🤕	arc, arc bekötött fejjel, kötés, sérülés
🤢	arc, hányás, émelygő, émelygő arc
🤮	beteg, hány, hányó arc
🤧	fej, hapci, tüsszent, tüsszentő, tüsszentő arc
🥵	forró arc, forróság, hőguta, izzadó, lázas, vörös arcú
🥶	elkékült arc, fagyos arc, fagyoskodik, fagyás, hideg, jégcsapok
🥴	hullámvonalas száj, ittas, keresztbeálló szemek, kába, részeges arc, spicces
😵	arc, szédülés, szédülő arc
🤯	felrobbanó fej, megdöbbent
🤠	cowboy, cowboykalapos fej, fej, kalap
🥳	buli, bulizó arc, csákó, duda, ünneplés
😎	arc, laza, mosoly, mosolygó arc napszemüveggel, napszemüveg
🤓	arc, gépmániás, kocka, kockaarc
🧐	arc monoklival, mérges
😕	arc, zavart, zavart arc
😟	aggodalmas, aggódó arc, arc
🙁	arc, kissé komor arc, rosszallás
☹️	arc, rosszallás, rosszalló arc
😮	arc, arc nyitott szájjal, csodálkozás, nyitott száj
😯	arc, döbbent, meglepett, meglepődött, meglepődött arc
😲	arc, csodálkozó, lenyűgözött, lenyűgözött arc
😳	arc, elpirul, elpirult arc, elvörösödik
🥺	bociszemek, esedező arc, kérlelő, könyörgős
😦	arc, nyitott száj, rosszallás, rosszalló arc nyitott szájjal
😧	arc, elgyötört, elkínzott, elkínzott arc
😨	arc, félelem, félelemmel teli arc, rémült
😰	aggódó arc nyitott szájjal és verejtékkel, arc, hideg verejték, nyitott száj, rohanás
😥	arc, csalódott, csalódott, de megkönnyebbült arc, huhh, megkönnyebbült
😢	arc, könnycsepp, szomorúság, sírás, síró arc
😭	arc, könnyek, szomorúság, sírás, zokogás, zokogó arc
😱	arc, félelem, félelemtől sikoltó arc, munch, rémület, sikoly
😖	arc, összezavarodott, összezavarodott arc
😣	arc, állhatatos arc, állhatatosság
😞	arc, csalódott, csalódott arc
😓	arc, lehangolt arc verejtékkel, verejték
😩	arc, fáradt, kimerült, kimerült arc, megviselt
😫	arc, fáradt arc, fáradtság
🥱	arc, fáradt, ásít, ásítás, ásító, ásító arc
😤	arc, győzelem, orrából gőzt fújtató arc, siker
😡	arc, duzzog, duzzogó arc, dühös, mérges, vörös
😠	arc, dühös, mérges, mérges arc
🤬	arc jelekkel a száján, káromkodás
😈	arc, fantasy, mese, mosoly, mosolygó arc szarvakkal, szarvak, ördög
👿	démon, fantasy, mese, mérges arc szarvakkal, ördög
💀	csont, halál, koponya, szörny
☠️	arc, csont, csontok, halál, koponya, koponya csontokkal
💩	kaka, kaki, kakiarc, kakihalom, képregény
🤡	bohóc, bohócfej, fej
👹	arc, japán, lény, mese, ogre, szörny, óriás
👺	arc, fantasy, japán, kobold, lény, mese, szörny
👻	arc, kísértet, lény, mese, szellem, szörny
👽️	földönkívüli, idegen, ufó, űrlény
👾	földönkívüli, földönkívüli szörny, idegen, szörny, ufó, űrlény
🤖	arc, robot, szörny
😺	arc, macska, mosoly, nevető macska, nyitott, száj
😸	arc, macska, mosolygó, nevetés, nevető macska mosolygó szemmel, szem
😹	arc, könny, macska, macska örömkönnyekkel, mosoly, örömkönny
😻	arc, macska, mosoly, mosolygó macska szív alakú szemmel, szerelem, szív
😼	arc, fanyar, irónia, macska, macska fanyar mosollyal, mosoly
😽	arc, csók, csókoló, csókoló macska, macska
🙀	arc, hűha, kimerült, kimerült macska, macska
😿	arc, macska, szomorú, sírás, síró, síró macska
😾	arc, duzzogás, duzzogó, duzzogó macska, macska
🙈	majom, nem, nem lát semmit, nem láttam semmit, tilos
🙉	majom, nem, nem hall semmit, nem hallottam semmit, tilos
🙊	majom, nem, nem szól semmit, nem szólok semmit, tilos
💋	ajkak, csók, csóknyom, romantika, szenvedély
💌	levél, romantika, szerelem, szerelmes levél, szív
💘	Cupido, nyíl, nyíllal átlőtt szív, romantika, szerelem
💝	ajándék, szalag, szív, szív szalaggal, valentin-nap
💖	izgatott, ragyogás, ragyogó szív, szív
💗	idegesség, izgalom, növekvő szív, szív, szívdobogás
💓	dobogó szív, szív, szívdobogás
💞	forgás, forgó szívek, szív
💕	két szív, szerelem, szerelmes szívek, szív, szívek
💟	dekoráció, dísz, szív, szív formájú dekoráció
❣️	központozás, nagy szív alakú felkiáltójel, szív, írásjel
💔	szív, összetört, összetört szív
❤️	piros, szív, vörös szív
🧡	narancssárga, narancssárga szív
💛	szív, sárga, sárga szív
💚	szív, zöld, zöld szív
💙	kék, kék szív, szív
💜	lila, lila szív, szív
🤎	barna, barna szív, szív
🖤	fekete, fekete szív, gonosz, szív
🤍	fehér, fehér szív, szív
💯	100, száz, száz pont, teljes pontszám
💢	a düh szimbóluma, dühös, képregény, mérges
💥	bumm, képregény, ütközés
💫	csillagokat lát, képregény, szédülés
💦	izzadság, izzadságcseppek, képregény
💨	futás, képregény, rohanás
🕳️	lyuk
💣️	bomba, képregény
💬	beszéd, buborék, képregény, párbeszéd, szövegbuborék
👁‍🗨	párbeszéd, szem, szem szövegbuborékban, szövegbuborék, tanú
🗨️	balra nyíló szövegbuborék, beszéd, buborék, képregény, párbeszéd
🗯️	buborék, dühös, jobbra nyíló dühös szövegbuborék, képregény, mérges
💭	buborék, gondolat, gondolatbuborék, képregény
💤	alvás, képregény
👋	integetés, integető kéz, kéz, test
👋🏻	integetés, integető kéz, integető kéz: világos bőrtónus, kéz, test, világos bőrtónus
👋🏼	integetés, integető kéz, integető kéz: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, test
👋🏽	integetés, integető kéz, integető kéz: közepes bőrtónus, kéz, közepes bőrtónus, test
👋🏾	integetés, integető kéz, integető kéz: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, test
👋🏿	integetés, integető kéz, integető kéz: sötét bőrtónus, kéz, sötét bőrtónus, test
🤚	felemelt, kézfej
🤚🏻	felemelt, kézfej, kézfej: világos bőrtónus, világos bőrtónus
🤚🏼	felemelt, kézfej, kézfej: közepesen világos bőrtónus, közepesen világos bőrtónus
🤚🏽	felemelt, kézfej, kézfej: közepes bőrtónus, közepes bőrtónus
🤚🏾	felemelt, kézfej, kézfej: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🤚🏿	felemelt, kézfej, kézfej: sötét bőrtónus, sötét bőrtónus
🖐️	felemelt kéz szétálló ujjakkal, kéz, szétálló, test, ujj
🖐🏻	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: világos bőrtónus, kéz, szétálló, test, ujj, világos bőrtónus
🖐🏼	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, szétálló, test, ujj
🖐🏽	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: közepes bőrtónus, kéz, közepes bőrtónus, szétálló, test, ujj
🖐🏾	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, szétálló, test, ujj
🖐🏿	felemelt kéz szétálló ujjakkal, felemelt kéz szétálló ujjakkal: sötét bőrtónus, kéz, szétálló, sötét bőrtónus, test, ujj
✋	fel, felemelt kéz, kéz, test
✋🏻	fel, felemelt kéz, felemelt kéz: világos bőrtónus, kéz, test, világos bőrtónus
✋🏼	fel, felemelt kéz, felemelt kéz: közepesen világos bőrtónus, kéz, közepesen világos bőrtónus, test
✋🏽	fel, felemelt kéz, felemelt kéz: közepes bőrtónus, kéz, közepes bőrtónus, test
✋🏾	fel, felemelt kéz, felemelt kéz: közepesen sötét bőrtónus, kéz, közepesen sötét bőrtónus, test
