😀	bahagia, gembira, muka, senang, wajah, wajah gembira
😃	muka, mulut, senyum, terbuka, wajah, wajah tersenyum lebar
😄	mata, muka, mulut, senyum, terbuka, wajah, wajah tersenyum lebar dan mata tertutup
😁	cengiran, mata, muka, senyum, wajah gembira dengan mata bahagia, wajah tersenyum lebar
😆	mulut, puas, senyum, tertawa, wajah, wajah tersenyum lebar dan memejamkan mata, wajah tersenyum lebar memejamkan mata
😅	dingin, keringat, muka, senyum, terbuka, wajah, wajah tersenyum lebar dan berkeringat
🤣	kocak, lucu, ngakak, tertawa, tertawa terbahak-bahak
😂	air mata, bahagia, tertawa, wajah, wajah dengan air mata bahagia, wajah gembira berurai air mata
🙂	muka, senyum, wajah, wajah agak tersenyum
🙃	muka, terbalik, wajah, wajah terbalik
😉	kedip, muka, wajah, wajah berkedip
😊	mata, muka, senyum, tersipu, wajah, wajah tersenyum dengan mata bahagia
😇	fantasi, halo, lugu, malaikat, wajah, wajah malaikat, wajah malaikat tersenyum
🥰	jatuh cinta, memuja, naksir, wajah tersenyum dengan 3 hati
😍	cinta, mata, senyum, wajah, wajah tersenyum lebar bermata hati
🤩	bintang, mata, menyeringai, wajah, wajah dengan mata berbentuk bintang
😘	cium, hati, muka, wajah, wajah memberikan ciuman jauh
😗	cium, muka, wajah, wajah memberikan ciuman
☺️	muka, rileks, santai, senyum, tersipu, wajah, wajah tersenyum
😚	cium, mata, muka, tertutup, tutup, wajah, wajah memberikan ciuman dengan mata tertutup
😙	cium, mata, muka, senyum, wajah, wajah memberikan ciuman dengan mata bahagia
😋	lezat, menikmati, nyam, senyum, wajah, wajah menikmati, wajah menikmati makanan
😛	lidah, muka, wajah, wajah menjulurkan lidah
😜	kedip, lelucon, lidah, mata, wajah, wajah mengedip dengan menjulurkan lidah, wajah menjulurkan lidah dan mengedipkan mata
🤪	besar, bodoh, kecil, mata, wajah konyol
😝	lidah, mata, menjijikan, rasa, wajah, wajah menjulurkan lidah dan memejamkan mata
🤑	matre, muka, mulut, uang, wajah, wajah materialistis
🤗	muka, peluk, wajah, wajah memeluk
🤭	ups, wajah dengan tangan menutup mulut
