😀	andlit, glott, glottandi andlit
😃	andlit, bros, brosandi andlit með opinn munn, brosandi andlit með stórum augum, opinn munnur
😄	andlit, bros, bros og opinn munnur, hlæja, hlæjandi andlit
😁	andlit, glottandi andlit, glottandi andlit með brosandi augum, hlæja
😆	andlit, bros, brosandi andlit með pírð augu, brosandi andlit og pírð augu, ánægja
😅	andlit, bros, bros og kaldur sviti, brosandi sveitt andlit, sviti
🤣	hlátur, veltast, veltist um af hlátri
😂	andlit, andlit tárast af gleði, gleðitár
🙂	andlit, bros, milt bros
🙃	andlit, andlit á hvolfi, á hvolfi
😉	andlit, blikk, blikkandi andlit
😊	andlit, bros, brosandi andlit og augu, brosandi augu
😇	andlit, bros, bros og geislabaugur, brosandi andlit með geislabaug, geislabaugur
🥰	aðdáun, brosandi andlit með hjörtum, skotinn í, ástfangin, ástfanginn
😍	andlit, augu, bros, brosandi andlit með hjartalaga augu, ást
🤩	andlit, augu, brosandi, stjarna, stjörnustjarfur
😘	andlit, kasta kossi, koss, kveðjukoss, kyssa
😗	andlit, koss, kyssa, kyssandi andlit
☺️	andlit, bros, brosandi andlit, broskall, broskarl
😚	andlit, augu, koss, kyssandi andlit með lokuð augu, kyssandi andlit og lokuð augu
😙	andlit, koss og bros, kyssa og brosa, kyssandi og brosandi andlit
😋	andlit, andlit að njóta matar, góður matur
😛	andlit, andlit að ulla, tunga út, ulla
😜	andlit, auga, blikkandi auga að ulla, blikkarl með útrétta tungu, brandari, tunga
🤪	auga, lítið, sturlað andlit, stórt
😝	andlit, andlit að ulla og pírð augu, auga, hryllingur, oj, tunga
🤑	andlit, andlit með peningaseðil í munninum, munnur, peningaseðill
🤗	andlit, faðmandi andlit, faðmar, faðmlag
🤭	andlit með hendi fyrir munn, úps
🤫	andilt að segja uss
🤔	andlit, hugsandi, hugsandi andlit
🤐	andlit, andlit með rennilás fyrir munninum, munnur, rennilás
🤨	andlit með yppta brún, efasemdir, hissa, vantraust
😐️	andlit, hlutlaust andlit, hlutleysi
😑	andlit, engin svipbrigði, svipbrigðalaust andlit
😶	andlit, andlit án munns, enginn munnur
😏	andlit, glott, sjálfsánægt andlit
😒	andlit, ekki skemmt, engin gleði, fýla
🙄	andlit, augu, ranghvolfir, ranghvolfir augum
😬	andlit, andlit með grettu, gretta
🤥	andlit, gosi, ljúga, lygari, lygi
😌	andlit, andlit sem er létt, léttir
😔	andlit, í þungum þönkum, íbyggið andlit
😪	andlit, syfja, syfjað andlit
🤤	andlit, slefa, slefandi
😴	andlit, sofandi
😷	andlit, andlit með grímu, andlit með læknagrímu, gríma, kalt, veikindi
🤒	andlit, andlit með hitamæli í munninum, hitamælir, með flensu, veikur
🤕	andlit, andlit með sárabindi, meiddur, slasaður, sárabindi
🤢	andlit, gubba, gubbukall, ógleði
🤮	veikindi, æla, ælandi andlit
🤧	andlit, hnerra, hnerrandi andlit, hnerri, kvef
🥵	heitt, með hita, rauður í framan, sviti, sólstingur
🥶	blár í framan, frostbit, grýlukerti, kalt, ískalt
🥴	hlykkjóttur munnur, kenderí, ringlað andlit, svima, víma, ójöfn augu
😵	andlit, andlit með svima, svimi
🤯	splundrað höfuð
🤠	hattur, kúreki
🥳	fagna, flauta, hattur, partí, partíandlit
😎	bjart, brosandi andlit með sólgleraugu, brosandi andlit með sólgleraugum, svalt, sól, sólgleraugu
🤓	andlit, lúði, nörd, nördaandlit
🧐	andlit með einglyrni, gamaldags, teprulegur
😕	andlit, ringlað andlit, ringlun, ruglingslegt andlit
😟	andlit, áhyggjufullt andlit, áhyggjur
🙁	andlit, andlit með litla skeifu, skeifa
☹️	andlit, andlit með stóra skeifu, skeifa
😮	andlit, andlit með opinn munn, munnur, opinn munnur
😯	andlit, undrandi, undrandi andlit, undrun
😲	andlit, stórundrandi andlit, undrandi, undrun
😳	andlit, andlit að roðna, roðna
🥺	biðjandi andlit, grátbiðja, hvolpaaugu, miskunn
😦	andlit, leitt andlit, leitt andlit opinn munn, leiði, opinn munnur
😧	andlit, angist, angistarfullt andlit, kvalir
😨	andlit, hrætt andlit, hræðsla, ótti
😰	andlit, kaldur sviti, sveitt andlit, sviti
😥	andlit, hjúkk, léttir
😢	andlit, depurð, grátandi andlit, grátur, tár
😭	andlit, grátandi andlit, grátur, hágrátandi andlit, sorg, tár
😱	andlit, hræðsla, óttaslegið andlit, ótti, öskra af ótta
😖	andlit, forviða, forviða andlit
😣	andlit, erfiðleikar, klúður
😞	andlit, vonbrigðaandlit, vonbrigði
😓	andlit, andlit með köldum svita, kaldur sviti
😩	andlit, þreyta, þreytulegt andlit
😫	andlit, þreyta, þreytt andlit
🥱	geispa, geispandi andlit, leiðindi, þreyta
😤	andlit, sigur, sigursvipur, ég vann
😡	andlit, fýlulegt andlit, rautt andlit, rautt reiðiandlit, reiði
😠	andlit, reitt andlit, reiðiandlit
🤬	andlit með tákn fyrir munni, blóta, reiði
😈	andlit, bros, bros og horn, broskarl með horn, horn
👿	andlit, djöfull, púki, skratti
💀	andlit, hauskúpa, líkami, ævintýri
☠️	andlit, beinleggir, dauði, hausk´úpa og beinleggir, hauskúpa og beinleggir, höfuðkúpa
💩	della, kúkur, skítur
🤡	andlit, trúður
👹	andlit, oni, tröll, vera, ævintýri
👺	andlit, púki, tröll, ári, ævintýri
👻	andlit, draugur, ævintýri
👽️	andlit, geimskip, geimvera, skrímsli, ævintýri
👾	andlit, geimskip, geimveruskrímsli, skrímsli, ævintýri
🤖	andlit, skrímsli, vélmenni, vélmennisandlit
😺	bros, brosandi köttur með opinn munn, hlæjandi köttur, köttur, opinn munnur
😸	glott, glottandi köttur, köttur, köttur með glott
😹	gleðitár, köttur, köttur með gleðitár
😻	andlit, brosandi köttur, brosandi köttur og hjartalaga augu, köttur, ást, ástarköttur
😼	glott, glottandi köttur, köttur, lymska, lúmskur köttur
😽	andlit, auga, koss, kyssandi köttur, köttur
🙀	andlit, hissa, hnugginn köttur, köttur, undrandi, óvænt
😿	grátandi, grátandi köttur, grátur, köttur
😾	fýla, fýluköttur, köttur, köttur í fýlu
🙈	api, api heldur fyrir augu, bannað, illska, má ekki sjá
🙉	api, api heldur fyrir eyru, illska, má ekki heyra
🙊	api, api heldur fyrir munn, illska, má ekki tala
💋	koss, kossafar, rómantík, varir
💌	bréf, bréf með hjarta, hjarta, rómantík, ástarbréf
💘	hjarta, hjarta með ör, tilfinningar, ást, ör
💝	hjarta, hjarta með slaufu, slaufa, tilfinningar, valentínusardagurinn
💖	glitrandi, glitrandi hjarta, tilfinningar, ást, æsingur
💗	púls, spenna, stækkandi hjarta, taugaspenna, ást
💓	hjarta, hjartsláttur, sláttur, tilfinningar, ást
💞	hjarta, snúningshjörtu, ást
💕	elskendur, tilfinningar, tvö hjörtu, ást
💟	hjarta, skraut með hjarta
❣️	greinarmerki, hjarta, hjarta sem upphrópunarmerki, merki, upphrópunarmerki
💔	brostið, brostið hjarta, hjarta, ástarsorg
❤️	hjarta, rautt hjarta
🧡	appelsínugult, appelsínugult hjarta, hjarta, tilfinningar
💛	gult, gult hjarta, hjarta, tilfinningar
💚	grænt, grænt hjarta, hjarta, tilfinningar
💙	blátt, blátt hjarta, hjarta, tilfinningar
💜	fjólublátt, fjólublátt hjarta, hjarta, tilfinningar
🤎	brúnt, brúnt hjarta, hjarta
🖤	hjarta, illt innræti, svart hjarta, svartur
🤍	hjarta, hvítt, hvítt hjarta
💯	100, fullt hús, stig
💢	reiði, reiðitákn, reiður, skrípó, tilfinningar
💥	skrípó, tilfinningar, árekstrartákn, árekstur
💫	ringlaður, sjá stjörnur, skrípó, stjörnur, tilfinningar
💦	skrípó, svitadropar, sviti, tilfinningar
💨	flýja, hlaupa, hraðferð, skrípó, tilfinningar
🕳️	hola, op
💣️	skrípó, sprengja, tilfinningar
💬	blaðra, skrípó, tala, talblaðra
👁‍🗨	auga, auga í talblöðru, samræða, sjá, talblaðra
🗨️	ræða, samræða, vinstri talblaðra
🗯️	blaðra, bóla, reiðileg hægri talblaðra, reiður
💭	blaðra, hugsa, hugsanablaðra, skrípó
💤	hrotur, skrípó, sofandi, zzz, þreyta
👋	hönd, hönd veifar, veifa
👋🏻	hönd, hönd veifar, hönd veifar: ljós húðlitur, ljós húðlitur, veifa
👋🏼	hönd, hönd veifar, hönd veifar: meðalljós húðlitur, meðalljós húðlitur, veifa
👋🏽	hönd, hönd veifar, hönd veifar: millihúðlitur, millihúðlitur, veifa
👋🏾	hönd, hönd veifar, hönd veifar: meðaldökkur húðlitur, meðaldökkur húðlitur, veifa
👋🏿	dökkur húðlitur, hönd, hönd veifar, hönd veifar: dökkur húðlitur, veifa
🤚	hönd, lófi, upprétt, upprétt hönd
🤚🏻	hönd, ljós húðlitur, lófi, upprétt, upprétt hönd: ljós húðlitur
🤚🏼	hönd, lófi, meðalljós húðlitur, upprétt, upprétt hönd: meðalljós húðlitur
🤚🏽	hönd, lófi, millihúðlitur, upprétt, upprétt hönd: millihúðlitur
🤚🏾	hönd, lófi, meðaldökkur húðlitur, upprétt, upprétt hönd: meðaldökkur húðlitur
🤚🏿	dökkur húðlitur, hönd, lófi, upprétt, upprétt hönd: dökkur húðlitur
🖐️	fingur, glennt, hönd, líkami, upprétt hönd með glennta fingur
🖐🏻	fingur, glennt, hönd, ljós húðlitur, líkami, upprétt hönd með glennta fingur, upprétt hönd með glennta fingur: ljós húðlitur
