😀	guyu, rai, rai ngguyu
😃	cangkem, menga, mesem, rai, rai ngguyu matane mblalak
😄	cangkem, mata, menga, mesem, rai, rai ngguyu nganti merem-merem
😁	mata, mecengis, mesem, rai, rai ngguyu mecengis nganti merem
😆	cangkem, guyu, marem, mesem, rai, rai ngguyu nganti matane dhipet
😅	adhem, kringet, menga, mesem, rai, rai ngguyu nganti kringet tumetes
🤣	guyu, jogan, ngglinting, ngguyu ngakak nganti glintingan ing jogan, rai
😂	bungah, guyu, luh, rai, rai ngguyu nganti luhen saking bungahe
🙂	mesem, rai, rai mesem
🙃	kuwalik, rai, rai kuwalik
😉	kedhèp, rai, rai ngedhèpi
😊	abang pipine, mata, mesem, rai, rai mesem matane merem
😇	fantasi, rai, rai mesem mawa tandha santo ing sirahe, suci, tandha santo
🥰	ati-ati, kesengsem, naksir, rai mesem mawa ati-ati manguncup, tumiba tresna
😍	katresnan, mata, mesem, rai, rai mesem matane metu atine
🤩	ketiban lintang, lintang, mata, ngguyu, rai
😘	ambung, rai, rai nyebul sun
😗	ambung, rai, rai ngambung
☺️	anteng, gambar sketsa, mesem, rai, rai lagi mesem
😚	ambung, mata, merem, rai, rai ngambung karo matane merem
😙	ambung, mata, mesem, rai, rai ngambung matane merem bungah
😋	enak, mesem, rai, rai themal-themel mangan, sedhep, themal-themel
😛	ilat, rai, rai melet
😜	guyon, kedhep, mata, melet, rai, rai kedhep karo melet
🤪	cilik, gedhe, mata, plolak-plolek, rai merat-merot
😝	mata, melet, nggilani, rai, rai melet matane ndhipet, rasane
🤑	dhuwit, ijo, rai, rai mata dhuwiten
🤗	nyikep, rai, rai nyikep, sikep
🤭	rai mawa tangan nutupi cangkem, waduh
🤫	hus, meneng, rai ngaba-aba akon meneng, rai ngaba-aba hus
🤔	mikir, rai, rai mikir
🤐	cangkem, leregan, rai, rai sing leregan lambene ditutup
🤨	ora percaya, rai alise siji kaangkat, skeptis
😐️	anteng, luweh, rai, rai anteng, tanpa ekspresi
😑	luweh, rai, rai tanpa ekspresi, tanpa ekspresi
😶	anteng, cangkem, meneng, rai, rai tanpa cangkem
😏	ngenyek, rai, rai mesem ngenyek
😒	anyel, rai, rai wegah ngguyu, wegah ngguyu
🙄	mata, mlerok, rai, rai matane mlerok
😬	mbatek, rai, rai mringis mbatek
🤥	ngapusi, pinokio, rai, rai ngapusi
😌	lega, rai, rai lega
😔	kesel ati, mikir, rai, rai sedhih anggone mikir
😪	ngantuk, rai, rai ngantuk, turu
🤤	ngiler, rai, rai ileren
😴	rai, rai turu, turu, zzzz
😷	dhokter, masker, mriang, rai, rai nganggo masker dhokter, watuk
🤒	lara, mriang, rai, rai ngemut termometer, termometer
🤕	bebet, cidra, rai, rai sirahe dibebet, tatu
🤢	muleg-muleg, mutah, rai, rai ngrasa muleg-muleg
🤮	lara, mutah, rai mutah-mutah
🤧	mugi gusti paring sehat, rai, rai wahing, wahing
🥵	abang mbranang, kemringet, kepanasen, ndrodhog, panas, rai panas
🥶	atis, kadhemen, mati rasa amarga kadhemen, rai biru katisen, rai katisen
🥴	cangkem mlethat-mlethot, mata ora pakra, mendem, mlaku ora jejeg, mumet, rai mendem
😵	mumet, rai, rai mumet
🤯	njeblug ndhase, rai ndhase njeblug, tratapan
🤠	koboi lanang, koboi wadon, rai, rai nganggo topi koboi, topi
🥳	pista, rai pista, seneng-seneng, topi, trompet
😎	blereng, kacamata ireng, nggaya, rai, rai mesem nganggo kacamata ireng, srengenge
🤓	kutu buku, kutu komputer, rai, rai kutu buku
🧐	kolot, rai nganggo kacamata lensa tunggal
😕	bingung, owalah, rai, rai bingung
😟	kuwatir, rai, rai kuwatir
🙁	rai, rai susah, susah
☹️	nelangsa, rai, rai nelangsa
😮	cangkem, menga, rai, rai mlongo, simpati
😯	dumadakan meneng, kaget, ora nyana, rai, rai dumadakan meneng
😲	babar pisan, gumun, kaget, rai, rai gumun
😳	isin, kaget, rai, rai isin
🥺	mata ngarep-arep, ngarep-arep, rai ngarep-arep welas, welas
😦	cangkem, menga, rai, rai sedhih karo mlongo, sedhih
😧	kaget lan kuciwa, rai, rai kaget lan kuciwa
😨	keweden, kuwatir, rai, rai keweden, wedi
😰	anyep, kemrungsung, kringet, pucet, rai, rai kuwatir nganti kringet tumetes
😥	kuciwa, lega, rai, rai sedhih nanging lega, sedhih, syukur marang gusti
😢	luh, nangis, rai, rai nangis, sedhih
😭	luh, nangis, rai, rai nangis kejer, sedhih, sengguk-sengguk
😱	keweden, njerit, nruthuk, rai, rai mbengok keweden, wedi
😖	bingung, rai, rai prasa bingung ora karuan
😣	ora kuat, rai, rai prasa wis ora kuat maneh
😞	kuciwa, rai, rai kuciwa
😓	adhem, kringet, rai, rai prasa wis kesel nganti kringet tumetes
😩	kesel, rai, rai sayah, sayah
😫	kesel, rai, rai kesel
🥱	angop, bosen, kesel, rai angop
😤	kamenangan, menang, rai, rai sing irunge ngebul
😡	abang mbranang, mbesengut, muring, nesu, ngamuk, rai, rai mbesengut
😠	muring, nesu, rai, rai nesu
🤬	misuh, rai mawa simbol pisuhan ing cangkeme
😈	crita dongeng, fantasi, mesem, rai, rai mesem karo metu sungune, sungu
👿	dhemit, fantasi, rai, rai nesu karo metu sungune, setan, thuyul jail
💀	crita dongeng, jrangkong, monster, pati, rai
☠️	balung timpuk, jrangkong, jrangkong karo balung timpuk, monster, pati, rai
💩	monster, rai, tai, tai seunthuk, tembelek
🤡	badhut, rai, rai badhut
👹	buta ogre, crita dongeng, fantasi, monster, rai, wewujudan
👺	buta goblin, crita dongeng, fantasi, monster, rai, wewujudan
👻	crita dongeng, fantasi, monster, pocongan, rai, wewujudan
👽️	alien, fantasi, rai, saka njaba bumi, ufo, wewujudan, wujud alien
👾	alien, monster alien, rai, saka njaba bumi, ufo, wewujudan
🤖	monster, rai, robot, wujud robot
😺	cangkem, kucing, kucing ngguyu, menga, mesem, ngguyu, rai
😸	kucing, kucing ngguyu nganti merem-merem, mata, mesem, ngguyu, rai
😹	bungah, kucing, kucing ngguyu nganti luhen, luh, rai
😻	ati, kucing, kucing mesem matane metu atine, mata, mesem, rai, tresna
😼	ironis, kucing, kucing mesem ngece, mesem, ngece, rai
😽	ambung, kucing, kucing ngambung, mata, rai
🙀	hah, kaget, kucing, kucing sayah, rai, sayah
😿	kucing, kucing nangis, luh, nangis, rai, susah
