😀	бет, ырсай, ырсайган бет
😃	бет, күл, күлгөн бет
😄	бет, каткыр, каткырып күлгөн бет, күл
😁	бет, жымыңда, көз, көздөрүн жымыңдатып ырсайган бет, ырсай
😆	бет, жумуп, күл, көздөрүн чылк жумуп күлгөн бет, чылк
😅	бет, күл, терде, тердегенче күлгөн бет
🤣	күлүү, тоголонуп күлүү, тоголонуу
😂	бет, боор, боору эзилип күлгөн бет, күл, эзил
🙂	бет, күлүмсүрө, күлүмсүрөгөн бет
🙃	башын ылдый, башын ылдый каратып турган бет, бет
😉	бет, көз кыс, көзүн кыскан бет
😊	бет, жылмай, уялыңкы, уялыңкы жылмайган бет
😇	башында тегереги бар жылмайган бет, бейкүнөө, бет, периште, тегерек
🥰	жактыруу, жүрөктөр каптаган жылмайган жүз, суктануу, сүйүп калуу
😍	баш айлан, бет, сүйүү, сүйүүгө башы айланган бет
🤩	бет, жылдыз, жылдыз оорусу, көздөр, ырсактап күлүү
😘	аралыктан өөп жаткан бет, бет, жүрөк, өп
😗	бет, өп, өөп жаткан бет
☺️	бет, жылмай, жылмайган бет, эркин
😚	бет, жум, көз, көздөрүн жумуп өөп жаткан бет, өп
😙	бет, көз, көздөрүн сүзүп өөп жаткан бет, сүзүү, өп
😋	бет, даамдуу тамак татып жаткан бет, жылмай, ням-ням, тат
😛	бет, көрсөт, сунуу, тил, тилин көрсөткөн бет
😜	бет, көз, көзүн кысып тилин көрсөткөн бет, көзүн кысып тилин сунган бет, тамаша, тил
🤪	жинденген жүз, кичине, көз, чоң
😝	бет, даам, көз, көздөрүн чылк жумуп, тилин көрсөткөн бет, көздөрүн чылк жумуп, тилин сунган бет, тил
🤑	акча, акча тиштеген бет, бет, тиште
🤗	бет, кучак, кучакта, кучактап жаткан бет
🤭	ой!, оозун колу менен жапкан жүз
🤫	акырын, акырын деген жүз, тынч
🤔	бет, ойго бат, ойго баткан бет, ойлонгон
🤐	ачпа, бет, ооз, сыдырма, эч кимге ооз ачпайм деген бет
🤨	ишенбөө, кашын серпкен жүз, шектенүү
😐️	бекем, кыс, эрин, эриндерин бекем кыскан бет
😑	бет, кебелбе, кебелбеген бет
😶	акырын, бет, ооз, оозу жок бет, тынч
😏	бет, мыйыгынан, мыйыгынан жылмайган бет
😒	бет, жактырбаган, таарынган бет, таарынуу
🙄	бет, көз, көз сүз, көзүн сүзгөн бет
