😀	ຍິ້ມ, ຕະຫຼົກ, ຫົວ, ຮາຮ່າ, ໜ້າ, ໜ້າຍິ້ມຍິ່ງແຂ້ວ
😃	ຍິ້ມ, ຕະຫຼົກ, ຫົວ, ຮາຮ່າ, ໜ້າ, ໜ້າຍິ້ມອ້າປາກ
😄	ຍິ້ມ, ຕະຫຼົກ, ຫົວ, ຮາຮ່າ, ໜ້າ, ໜ້າຍິ້ມຕາຍິ້ມ ແລະອ້າປາກ
😁	ຍິ່ງແຂ້ວ, ຍິ້ມ, ຮາຮ່າ, ຮີຮີ່, ໜ້າ, ໜ້າຍິ້ມຍິ່ງແຂ້ວຕາຍິ້ມ
😆	ຍິບຕາ, ຍິ້ມ, ພໍໃຈ, ຫົວ, ອ້າປາກ, ໜ້າ, ໜ້າຍິ້ມອ້າປາກ ແລະຫຼັບຕາ
😅	ຍິ້ມ, ເຫື່ອອອກ, ໜ້າ, ໜ້າຍິ້ມອ້າປາກ ແລະເຫື່ອຕົກ
🤣	ກິ້ງ, ພື້ນ, ຫົວ, ຫົວຈົນນອນກິ້ງຢູ່ພື້ນ, ໜ້າ
😂	ດີໃຈ, ນໍ້າຕາ, ຫົວ, ຮ້ອງໄຫ້ດີໃຈ, ໜ້າ
🙂	ຍິ້ມ, ໜ້າ, ໜ້າຍິ້ມບາງໆ
🙃	ປີ້ນຫົວ, ໜ້າ, ໜ້າປີ້ນຫົວ
😉	ຍິບຕາ, ຍິ້ມ, ຮິຮິ, ໜ້າ, ໜ້າຍິບຕາ
😊	ຕາ, ອົບຍິ້ມ, ຮິຮິ, ໜ້າ, ໜ້າຍິ້ມຕາຍິ້ມ
😇	ຍິ້ມ, ຍິ້ມເທວະດາ, ນາງຟ້າ, ເທວະດາ, ໜ້າ
🥰	ຟັ້ນເຟືອງ, ມີຄວາມຮັກ, ເປັນຕາແພງ, ໃບໜ້າຍີ້ມແຍ້ມພ້ອມຫົວໃຈ 3 ດວງ
😍	ຄວາມຮັກ, ຍິ້ມ, ຕາ, ຫົວໃຈ, ໜ້າ, ໜ້າຍິ້ມທີ່ມີຕາຮູບຫົວໃຈ
🤩	ຍິ້ມຍິ່ງແຂ້ວ, ດາວ, ຕະລຶງງັນ, ຕາ, ໜ້າ
😘	ຈູບ, ຫົວໃຈ, ໜ້າ, ໜ້າສົ່ງຈູບ
😗	ຈູບ, ສົ່ງຈູບ, ໜ້າ, ໜ້າກຳລັງຈູບ
☺️	ຍິ້ມ, ຜ່ອນຄາຍ, ໜ້າ, ໜ້າຍິ້ມ
😚	ຈູບ, ຕາ, ສົ່ງຈູບ, ຫຼັບຕາສົ່ງຈູບ, ໜ້າ
😙	ຈູບ, ຍິ້ມ, ໜ້າ, ໜ້າຍິ້ມສົ່ງຈູບ
😋	ນໍ້າລາຍໄຫຼ, ແຊບ, ໜ້າ
😛	ແລບລີ້ນ, ໜ້າ, ໜ້າແລບລິ້ນ
😜	ຍິບຕາ, ແລບລີ້ນ, ໜ້າ, ໜ້າແລບລິ້ນ ແລະຍິບຕາ
🤪	ຕາ, ນ້ອຍ, ໃຫຍ່, ໜ້າຜີບ້າ
😝	ຫຼັບຕາ, ແລບລີ້ນ, ໜ້າ, ໜ້າແລບລິ້ນ ແລະຫຼັບຕາ
🤑	ປາກ, ເງິນ, ໜ້າ, ໜ້າຄາບເງິນໃນປາກ
🤗	ກອດ, ຍິ້ມ, ຍິ້ມກອດ, ໜ້າ
🤭	ອຸຍ, ໜ້າເອົາມືປ້ອງປາກ
🤫	ງຽບ, ມິດ, ໜ້າງຽບ
🤔	ຄິດ, ໜ້າ, ໜ້າກຳລັງຄິດ
🤐	ປາກ, ຮູດຊິບ, ໜ້າ, ໜ້າຮູດຊິບປາກ
🤨	ບໍ່ເຊື່ອ, ສົງໄສ, ໜ້າພ້ອມຕາເບິ່ງຂຶ້ນເທິງ
😐️	ເສີຍໆ, ໜ້າ, ໜ້າເສີຍໆ
😑	ເຢັນຊາ, ເສີຍໆ, ໜ້າ, ໜ້າເຢັນຊາ
😶	ບໍ່ມີປາກ, ໜ້າ, ໜ້າບໍ່ມີປາກ
😏	ຍິ້ມເຍາະເຍີ້ຍ, ໜ້າ, ໜ້າຍິ້ມເຍາະເຍີ້ຍ
😒	ບໍ່ມີຄວາມສຸກ, ໜ້າ, ໜ້າບໍ່ມ່ວນຊື່ນ
🙄	ຕາລັອກແລັກ, ໜ້າ, ໜ້າທີ່ມີຕາລັອກແລັກ
😬	ບູດບ້ຽວ, ໜ້າ, ໜ້າບູດບ້ຽວ
🤥	ຕົວະ, ພິນັອກຄິໂອ, ໜ້າ, ໜ້າຂີ້ຕົວ
😌	ຜ່ອນຄາຍ, ໂລ່ງໃຈ, ໜ້າ, ໜ້າຜ່ອນຄາຍ
😔	ຄິດຫຼາຍ, ຜິດຫວັງ, ໜ້າ, ໜ້າຄິດບໍ່ອອກ
😪	ຫຼັບ, ເງົານອນ, ໜ້າ, ໜ້າເງົານອນ
🤤	ນໍ້າລາຍໄຫຼ, ໜ້າ, ໜ້ານໍ້າລາຍໄຫຼ
😴	ກົນ, ຫຼັບ, ໜ້າ, ໜ້ານອນຫຼັບ
😷	ທ່ານໝໍ, ຜ້າອັດປາກ, ແພດ, ໜ້າ, ໜ້າໃສ່ຜ້າອັດປາກ
🤒	ບາຫຼອດ, ໄຂ້, ໜ້າ, ໜ້າອົມບາຫຼອດ
🤕	ຜ້າພັນແຜ, ເຈັບ, ໜ້າ, ໜ້າມີຜ້າພັນຫົວ
🤢	ພະອືດພະອົມ, ຮາກ, ໜ້າ, ໜ້າພະອືດພະອົມ
🤮	ປ່ວຍ, ອາຈານ, ໜ້າອາຈຽນ
🤧	ຈາມ, ຫັດຊິ້ວ, ຮັດຊິວ, ຮັດຊິ້ວ, ໜ້າ, ໜ້າກຳລັງຈາມ
🥵	ຄວາມຮ້ອນລອບຕົວ, ຮ້ອນ, ເຫື່ອຍ້ອຍ, ໃບໜ້າຮ້ອນໃໝ້, ໄຂ້ຂື້ນ, ໜ້າແດງ
🥶	ກ້າມແຂງ, ຊຸ່ມເຢັນ, ຫຍາດນໍ້າແຂງ, ໃບໜ້າຊຸ່ມເຢັນ, ໜ້າຕືງຂື້ນ, ໜ້າສີຟ້າ
🥴	ຕາເລືອກ, ຖືກສານພິດ, ປາກເຕີ່ຍ, ມືງົງ, ວິຫົວ, ໃບໜ້າໂຊກເສົ້າ
😵	ວິນຫົວ, ໜ້າ, ໜ້າວິນຫົວ
🤯	ຕົກໃຈ, ຫົວລະເບີດ
🤠	ຄາວບອຍ, ຄາວເກີ, ໜ້າ, ໜ້າໃສ່ໝວກຄາວບອຍ, ໝວກ
🥳	ການສະໜອງ, ງານປາຕີ, ແກ, ໃບໜ້າໃນງານປາຕີ, ໝວກ
😎	ຍິ້ມ, ແວ່ນ, ແວ່ນຕາກັນແດດ, ໜ້າ, ໜ້າຍິ້ມໃສ່ແວ່ນຕາກັນແດດ
🤓	ຄົນໂງ່, ຈິງຈັງ, ໜ້າ, ໜ້າຄົນໂງ່
🧐	ອົບເອົ້າ, ໜ້າໃສ່ແວ່ນຂ້າງດຽວ
😕	ສັບສົນ, ໜ້າ, ໜ້າສັບສົນ
😟	ກັງວົນ, ໜ້າ, ໜ້າກັງວົນ
🙁	ບຶ້ງ, ຫຍຸ້ງ, ໜ້າ, ໜ້າຫຍຸ້ງເລັກນ້ອຍ
☹️	ບຶ້ງ, ຫຍຸ້ງ, ໜ້າ, ໜ້າຫຍຸ້ງ
😮	ຕົກໃຈ, ປາກ, ໜ້າ, ໜ້າອ້າປາກ
😯	ປະຫຼາດໃຈ, ຫຸບປາກ, ໜ້າ, ໜ້າມິດ
😲	ຕົກໃຈ, ປະຫຼາດໃຈ, ໜ້າ, ໜ້າຕື່ນຕົກໃຈ
😳	ອາຍ, ໜ້າ, ໜ້າແດງ
