😀	инээсэн царай, инээх, царай
😃	ам, амаа ангайлган инээж буй царай, ангайлгах, инээх, царай
😄	ам, амаа ангайлган нүдээ онийлгон инээж буй царай, ангайлгах, инээх, нүдээ онийлгон маасайтал инээсэн царай, нүдээ онийлгох, царай
😁	инээх, нүд, нүдээ онийлгон инээсэн царай, онийлгох, царай
😆	ам, амаа ангайлган нүдээ тас аниад инээж байгаа царай, ангайлгах, инээх, нүд, нүдээ тас аниж маасайтал инээсэн царай, тас аних, царай
😅	амаа ангайн, амаа ангайн, бага зэргийн ичиж инээсэн царай, бага зэргийн ичиж инээж байгаа царай, хөлсөө гартал маасайтал инээсэн царай
🤣	газар, инээж, газар өнхрөх царай, инээх, царай, өнхрөх
😂	инээх, нулимс гарах, нулимсаа гартал инээж буй царай, царай
🙂	бага зэрэг, бага зэрэг инээмсэглэсэн царай, инээмсэглэх, царай
🙃	доошоо харсан царай, уруу харсан царай
😉	ирмэж байгаа царай, ирмэх, царай
😊	инээмсэглэх, ичингүйрэх, онийж инээмсэглэсэн царай, царай
😇	инээмсэглэж буй сахиусан тэнгэрийн царай, инээмсэглэх, сахиусан тэнгэр, царай
🥰	дурлал, инээж буй зүрхтэй царай, шохоорхол, шүтэх
😍	бундан, бундан нүдтэй инээмсэглэж байгаа царай, инээмсэглэх, нүд, царай
🤩	инээх, нүд, од, одон нүдтэй инээж буй царай, царай
😘	зүрх, царай, үнсэлт, үнсэлт илгээж байгаа царай
😗	царай, үнсэж байгаа царай, үнсэх
☺️	ичингүйрсэн инээмсэглэл, ичингүйрэн инээмсэглэж байгаа царай
😚	ичингүйрэн үнсэж байгаа царай, ичингүйрэх, царай, үнсэх
😙	аних, нүд, нүдээ аниад үнсэж байгаа царай, царай, үнсэх
😋	амттай, амттай хоол илэрхийлсэн царай, хоол, царай
😛	гаргах, хэл, хэлээ гаргаж буй царай, царай
😜	гаргах, ирмэх, нүд, хэл, хэлээ гаргаад, нүдээ ирмэж буй царай, царай
🤪	галзуу царай, жижиг, нүд, том
😝	гаргах, нүд, тас аних, хэл, хэлээ гаргаад, нүдээ тас аньсан царай, царай
🤑	ам, амандаа мөнгөтэй царай, мөнгөтэй, царай
🤗	тэврэх, тэвэрч байгаа царай, царай
🤭	амаа гараараа тагласан царай, дуу алдах
🤫	чимээгүй, чишш, чишш гэсэн царай
🤔	бодож байгаа царай, бодох, царай
🤐	амаа үдсэн, амаа үдсэн царай, царай
🤨	хөмсгөө өргөсөн царай, эргэлзээ, үл итгэх
😐️	төвийг сахисан царай, төвийг сахих, царай
😑	илрэлгүй, сэтгэл хөдлөл, сэтгэл хөдлөлийн илрэлгүй царай, царай
😶	амгүй, амгүй царай, царай
😏	царай, ёжтой, ёжтой царай
😒	царай, үл тоосон, үл тоосон царай
🙄	нүд, нүдээ эргэлдүүлэх царай, царай, эргэлдсэн
😬	царай, ярвалзсан, ярвалзсан царай
🤥	пиноккио, худалч, худалч царай, царай
😌	тайвширсан царай, тайвшрах, царай
😔	гомдсон, гомдсон царай, царай
😪	нойрмоглож буй царай, нойрмоглох, царай
🤤	унжгар, унжгар царай, царай
😴	унтаж буй царай, унтах, царай
