😀	muka, muka tersengih, sengih
😃	muka, muka tersengih dengan mata besar, mulut, senyum, terbuka
😄	mata, muka, muka tersengih dan mata tersenyum, mulut, senyum, terbuka
😁	mata, muka, muka berseri-seri dengan mata tersenyum, sengih, senyum
😆	ketawa, muka, muka tersengih mata tertutup rapat, mulut, puas hati, senyum, terbuka
😅	muka, muka tersengih dan berpeluh, peluh, sejuk, senyum, terbuka
🤣	ketawa, ketawa tergolek-golek, lantai, muka, tergolek-golek
😂	air mata, gembira, ketawa, muka, muka dengan air mata kegembiraan
🙂	muka, muka tersenyum sedikit, senyum
🙃	muka, muka terbalik, terbalik
😉	kenyit mata, muka, muka kenyit mata
😊	mata, merah, muka, muka tersenyum dengan mata tersenyum, senyum
😇	fantasi, halo, malaikat, muka, muka tersenyum dengan halo, suci
🥰	dilamun cinta, jatuh hati, minati, muka tersenyum dengan hati
😍	cinta, hati, mata, muka, muka tersenyum dengan mata berbentuk hati, senyum
🤩	bintang, mata, muka, terpesona, tersengih
😘	cium, hati, muka, muka melayangkan ciuman
😗	cium, muka, muka memberi ciuman
☺️	garis luar, muka, muka tersenyum, santai, senyum
😚	cium, mata, muka, muka memberi ciuman dengan mata tertutup, tertutup
😙	cium, mata, muka, muka memberi ciuman dengan mata tersenyum, senyum
😋	lazat, menikmati, muka, muka menikmati makanan lazat, senyum, um, yum
😛	lidah, muka, muka menjelir lidah
😜	jenaka, kenyit, lidah, mata, muka, muka mengenyit, muka menjelir lidah dan mengenyit mata
🤪	besar, kecil, mata, muka gila-gila
😝	dahsyat, lidah, mata, muka, muka menjelir lidah dan mata tertutup rapat, rasa
🤑	muka, muka dengan wang dalam mulut, mulut, wang
🤗	memeluk, muka, muka memberi pelukan, peluk
🤭	alamak, muka dengan tangan atas mulut
🤫	diam, muka suruh senyap, shhh
🤔	berfikir, muka, muka sedang berfikir
🤐	muka, muka mulut berzip, mulut, zip
🤨	muka dengan kening terangkat, pewaham, sangsi
😐️	bersahaja, muka, muka neutral, neutral
😑	muka, muka selamba, selamba, tiada emosi, tiada perasaan
😶	muka, muka tanpa mulut, mulut, senyap, tenang
😏	mata, muka tersenyum sinis, tersenyum sinis
😒	muka, muka tidak puas hati, sedih, tidak puas hati
🙄	juling, mata, muka, muka dengan mata juling ke atas
😬	menyeringai, muka, muka menyeringai
🤥	bohong, muka, muka bohong, pinocchio
😌	lega, muka, muka lega
😔	kecewa, muka, muka bertafakur, tafakur
😪	muka, muka mengantuk, tidur
🤤	meliur, muka, muka meliur
😴	muka, muka tidur, tidur, zzz
😷	doktor, muka, muka memakai topeng perubatan, perubatan, sakit, sejuk, topeng
🤒	muka, muka dengan termometer, sakit, termometer, tidak sihat
🤕	cedera, kecederaan, muka, muka dengan kepala berbalut, pembalut
🤢	loya, mual, muka, muka mual, muntah
🤮	loya, muka muntah, muntah
🤧	bersin, muka, muka bersin
🥵	bermuka merah, berpeluh, muka sebak, panas, rasa demam, strok haba
🥶	bermuka biru, dingin, isikel, luka beku, membeku, muka dingin
🥴	mabuk, mabuk sedikit, mata tidak rata, muka kepeningan, mulut berombak, pening
😵	muka, muka pening, pening
🤯	kepala meletup, terkejut
🤠	koboi, muka, muka koboi, topi
🥳	hon, muka berparti, parti, perayaan, topi
