😀	ပြုံးဖြဲဖြဲ, ပြုံးဖြဲဖြဲ မျက်နှာ, မျက်နှာ
😃	ပါးစပ်, ပြုံး, မျက်နှာ, မျက်လုံးပြူးဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ, ဟ
😄	ပါးစပ်ဟနေကာ မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ, ပါးစပ်၊ ဟ၊ မျက်လုံး၊ ပြုံး၊ မျက်နှာ, ပြုံးနေသည့်မျက်လုံးများဖြင့် ပြုံးဖြဲဖြဲ မျက်နှာ
😁	ပြုံး, ပြုံးနေသည့်မျက်လုံးများဖြင့် ပီတိဖြာနေသော မျက်နှာ, ပြုံးဖြဲဖြဲ, မျက်နှာ, မျက်လုံးများ
😆	ပါးစပ်ဟနေကာ မျက်စိကို ကြိတ်မှိတ်ထားသည့် အပြုံးမျက်နှာ, ပါးစပ်၊ ဟ၊ မျက်စိ၊ မှိတ်၊ ပြုံး၊ မျက်နှာ, မျက်စိကို ကြိတ်မှိတ်ထားသည့် ပြုံးဖြဲဖြဲ မျက်နှာ
😅	ဇောချွေးပြန်နေသည့် ပြုံးဖြဲဖြဲ မျက်နှာ, ပါးစပ်ဟနေကာ ဇောချွေးပြန်နေသည့် အပြုံးမျက်နှာ, ပါးစပ်၊ ဟ၊ ဇောချွေး၊ ပြုံး၊ မျက်နှာ
🤣	ကြမ်းပေါ်လှိမ့်ပြီး ရယ်နေသည်, ကြမ်းပြင်, မျက်နှာ, ရယ်မောသည်, လှိမ့်၍
😂	ပျော်ရွှင်မှု, ပျော်ရွှင်မှု မျက်ရည်များဖြင့် မျက်နှာ, မျက်နှာ, မျက်ရည်, ရယ်ရွှင်မှု
🙂	ပြုံး၊ မျက်နှာ, မသိမသာ ပြုံးနေသည့် မျက်နှာ
🙃	ဇောက်ထိုး မျက်နှာ, ဇောက်ထိုး၊ မျက်နှာ
😉	မျက်စိမှိတ်ပြနေသည့် မျက်နှာ, မျက်စိမှိတ်၊ မျက်နှာ
😊	မျက်လုံးများ ပြုံးနေသည့် အပြုံးမျက်နှာ, ရှက်သွေးဖြန်း၊ မျက်လုံး၊ ပြုံး၊ မျက်နှာ
😇	ရောက်လျှံစက်၀န်းနှင့် မျက်နှာ, ရောက်လျှံစက်၀န်း၊ မျက်နှာ၊ ဒဏ္ဍာရီ၊ ပုံပြင်၊ စိတ်ကူးယဥ်၊ ပြုံး, ရောင်လျှံစက်ဝန်းနှင့် မျက်နှာ
🥰	တန်းတန်းစွဲ, နှလုံး, မေတ္တာရှိသည်, မြတ်နိုးသည်, အသည်းပုံ ၃ ခုနှင့် အပြုံးမျက်နှာ
😍	နှလုံးပုံစံ မျက်လုံးများနှင့် အပြုံးမျက်နှာ, နှလုံး၊ ချစ်၊ ပြုံး၊ မျက်နှာ
🤩	ကြယ်ပွင့်လေးနဲ့ မျက်နှာ, ပြုံးဖြဲဖြဲ၊ မျက်နှာ၊ ကြယ်ပွင့်၊ မျက်လုံး
😘	အနမ်းကို ပို့ပေးနေသည့် မျက်နှာ, အနမ်း၊ နှလုံး၊ မျက်နှာ
😗	နမ်းနေသည့် မျက်နှာ, နမ်း၊ မျက်နှာ
☺️	ပြုံးနေသေည့် မျက်နှာ, ပြုံး၊ မျက်နှာ၊ သက်တောင့်သက်သာ၊
😚	မျက်စိမှိတ်ထားကာ နမ်းနေသည့် မျက်နှာ, မျက်စိ၊ မှိတ်၊ နမ်း၊ မျက်နှာ
😙	ပြုံးနေသည့် မျက်လုံးများနှင့် နမ်းနေသည့် မျက်နှာ, ပြုံး၊ မျက်လုံး၊ မျက်နှာ၊ နမ်း
😋	အစားအရသာခံနေသည့်မျက်နှာ, အရသာခံနေသည့် မျက်နှာ, အရသာရှိ၊ မျက်နှာ၊ တစိမ့်စိမ့်အရာသာခံ၊ အပြုံး၊ အမ်၊ ယမ်
😛	မျက်နှာ, လျှာ, လျှာထုတ်ထားသည့် မျက်နှာ
😜	မျက်နှာ, မျက်လုံး, လျှာ, လျှာထုတ်ထားပြီး မျက်လုံးတစ်ဖက် မှိတ်ပြသည့် မျက်နှာ, လှောင်
🤪	ကြီး၊ သေး၊ မျက်နှာ, ရူးနှမ်းနှမ်းမျက်နှာ
😝	ဆိုးရွား, မျက်နှာ, မျက်လုံး, မျက်လုံးများပိတ်ပြီး လျှာထုတ်ပြသည့် မျက်နှာ, လျှာ
🤑	​ငွေပါးစပ် မျက်နှာ, ​ငွေ၊ ပါးစပ်၊ မျက်နှာ
🤗	ပွေ့ဖက်နေသည့် မျက်နှာ, ပွေ့ဖက်၊ မျက်နှာ
🤭	စဥ်းစားရကြပ်သည်, ပါးစပ်ကို လက်နဲ့ပိတ်တဲ့ မျက်နှာ
🤫	ရှုးတိုးတိုးရုပ်နဲ့ မျက်နှာ, ရှုးတိုးတိုး၊ ငြိမ်သက်
🤔	စဉ်းစားနေပုံ, စဉ်းစားနေပုံမျက်နှာ, စဥ်းစားနေပုံ မျက်နှာ, မျက်နှာ
