😀	fjes, glis, glisefjes
😃	fjes, glisende fjes med vidåpne øyne, latter, munn, smil, smilefjes, smilefjes med åpen munn, åpen
😄	latter, med tenner, morsomt, smil, smilefjes, smilefjes med åpen munn og smilende øyne
😁	fjes, glis, glisefjes med smilende øyne, latter, lol, smil, smilefjes
😆	fjes, latter, smil med sammenknepne øyne, åpen munn
😅	glisende fjes som svetter, kaldsvette, munn, smil med svette, svett smil med åpen munn, åpen
🤣	fjes, gulv, latter, ruller, ruller rundt på gulvet i latter
😂	fjes, fjes med gledestårer, glede, gledestårer, tårer
🙂	fjes, smil, smiler litt
🙃	fjes, fjes som er opp-ned, opp-ned
😉	blunk, blunkende ansikt, fjes
😊	fjes, rødme, smil, smil med smilende øyne, smilende øyne
😇	engel, fjes, glorie, smil, smil med glorie, uskyldig
🥰	elsker, forelsket, kjærlighet, smilefjes med hjerter
😍	fjes, hjerte, hjerteøyne, kjærlighet, smilefjes med hjerteøyne, øyne
🤩	fjes, gliser, smil, stjerner, stjerner i øynene
😘	elsker deg, fjes, glad i deg, hjerte, kyss, slengkyss
😗	elsker deg, fjes, glad i deg, kyss, kyssefjes, slengkyss
☺️	fjes, omriss, smil, smilefjes
😚	elsker deg, fjes, glad i deg, kyss, kyss med lukkede øyne, lukkede øyne, trutmunn
😙	fjes, kyss, kyss med smilende øyne, slengkyss, smil, smilende øyne
😋	deilig mat, fjes, mmm, nam, nam-nam, sulten
😛	fjes, fjes som rekker tunge, rekker tunge, tungen ut
😜	blunk, blunker og rekker tunge, erte, fjes, rekke tunge med blunk, spøk
🤪	fjes, gal, lite øye, sinnssyk, stort øye
😝	fjes, følt, lukkende øyne, rekke tunge, tungen ut med øynene lukket, æsj
🤑	fjes, munn, pengegal, penger
🤗	fjes, fjes som gir klem, klem
🤭	flire, hånden over munnen, ops
🤫	hysj, stillhet, vær stille
🤔	fjes, tankefull, tenkefjes, tenker
🤐	fjes, fjes med glidelåsmunn, glidelås, munn
🤨	hevet øyenbryn, skeptisk, tvil
😐️	fjes, ingen kommentar, nøytral, stum
😑	fjes, ingen kommentar, nøytral, stum, uttrykksløs
😶	fjes, ingen munn, uten munn
😏	fjes, lurt smil, selvtilfreds
😒	fjes, misfornøyd, sur
🙄	fjes, himler med øynene, ruller, øyne
😬	fjes, grimase
🤥	fjes, lyver, løgn, pinocchio
😌	fjes, lettet
😔	alvorlig, fjes, lei seg, tankefull
😪	fjes, søvnig
🤤	fjes, sikle, sikler
😴	fjes, sovende fjes, sover, zzz
😷	bakteriemaske, fjes, fjes med munnbind, sykdom
🤒	fjes, fjes med termometer, syk, termometer
🤕	bandasje, bandasjert hode, fjes, skade, skadet
🤢	fjes, kvalm, oppkast, spy
🤮	fjes, kaster opp, kvalm, oppkast, spy
🤧	fjes, nys, nyser
🥵	feber, heteslag, rød, svetter, varm, varmt fjes
🥶	blå, frost, fryser, istapper, kald, kaldt fjes
🥴	brisen, bølgete munn, full, svimmel, svimmelt fjes, ujevne øyne
😵	fjes, svimmel, ør
🤯	eksploderende hode, forbløffet, overrasket, sjokkert
🤠	cowboy, cowgirl, fjes, fjes med cowboyhatt, hatt
🥳	feiring, fest, fløyte, hatt, party, partyfjes
😎	fjes, kul, lyst, smilefjes med solbriller, sol, solbriller
🤓	fjes, nerd, nerdefjes
🧐	fjes, fjes med monokkel, formell, monokkel, stiv
😕	fjes, forvirret
😟	bekymret, fjes
🙁	fjes, litt surt fjes, trist
☹️	fjes, surt fjes, trist
😮	fjes, forbauset, åpen munn
😯	fjes, overrasket, stum
😲	fjes, overrasket, sjokkert, stum
😳	fjes, rød, rødmer
🥺	bedende fjes, nåde, trygler, valpeøyne
😦	fjes, oppgitt, overrasket, sjokkert med åpen munn
😧	fjes, lider, pine, smerte
😨	fjes, frykt, redd, skremt
😰	engstelig og svetter, fjes, kaldsvette, syk, åpen munn
😥	fjes, lettet, puh!, skuffet
😢	fjes, gråter, trist, tårer
😭	fjes, gråt, strigråter, tårer
😱	fjes, frykt, livredd, munch, redd, skremt, skrik
😖	fjes, fortvilet, sint, skuffet
😣	bommert, fjes, skuffet, utholdende
😞	fjes, skuffelse, skuffet
😓	ansikt, kaldsvette, kaldsvetter
😩	fjes, sliten, trøtt
😫	fjes, overtrøtt, sliten, søvnig, trøtt fjes
🥱	gjesp, gjespende fjes, kjedelig, sliten
😤	fjes, jeg vant, triumf, triumferende
😡	fjes, rasende, raseri, rødt, sinna, sint, sur
😠	fjes, raseri, sinna, sint, sur
🤬	banner, fjes, fjes med symboler over munnen, rasende, sensur
😈	fjes, horn, smil, smilende djevel
👿	djevel, fjes, sint djevel
💀	død, dødninghode, fjes, hodeskalle
☠️	bein, død, dødningehode, fjes, hodeskalle, monster
💩	bæsj, bæsjeklatt, hundebæsj, kuruke
🤡	fjes, klovn, klovnefjes
👹	eventyr, japansk ogre, japansk troll, ogre
👺	ansikt, eventyr, japansk troll, tengu
👻	eventyr, fjes, skapning, spøkelse
👽️	UFO, fjes, romvesen, sci-fi, utenomjordisk
👾	UFO, fjes, rommonster, sci-fi, utenomjordisk
🤖	fjes, monster, robot
😺	fjes, katt, smil, smilende katt med åpen munn, åpen munn
😸	fjes, flirende katt med smilende øyne, katt, smil
😹	fjes, glede, gledestårer, katt, katt med gledestårer, kattefjes med gledestårer, tårer
😻	fjes, forelsket, hjerter, katt, kjærlighet, smilende katt med hjerteøyne, øyne
😼	fjes, ironisk, katt, katt med ironisk smil, smil
😽	fjes, katt, kyss, kyssende, kyssende katt, lukkede øyne
🙀	fjes, jøsses, katt, overrasket, sliten katt, slitent kattefjes
😿	fjes, gråt, gråtende katt, trist katt, tåre
😾	fjes, katt, sint, sur, surmulende katt
