😀	अनुहार, रमाएको अनुहार, हँसिलो
😃	अनुहार, खुला, खुला मुखसहितको हँसिलो अनुहार, मुख, मुस्कान
😄	अनुहार, आँखा, खुला, खुला मुख र चम्किला आँखासहितको हँसिलो अनुहार, मुख, मुस्कान
😁	अनुहार, आँखा, मुस्कान, रमाएका आँखासहित मन्दमुस्कानयुक्त अनुहार, हँसिलो
😆	अनुहार, खुला, खुला मुख र आँखा चिम्म भएको हँसिलो अनुहार, मुख, मुस्कान, सन्तुष्ट, हँसाइ
😅	अनुहार, खुला, खुला मुख र असिनपसिन भएको हँसिलो अनुहार, चिसो, पसिना, हाँसो
🤣	अत्यन्तै हाँस उठ्दो, अनुहार, भुईँ, लडिबुडी, हाँसो
😂	अनुहार, आँसु, खुशी, खुसीको आँसु देखिएको अनुहार, हाँसो
🙂	अनुहार, मुस्कान, हल्का हँसिलो अनुहार
🙃	अनुहार, माथि-तल भएको, माथि-तल भएको अनुहार
😉	अनुहार, आँखा झिम्काइएको अनुहार, आँखा झिम्काएको
😊	अनुहार, आँखा, चम्किला आँखा र हँसिलो अनुहार, मुस्कान, लजाएको
😇	अनुहार, खेस्रा कल्पना, निर्दोष, परी, परीको कथा, मुस्कान, हेलो, ह्यालो सहितको हँसिलो अनुहार
🥰	गाढा माया गर्नु, तीनवटा मायाका प्रतीकसहितको हँसिलो मुहार, प्रेममा, हल्का एकतर्फी प्रेम
😍	अनुहार, आँखा, पानको पात-आकारको आँखासहितको हँसिलो अनुहार, माया, मुटु, मुस्कान
🤩	अचम्भित, अनुहार, आँखा, तारा, दाँत देखाएर हाँसिरहेको अनुहार
😘	अनुहार, चुम्बन, चुम्बन फ्याँकिरहेको अनुहार, मुटु
😗	अनुहार, चुम्बन, चुम्बन गरिरहेको अनुहार
☺️	अनुहार, तनाबमुक्त, बाहिर रेखा गरेको, मुस्कान, हँसिलो अनुहार
😚	अनुहार, आँखा, चुम्बन, बन्द आँखासहित चुम्बन गरिरहेको अनुहार, बन्द गरेको
😙	अनुहार, आँखा, चुम्बन, मुस्कान, हँसिलो आँखासहित चुम्बन गरिरहेको अनुहार
😋	अनुहार, मिठो, मिस्ठान्न, स्वादिष्ट, स्वादिष्ट खानामा रमाएको अनुहार, स्वादिस्ट, हाँसो
😛	अनुहार, जिब्रोबाहिर निस्केको, जिब्रोबाहिर निस्केको अनुहार
😜	अनुहार, आँखा, आँखा झिम्काउने, जिब्रो, जिब्रोबाहिर निस्केको र आँखा झिम्काएको अनुहार, रमाइलो
🤪	आँखा, ठूलो, मूर्ख अनुहार, सानो
😝	अनुहार, आँखा, जिब्रो, जिब्रोबाहिर निस्केको र आँखा चिम्म गरिएको अनुहार, डरलाग्दो, स्वाद
🤑	अनुहार, पैसा, पैसाको-मुख भएको अनुहार, मुख
🤗	अंगालो, अंगालो मारिरहेको, अंगालो मारेको अनुहार, अनुहार
🤭	छक्क परेको भाव भएको अनुहार, हुप्स
🤫	चुप लाग्न आग्रह, चुप लाग्न आग्रह गरिरहेको अनुहार, मौंन
🤔	अनुहार, सोचमग्न अनुहार, सोचिरहेको
🤐	अनुहार, जिपर, मुख, मुख टालिएको अनुहार
🤨	अविश्वास, छक्क परेको अनुहार, शङ्कालु
😐️	अनुहार, तटस्थ, तटस्थ अनुहार, भावहीन
😑	अनुहार, अभिव्यक्तिविहीन, अभिव्यक्तिविहीन अनुहार, भाव नभएको, भावशून्य
😶	अनुहार, चुप, मुख, मुखबिनाको अनुहार, शान्त
😏	अनुहार, बनावटी, बनावटी अनुहार
😒	अनुहार, अप्रसन्न, अप्रसन्न अनुहार, वेखुशी
🙄	अनुहार, आँखा, घुमिरहेको, घुमिरहेको आँखासहितको अनुहार
😬	अनुहार, मुख बनाएको, मुख बनाएको अनुहार
🤥	अनुहार, झुट, झुट बोलेको झल्किने अनुहार, पिनोच्चियो
😌	अनुहार, चिन्तामुक्त, चिन्तामुक्त अनुहार
😔	अनुहार, उदास, चिन्ताग्रस्त, चिन्ताग्रस्त अनुहार
😪	अनुहार, निद्रालु अनुहार, सुतेको
🤤	अनुहार, र्‍याल झरेको, र्‍याले अनुहार
😴	अनुहार, निदाइरहेको अनुहार, निदाएको, निद्रा
😷	अनुहार, औषधि, चिकित्सा मास्क लगाएको अनुहार, चिसो, डाक्टर, बिमारी, मास्क
🤒	अनुहार, ज्वरो, थर्मोमिटर, थर्मोमिटर राखेको अनुहार, बिमारी
🤕	अनुहार, घाउ, चोट, टाउकोमा पट्टी लगाइएको अनुहार, पट्टी
🤢	अनुुहार, बान्ता, बान्ता गरेको, बान्ता गरेको अनुहार
🤮	बान्ता, बान्ता गर्दै गरेको अनुहार, बिरामी
🤧	अनुहार, जिसुनडिहाइट, हाच्छिउँ, हाच्छिउँ गरेको अनुहार
🥵	ज्वरो आए जस्तो, तातो, तापको स्ट्रोक, पसिना आइरहेको, रातो अनुहारवाला, हट अनुहार
🥶	इसिकल्स, कठ्याङ्ग्रिदो, चिसो, चिसो अनुहार, तुषारोले खाएको, नीलो अनुहारवाला
🥴	असन्तुलित आँखा, टिप्सी, नशामा लागू औषध परेको, रिङ्गटा, रिङ्गटा लागेको अनुहार, वाङ्गेको मुख
😵	अनुहार, रिंगटा लागेको, रिंगटा लागेको अनुहार
🤯	बिस्फोट भइरहेको टाउको, स्तब्ध
🤠	अनुहार, काउगर्ल, काउव्वाइ, काउव्वाइ ह्याट अनुहार, ह्याट
🥳	उत्सव मनाउने कार्य, टोप, पार्टी, पार्टीमा रमेको अनुहार, हर्न
😎	अनुहार, आँखा, आँखामा लगाउने, उज्यालो, चस्मा, मौसम, राम्रो, शीतलु चस्मा, शीतलु चस्मा लगाएको हँसिलो अनुहार, सूर्य, हाँसो
🤓	अनुहार, किताबको किरा, पढन्दास अनुहार, विज्ञ
🧐	मोनोकलसहितको अनुहार, रुष्ट
😕	अनुहार, दोधारयुक्त, दोधारयुक्त अनुहार
😟	अनुहार, चिन्तित, चिन्तित अनुहार
🙁	अनुहार, रिसाएको, हल्का रिसाएको अनुहार
☹️	अनुहार, कुडिएको अनुहार, रिसाएको
😮	अनुहार, खुला, खुला मुख भएको अनुहार, मुख, सहानुभूति
😯	अनुहार, आश्चर्यचकित भएको, शान्त, शान्त अनुहार, हैरान भएको
😲	अनुहार, चकित, चकित अनुहार, दंग भएको, पूरै
😳	अनुहार, रातो भएको, रातो भएको अनुहार, स्तब्ध
🥺	अनुरोध गरिरहेको, छाउराको जस्ता आँखा, दया, विन्ती गरिरहेको अनुहार
😦	अनुहार, खुला, खुला मुख भएको रिसाएको अनुहार, तेवर, मुख
😧	अनुहार, दु:खी अनुहार, दुखी
😨	अनुहार, डरलाग्दो, डराएको, डराएको अनुहार, भयभीत
😰	अनुहार, असिनपसिन भएको चिन्तित अनुहार, खुला, चिसो, नीलो, पसिना, मुख, हतारिएको
😥	अनुहार, चिन्तामुक्त भएको, निराश तर चिन्तामुक्त अनुहार, निराश भएको, ह्विउ
😢	अनुहार, आँशु, दुःखी, रोएको, रोएको अनुहार
😭	अनुहार, आँशु, जोडले रोएको अनुहार, दुःखी, रोएको, सुक्कसुक्क
😱	अनुहार, चपाउने, चिच्याउने, डरलाग्दो, डरले चिच्चाएको अनुहार, डराएको, भयवित
😖	अनुहार, चकित, दुविधायुक्त अनुहार
😣	अनुहार, दृढ अनुहार, दृध
😞	अनुहार, निराश अनुहार, निराश भएको
😓	अनुहार, असिनपसिन अनुहार, चिसो, पसिना
😩	अनुहार, ज्यादै थाकेको, थकित, विचलित अनुहार
😫	अनुहार, थाकेको, थाकेको अनुहार
🥱	अल्छी लागेको, थाेकको, हाइ तानेको अनुहार, हाइ तान्नु
😤	अनुहार, नाकबाट वाफ निस्केको अनुहार, विजयी, सफलता
😡	अनुहार, उग्र, पागल, मुख फुलाएको, मुख फुलाएको अनुहार, रातो, रिसाएको
😠	अनुहार, पागल, रिसाएको, रिसाएको अनुहार
🤬	अपशब्द बोलेको अनुहार, मुखमा बिभिन्न प्रतीक भएको अनुहार
😈	अनुहार, खेस्रा कल्पना, परीको कथा, सिंङ, सिङसहितको हँसिलो अनुहार, हाँसो
👿	अनुहार, खेस्रा कल्पना, परीको कथा, पिशाच, राक्षष, सिङसहितको रिसाहा अनुहार
💀	अनुहार, खोपडी, परीको कथा, मृत्यु, राक्षस
☠️	अनुहार, खप्पर, खोपडी, खोपडी र खतराको चिन्ह, मृत्यु, राक्षस, शरीर
💩	अंधकुप, अनुहार, पप, पु, पुको थुप्रो, राक्षस, हास्यप्रद
🤡	अनुहार, हसाउँने मान्छे, हसाउँने मान्छेको अनुहार
👹	अनुहार, खेस्रा कल्पना, जीव, परीको कथा, पिशाच, राक्षस
👺	अनुहार, खेस्रा कल्पना, जीव, परीको कथा, राक्षस, सानो भूत
👻	अनुहार, खेस्रा कल्पना, जीव, परीको कथा, भूत, राक्षस
👽️	अंतरिक्ष, अंतरिक्षवासी, अज्ञात उड्ने वस्तु, अनुहार, खेस्रा कल्पना, जीव, परदेशी, परीको कथा
👾	अंतरिक्ष, अंतरिक्षवासी, अज्ञात उड्ने वस्तु, अनुहार, खेस्रा कल्पना, जीव, परदेशी राक्षस, परीको कथा, राक्षस
🤖	अनुहार, राक्षस, रोबोट, रोबोट अनुहार
😺	अनुहार, खुला, खुला मुख भएको हँसिलो बिरालोको अनुहार, बिरालो, मुख, मुस्कान
😸	अनुहार, आँखा, चम्किला आँखा भएको हँसिलो बिरालोको अनुहार, बिरालो, मुस्कान, हँसिलो
😹	अनुहार, आँशु, खुसीको आँशुसहितको बिरालोको अनुहार, बिरालो, रमाएको
😻	अनुहार, आँखा, बिरालो, माया, मुटु, मुटुको-आकारको आँखा भएको हँसिलो बिरालोको अनुहार, मुस्कान
😼	अनुहार, बिरालो, मुस्कान, व्यंगात्मक, व्यंग्यपूर्ण हाँसो, व्यंग्यपूर्ण हाँसोसहितको बिरालोको अनुहार
😽	अनुहार, आँखा, चुम्बन, बन्द आँखासहितको चुम्बन गरिरहेको बिरालोको अनुहार, बिरालो
🙀	अनुहार, अहो, आश्चर्यचकित, थाकेको, थाकेको बिरालोको अनुहार, बिरालो
😿	अनुहार, आँशु, दुःखी, बिरालो, रोइरहेको, रोइरहेको बिरालोको अनुहार
😾	अनुहार, बिरालो, मुख फुलाइरहेको, मुख फुलाइरहेको बिरालोको अनुहार
🙈	अनुहार, इशारा, कुनै-नचाहिने कुरा-देख्दैन, छैन, दुष्टता, निषेध गरिएको, निषेधित, बाँदर, हेर्न, होइन
🙉	अनुहार, इशारा, कुनै-नचाहिने कुरा-सुन्दैन, छैन, दुष्टता, निषेध गरिएको, निषेधित, बाँदर, सुन्ने, होइन
🙊	अनुहार, इशारा, कुनै-नचाहिने कुरा-बोल्दैन, छैन, दुष्टता, निषेध गरिएको, निषेधित, बाँदर, बोल्न, होइन
💋	ओठ, चिन्ह, चुम्बन, चुम्बन चिन्ह, मनोरन्जन, मुटु
💌	चिठ्ठी, प्रेम पत्र, माया, मुटु, मेल
💘	कुपिड, मनोरन्जन, मुटु, वाण, वाण छेडिएको मुटु
💝	भ्यालेन्टाइन, मुटु, रिबन, रिबनले बेरिएको मुटु
💖	उत्साहित, चमकदार, चमकदार मुटु, मुटु
💗	उत्साहित, चिन्तित, बढिरहेको, बढिरहेको मुटु, हर्टप्लस
💓	धड्किरहेको, धड्किरहेको मुटु, पल्सेटिङ, मुटु, मुटुको धड्कन
💞	घुमिरहेका मुटुहरू, घुमिरहेको, मुटु
💕	दुईवटा मुटुहरू, माया, मुटु
💟	मुटु, मुटुको सजावट
❣️	गाढा मुटुको विस्मयाधिबोधक चिन्हको सजावट, चिन्ह, मुटु, विराम चिन्ह, विस्मयाधिबधक चिन्ह
💔	टुक्रिएको, टुक्रिएको मुटु, टुटेको, मुटु
❤️	मुटु, रातो मुटु
🧡	सुन्तला, सुन्तला रङको मुटु
💛	पहेँलो, पहेँलो मुटु, मुटु
💚	मुटु, हरियो, हरियो मुटु
💙	नीलो, नीलो मुटु, मुटु
💜	प्याजी, प्याजी मुटु, मुटु
🤎	खैरो, खैरो हृदय, हृदय
🖤	अरूको भलो नचिताउने, कालो, खराव, दुष्ट, मुटु
🤍	सेतो, सेतो हृदय, हृदय
💯	अंक, पूरा, सय, सयवटा अंकहरू, १००
💢	पागल, रिस, रिसको संकेत, हँसाउने
💥	टक्कर, बुम, हँसाउने
💫	चक्कर, तारा, हँसाउने
💦	पसिना, पसिनाको थोपा, स्प्ल्यासिङ्, हँसाउने
💨	जोडले, ड्याश, दौडिरहेको, हँसाउने
🕳️	प्वाल
💣️	बम, हँसाउने
💬	फोका, बेलुन, वाक्य, वाक्य बेलुन, संवाद, हँसाउने
👁‍🗨	आँखा, आँखामा वाक्य बबल, वाक्य बबल, साक्षी
🗨️	बायाँ वाक्य बबल, वाक्य, सम्वाद
🗯️	दायाँ रिसको बबल, पागल, फोका, बेलुन, रिस
💭	फोका, बेलुन, विचार, सोच बेलुन, हँसाउने
💤	अल्छी लागेको, हँसाउने
👋	शरीर, हल्लाइरहेको, हल्लाइरहेको हात, हल्लेको, हात
👋🏻	छालाको प्रकार-१-२, शरीर, हल्लाइरहेको, हल्लाइरहेको हात: छालाको प्रकार-१-२, हल्लेको, हात
👋🏼	छालाको प्रकार-३, शरीर, हल्लाइरहेको, हल्लाइरहेको हात: छालाको प्रकार-३, हल्लेको, हात
👋🏽	छालाको प्रकार-४, शरीर, हल्लाइरहेको, हल्लाइरहेको हात: छालाको प्रकार-४, हल्लेको, हात
👋🏾	छालाको प्रकार-५, शरीर, हल्लाइरहेको, हल्लाइरहेको हात: छालाको प्रकार-५, हल्लेको, हात
👋🏿	छालाको प्रकार-६, शरीर, हल्लाइरहेको, हल्लाइरहेको हात: छालाको प्रकार-६, हल्लेको, हात
🤚	उठेको, पछाडिबाट उठेको हात, हातको पछाडि पाटो
🤚🏻	उठेको, छालाको प्रकार-१-२, पछाडिबाट उठेको हात, पछाडिबाट उठेको हात: छालाको प्रकार-१-२, हातको पछाडि पाटो
🤚🏼	उठेको, छालाको प्रकार-३, पछाडिबाट उठेको हात, पछाडिबाट उठेको हात: छालाको प्रकार-३, हातको पछाडि पाटो
