😀	gezicht, grijns, grijnzend gezicht
😃	gezicht, grijnzend gezicht met grote ogen, lach, mond, open
😄	gezicht, grijnzend gezicht met lachende ogen, lach, mond, oog, open
😁	gezicht, grijns, lach, oog, stralend gezicht met lachende ogen
😆	gezicht, glimlach, grijnzend gezicht met stijf dichtgeknepen ogen, lach, mond, open, tevreden
😅	gezicht, grijnzend gezicht met zweetdruppels, koud, lach, open, zweet
🤣	gezicht, gezicht dat op de grond rolt van het lachen, grond, lachen, rollen
😂	gezicht, gezicht met tranen van vreugde, lach, traan, vreugde
🙂	enigszins lachend gezicht, gezicht, glimlach
🙃	gezicht, omgekeerd gezicht, ondersteboven, op de kop
😉	gezicht, knipogend gezicht, knipoog
😊	blozen, gezicht, glimlach, lachend gezicht met lachende ogen, oog
😇	engel, fantasie, gezicht, glimlach, halo, lach, lachend gezicht met halo, onschuldig, sprookje
🥰	dol, hartjes, lachend gezicht met hartjes, smoor, verliefd
😍	gezicht, glimlach, lachend gezicht met hartvormige ogen, liefde, oog
🤩	gezicht, grijnzend, ogen, ster, sterren in de ogen
😘	gezicht, gezicht dat kus toeblaast, kus
😗	gezicht, kus, kussend gezicht
☺️	gezicht, glimlach, lachend gezicht, omtrek, ontspannen
😚	gesloten, gezicht, kus, kussend gezicht met gesloten ogen, oog
😙	gezicht, glimlach, kus, kussend gezicht met lachende ogen, oog
😋	genieten, gezicht, glimlach, jammie, lachend gezicht dat lippen likt, lekker, mmm
😛	gezicht, gezicht met uitgestoken tong, tong
😜	gezicht, grap, knipoog, knipoog met uitgestoken tong, oog, tong
🤪	gek gezicht, groot, klein, oog
😝	gezicht, gezicht met uitgestoken tong en dichtgeknepen ogen, oog, smaak, tong, vreselijk
🤑	geld, geldmond, gezicht, gezicht met geld in de mond, mond
🤗	blij gezicht met handen uitgestoken voor een knuffel, gezicht, knuffel, knuffelen
🤭	gezicht met hand over de mond, oeps
🤫	gezicht dat tot stilte maant, sst, stil
🤔	denken, gezicht, nadenkend gezicht
🤐	gezicht, gezicht met een rits als mond, mond, rits
🤨	gezicht met opgeheven wenkbrauw, sceptisch, wantrouwen
😐️	gezicht, neutraal, neutraal gezicht, uitgestreken
😑	geen commentaar, geen uitdrukking, gezicht, uitdrukkingsloos, uitdrukkingsloos gezicht
😶	gezicht, gezicht zonder mond, mond, rustig, stil
😏	gezicht, gniffelen, gniffelend gezicht
😒	chagrijnig gezicht, gezicht, niet blij, niet leuk, ongelukkig
🙄	gezicht, gezicht met rollende ogen, ogen, rollen
😬	gezicht, gezicht met grimas, grimas
🤥	gezicht, liegen, liegend gezicht, pinokkio
😌	gezicht, opgelucht, opgelucht gezicht
😔	gezicht, moedeloos, peinzend, peinzend gezicht
😪	gezicht, slaap, slaperig gezicht
🤤	gezicht, kwijlen, kwijlend gezicht
😴	gezicht, slaap, slapend gezicht, zzz
😷	dokter, gezicht, gezicht met doktersmasker, koud, masker, medicijn, ziek
🤒	gezicht, gezicht met thermometer, niet lekker, thermometer, ziek
🤕	gewond, gezicht, gezicht met een verband om het hoofd, pijn, verband, verwonding, wond
🤢	gezicht, misselijk, misselijk gezicht, overgeven
🤮	braaksel, brakend gezicht, ziek
🤧	gezicht, gezondheid, niezen, niezend gezicht
🥵	heet, heet gezicht, koortsig, rood gezicht, zonnesteek, zweten
🥶	bevriezing, blauw gezicht, ijspegels, koud, koud gezicht, vriezen
🥴	aangeschoten, dronken, duizelig, golvende mond, oneven ogen, wazig gezicht
😵	duizelig, duizelig gezicht, gezicht
🤯	geschokt, ontploffend hoofd
🤠	cowboy, cowgirl, gezicht, gezicht met cowboyhoed, hoed
🥳	feest, feestend gezicht, hoedje, roltong, viering
😎	bril, gezicht, glimlach, lach, lachen, lachend, lachend gezicht met zonnebril, lachend met zonnebril, mooi weer, ogen, oog, zon, zonnebril
🤓	geek, gezicht, nerd, nerderig, nerdgezicht
🧐	gezicht met monocle, saai
😕	gezicht, verward, verward gezicht
😟	bezorgd, bezorgd gezicht, gezicht
🙁	frons, fronsend, gezicht, licht fronsend gezicht
☹️	frons, fronsend, fronsend gezicht, gezicht
😮	gezicht, gezicht met open mond, mond, open, sympathie
😯	gezicht, verbaasd, verrast, verstomd, verstomd gezicht
😲	gechoqueerd, geschokt, gezicht, totaal gechoqueerd, verbaasd gezicht
😳	blozend, blozend gezicht, gezicht, verbijsterd
🥺	genade, smeken, smekend gezicht, zielig gezicht
😦	frons, fronsend gezicht met open mond, gezicht, mond, open
😧	gekweld gezicht, gezicht, lijdend
😨	angst, angstig, bang, bang gezicht, gezicht
😰	angstig gezicht met zweetdruppel, blauw, gehaast, gezicht, koud, mond, open, zweet
😥	gezicht, oef, opgelucht, teleurgesteld, teleurgesteld maar opgelucht gezicht
😢	bedroefd, gezicht, huilen, huilend gezicht, traan
😭	bedroefd, gezicht, hard huilend gezicht, huilen, snikken, traan
😱	angst, angstig, angstig schreeuwend gezicht, bang, gezicht, munch, schreeuw
😖	gezicht, onthutst, onthutst gezicht
😣	gezicht, volhardend, volhardend gezicht
😞	gezicht, teleurgesteld gezicht, teleurstelling
😓	gezicht, koud, neerslachtig gezicht met zweetdruppel, zweet
😩	gezicht, moe, moe gezicht, vermoeid
😫	gezicht, moe, vermoeid, vermoeid gezicht
🥱	gaap, gapend gezicht, vermoeid, verveeld
😤	gewonnen, gezicht, gezicht blazend van woede, triomf
😡	boos, gezicht, kwaad, pruilend, pruilend gezicht, rood, woede
😠	boos, boos gezicht, gezicht, kwaad
🤬	gezicht met symbolen op mond, vloeken
😈	fantasie, gezicht, glimlach, hoorns, lach, lachend gezicht met hoorns, sprookje
👿	boos gezicht met hoorns, demon, duivel, fantasie, gezicht, kleine duivel, sprookje
💀	dood, gezicht, monster, schedel, sprookje
☠️	dood, doodshoofd, doodshoofd met gekruiste beenderen, gekruiste beenderen, gezicht, monster
💩	drol, grappig, monster
🤡	clown, clownsgezicht, gezicht
👹	fantasie, gezicht, monster, sprookje, trol, wezen
👺	fantasie, gezicht, kobold, monster, sprookje, wezen
👻	fantasie, gezicht, monster, spook, sprookje, wezen
👽️	buitenaards, buitenaards wezen, fantasie, gezicht, monster, sprookje, ufo, wezen
👾	alien, buitenaards, buitenaards monster, fantasie, gezicht, monster, sprookje, ufo, wezen
🤖	gezicht, monster, robot
😺	gezicht, grijnzen, grijnzende kat, kat, lach, mond, open
😸	gezicht, grijns, grijnzende kat met lachende ogen, kat, lach, oog
😹	gezicht, kat, kat met tranen van vreugde, traan, vreugde
😻	gezicht, hart, kat, lach, lachende kat met hartvormige ogen, liefde, oog
😼	gezicht, gniffelende kat, ironisch, kat, lach, spottend
😽	gezicht, kat, kus, kussende kat, oog
🙀	gezicht, kat, oh nee, vermoeid, vermoeide kat, verrast
😿	gezicht, huilen, huilende kat, kat, traan, verdrietig
😾	gezicht, kat, pruilen, pruilende kat
🙈	aap, gebaar, geen, geen kwaad zien, gezicht, kwaad, niet, uit den boze, verboden, zien
🙉	aap, gebaar, geen, geen kwaad horen, gezicht, horen, kwaad, niet, uit den boze, verboden
🙊	aap, gebaar, geen, geen kwaad spreken, gezicht, kwaad, niet, spreken, uit den boze, verboden
💋	kus, lipafdruk, lippen
💌	brief, hart, liefde, liefdesbrief, post
💘	cupido, hart met pijl, pijl
💝	hart met strik, strik, valentijn
💖	fonkelend, fonkelend hart, spannend
💗	groeiend, groeiend hart, hartslag, nerveus, spannend
💓	hartslag, kloppen, kloppend hart, slaan
💞	draaien, hart, ronddraaiende harten
💕	liefde, twee harten
💟	decoratief hart, hart
❣️	hart als uitroepteken, interpunctie, teken, uitroep
💔	breken, gebroken, gebroken hart
❤️	hart, rood hart
🧡	oranje, oranje hart
💛	geel, geel hart
💚	groen, groen hart
💙	blauw, blauw hart
💜	paars, paars hart
🤎	bruin, bruin hart, hart
🖤	slecht, verdorven, zwart, zwart hart
🤍	hart, wit, wit hart
💯	100, 100 punten, maximumscore, score
💢	boos, kwaad, strip, woedesymbool
💥	boem, botsing, strip
💫	duizelig, ster, strip
💦	druppels, strip, zweet, zweetdruppels
💨	rennen, strip, wegrennen
🕳️	gat
💣️	bom, strip
💬	ballon, dialoog, spraak, spraakballon, strip, tekstballon
👁‍🗨	getuige, oog, spraakballon, spraakballon met oog
🗨️	dialoog, spraak, spraakballon naar links
🗯️	ballon, boze spraakballon naar rechts, kwaad, woede, woedeballon
💭	ballon, denkwolkje, gedachteballon, gedachten, strip
💤	slaapsymbool, slapen, strip
👋	hand, zwaai, zwaaien, zwaaiende hand
👋🏻	hand, lichte huidskleur, zwaai, zwaaien, zwaaiende hand, zwaaiende hand: lichte huidskleur
