😀	lol, rindo, risada, rosto, rosto risonho
😃	aberto, boca, rosto, rosto risonho com olhos bem abertos, sorriso
😄	aberta, boca, olhos, rosto, rosto risonho com olhos sorridentes, sorriso
😁	olho, rosto, rosto contente com olhos sorridentes, rosto rindo com olhos sorridentes, sorriso, sorriso aberto
😆	gargalhada, olhos fechados, rosto, rosto risonho com olhos semicerrados, sorriso com olhos fechados
😅	rosto, rosto risonho com gota de suor, sorriso com suor frio, suor frio
🤣	chão, gargalhada, rolando, rolando no chão de rir, rosto
😂	alegria, lágrimas, rosto, rosto chorando de rir, rosto com lágrimas de alegria
🙂	rosto, rosto levemente sorridente, sorriso
🙃	rosto de cabeça para baixo, rosto invertido
😉	piscada, rosto, rosto com olho piscando
😊	olhos sorrindo, rosto, rosto sorridente com olhos sorridentes, rosto sorrindo, ruborizar
😇	anjo, auréola, inocente, rosto, rosto sorridente com auréola
🥰	amor, apaixonado, paixão, rosto sorridente com 3 corações
😍	amor, coração, olhos, olhos de coração, rosto, rosto sorridente com olhos de coração
🤩	estrela, gargalhando, olhos, rosto, rosto com olhar maravilhado
😘	beijo, rosto, rosto mandando um beijo
😗	beijo, rosto, rosto beijando
☺️	rosto, rosto sorridente, sorridente, sorriso
😚	beijando com os olhos fechados, olhos fechados, rosto, rosto beijando com olhos fechados
😙	olhos sorrindo, rosto, rosto beijando com olhos sorridentes, rosto beijando com um sorriso, sorriso
😋	delicioso, gostoso, nham, rosto, rosto saboreando comida, sorriso
😛	rosto, rosto com língua para fora, rosto mostrando a língua
😜	brincadeira, língua para fora com piscadela, piscadela, provocação, rosto, rosto piscando e com língua para fora
🤪	excêntrico, grande, olho, pequeno, rosto bizarro
😝	horrível, língua para fora, língua para fora com os olhos fechados, olhos fechados, rosto, rosto com olhos semicerrados e língua para fora
🤑	cifrão, dinheiro, dinheiro na boca, rico, riqueza, rosto, rosto com cifrões
🤗	abraço, mãos abraçando, rosto, rosto abraçando
🤭	ops, rosto com a mão sobre a boca
🤫	quieto, rosto fazendo sinal de silêncio, silêncio
🤔	mão no queixo, pensando, rosto, rosto pensativo
🤐	rosto, rosto com boca de zíper, zíper
🤨	cético, desconfiança, rosto com sobrancelha levantada
😐️	neutro, rosto, rosto neutro, sem comentários, sem emoção
😑	rosto, rosto inexpressivo, sem expressão
😶	calado, quieto, rosto, rosto sem boca, sem boca
😏	rosto, rosto com sorriso maroto, sorriso malicioso, sorriso maroto
😒	blasé, rosto, rosto aborrecido, rosto de que não achou graça
🙄	olhos, revirando os olhos, rosto, rosto com olhos revirados
😬	fazendo careta, rosto, rosto expressando desagrado, rosto fazendo careta
🤥	mentindo, mentira, mentiroso, pinóquio, rosto de mentiroso
😌	alívio, rosto, rosto aliviado
😔	deprimido, desanimado, rosto, rosto deprimido
😪	rosto, rosto com sono, rosto sonolento
🤤	babando, babar, rosto babando
😴	rosto, rosto dormindo, sono, zzz
😷	doente, gripado, máscara, máscara médica, resfriado, rosto, rosto com máscara médica
🤒	de cama, febre, febril, rosto, rosto com termômetro, termômetro
🤕	acidentado, ferimento, rosto, rosto com atadura na cabeça, rosto com curativos, rosto machucado
🤢	enjoado, enjoo, rosto nauseado, vômito
🤮	doente, rosto vomitando, vômito
🤧	espirrando, espirro, rosto espirrando
🥵	febril, insolação, quente, rosto fervendo de calor, rosto vermelho, suando
🥶	congelando, frio, glacial, gélido, rosto azul de frio, rosto gelado
🥴	boca ondulada, bêbado, embriagado, intoxicado, olhos tortos, rosto embriagado
😵	rosto, rosto atordoado
🤯	cabeça explodindo, chocado
🤠	caubói, rosto, rosto com chapéu de caubói
🥳	apito, chapéu, comemoração, festa, rosto festivo
😎	rosto, rosto sorridente com óculos escuros, sol, sorrindo, sorrindo de óculos escuros, óculos escuros
🤓	cdf, estudioso, nerd, rosto de nerd, sabe-tudo
🧐	conservador, rosto com monóculo
😕	confuso, indeciso, rosto, rosto confuso
😟	rosto, rosto preocupado
🙁	rosto, rosto meio triste, tristinho
