😀	cara, cara sorridente, sorriso
😃	aberta, boca, cara, cara sorridente com olhos bem abertos, sorriso
😄	aberta, boca, cara, cara a sorrir com boca aberta e olhos sorridentes, olho, sorriso
😁	cara, cara sorridente com olhos sorridentes, olho, sorriso
😆	aberta, boca, cara, cara a sorrir com boca aberta e olhos bem fechados, riso, satisfação, sorriso
😅	aberta, cara, cara a sorrir com boca aberta e suor, frio, sorriso, suor
🤣	a rebolar no chão a rir, cara, chão, rebolar, rir
😂	cara, cara com lágrimas de felicidade, felicidade, lágrimas, riso, sorriso
🙂	cara, cara a sorrir ligeiramente, sorriso
🙃	ao contrário, cara, cara ao contrário
😉	cara, cara a piscar o olho, piscadela
😊	cara, cara a sorrir com olhos sorridentes, corado, olho, sorriso
😇	anjo, auréola, cara, cara a sorrir com auréola, conto de fadas, fantasia, inocente, sorriso
🥰	amor, apaixonado, cara sorridente com corações, paixão
😍	amor, cara, cara a sorrir com olhos em forma de coração, coração, olho, sorriso
🤩	cara, cara sorridente com estrelas nos olhos, estrela, olhos
😘	beijo, cara, cara a atirar um beijo, coração
😗	beijo, cara, cara a dar um beijo
☺️	cara, cara a sorrir, contorno, relaxado, sorriso
😚	beijo, cara, cara a dar um beijo com olhos fechados, fechado, olho
😙	beijo, cara, cara a dar um beijo com olhos sorridentes, olho, sorriso
😋	apetitoso, cara, cara a saborear uma refeição deliciosa, delicioso, saborear, sorriso
😛	cara, cara com língua de fora, língua
😜	cara, cara com língua de fora e olho a piscar, língua, olho, piada, piscadela
🤪	cara louca, grande, olho, pequeno
😝	cara, cara com língua de fora e olhos bem fechados, horrível, língua, olho, sabor
🤑	boca, cara, cara com cifrões, dinheiro
🤗	abraçar, abraço, cara, cara a dar um abraço
🤭	cara com mão na boca, ups
🤫	cara de segredo, quieto, segredo
🤔	cara, cara a pensar, pensativo
🤐	boca, cara, cara com boca com fecho de correr, fecho de correr
🤨	cara com sobrancelha levantada, cético, desconfiança
😐️	cara, cara neutra, inexpressivo, neutra, neutro
😑	cara, cara sem expressão, inexpressivo, sem expressão
😶	boca, calado, cara, cara sem boca, silencioso
😏	cara, cara com sorriso sarcástico, sorriso pretensioso
😒	aborrecido, cara, cara aborrecida, descontente
🙄	cara, cara com olhos revirados, olhos, revirar
😬	cara, cara a fazer caretas, caretas
🤥	cara, cara de mentiroso, mentira, pinóquio
😌	aliviado, cara, cara aliviada
😔	cara, cara pensativa, desanimado, melancólico, pensativo
😪	cara, cara sonolenta, sono
🤤	babar, cara, cara a babar-se
😴	cara, cara a dormir, sono, zzz
😷	cara, cara com máscara de médico, constipação, doente, máscara, médico, remédio
🤒	cara, cara com termómetro, doente, termómetro
🤕	cara, cara com ligadura na cabeça, ferimento, ligadura, magoado
🤢	cara, cara nauseada, nauseada, vómito
🤮	cara a vomitar, doente, vomitar, vómito
🤧	cara, cara a espirrar, espirro, santinho
🥵	cara com calor, cara vermelha, febril, insolação, quente, transpiração
🥶	cara azul, cara com frio, frieira, frio, gelar, sincelo
🥴	boca ondulada, bêbado, cara embriagada, embriagado, intoxicado, olhos tortos
😵	atordoado, cara, cara atordoada
🤯	cabeça a explodir, chocado
🤠	cara, cara sorridente com chapéu de vaqueiro, caubói, chapéu, cobói, cowboy, vaqueira, vaqueiro
🥳	apito, cara de festa, chapéu, comemoração, festa
😎	cara, cara a sorrir com óculos de sol, fixe, luminoso, olho, sol, sorriso, tempo, óculos, óculos de sol
🤓	cara, cara de cromo, totó
🧐	cara com monóculo, conservador, formal
😕	cara, cara confusa, confuso
😟	cara, cara preocupada, preocupado
🙁	cara, cara ligeiramente franzida, sobrolho menos franzido
☹️	cara, cara franzida, sobrolho franzido
😮	aberta, boca, cara, cara com boca aberta, pena
