😀	وڏي کل, وڏي کل وارو چهرو, چهرو
😃	وڏين انکين سان وڏي کل وارو چهرو, چهرو، وات، کليل، کل
😄	اک، چهرو، وات، کليل، کل،, کلندڙ انکين سان وڏي کل وارو چهرو
😁	اک, مرڪ, مرڪندڙ اکين سان ٻھڪندڙ چھرو, وڏي کل, چھرو, کلندڙ اکين سان گڏ چمڪندڙ چهرو
😆	وڏي کل وارو ڦريل انکين وارو چهرو, چهرو، کل، منهن، کليل، متمعين، مسڪراهٽ
😅	پگهر سان وڏي کل وارو چهرو, ٿڏ، چهرو، کليل، کل، پگهر
🤣	فرش, ليٿريون پائيندي, چھرو, کل, کلندي فرش تي ليٿڙيون پائيندي
😂	خوشي, خوشي جي ڳوڙهن وارو چهرو, خوشي جي ڳوڙھن وارو چھرو, چھرو, کل, ڳوڙھو
🙂	مرڪ, هلڪو مسڪرائيندڙ چهرو, چهرو
🙃	ابتو, ابتو چهرو, چهرو
😉	اک هڻڻ, چهرو، اک هڻڻ
😊	شرمائڻ، اک چهرو، مسڪراهٽ, کلندڙ انکين سان کلندڙ چهرو
😇	تصور, فرشتو, مرڪ, معصوم, نور جي حلقي سان مسڪرائيندڙ چهرو, هالو, پري جي ڪهاڻي, چهرو
🥰	دلين سان گڏ مرڪندڙ چهرو, دليون, مسڪرائيندڙ, پسند, پيار ۾, ڪرش
😍	اک, دل واري اکين سان مسڪرائيندڙ چهرو, مرڪ, پيار, چهرو
🤩	اکيون, اکيون تاري نما, تارو, مسڪرائڻ, چهرو
😘	هڪ چمي موڪليندڙ چهرو, چمي, چهرو
😗	چمي ڏيندڙ چهرو, چمڻ, چهرو
☺️	اڀريل, مرڪ, مرڪندڙ چهرو, پرسڪون, چهرو
😚	اک, بند اکين سان گڏ چمي ڏيندڙ چهرو, بند ٿيل, چمي, چهرو
😙	اک, مرڪ, مسڪرائيندڙ اکين سان گڏ چمي ڏيندڙ چهرو, چمي, چهرو
😋	لذت, مرڪ, مزو ڏيندي, مزي وارو, مزيدار, چهرو, کاڏي تي وات ۾ پاڻي اچڻ
😛	زبان, زبان وارو چهرو, چهرو
😜	اک, جھپڪڻ, زبان, زبان سان گڏ چهرو انک هڻندي, مذاق, چهرو
🤪	اوڏو, اک, ننڍو, چريو چهرو
😝	اک, خوفناڪ, ذائقو, زبان, زبان سان گڏ انک بند ڪندي چهرو, چهرو
🤑	وات, وات ۾ پئسن وارو چهرو, پئسا, چهرو
🤗	ڀاڪر, ڀاڪر پائيندڙ چهرو, ڀاڪر پائڻ, چهرو
🤭	تعجب, وات تي هٿ وارو چهرو
🤫	چپ چهرو, چپ، ماٺ
🤔	سوچيندڙ, سوچيندڙ چهرو, چهرو
🤐	زپ ٿيل وات وارو چهرو, زپر, وات, چهرو
🤨	اڀريل ڀرن سان چهرو, بي اعتمادي, شڪي
😐️	غير جانبدار چهرو, غيرجانبدار, لٿل, چهرو
😑	بغير اظهار, بغير اظهاري وارو چهرو, بي معني, لااظهار, چهرو
😶	بغير وات وارو چهرو, خاموش, وات, چهرو, چپ
😏	بناوٽي مرڪ, بناوٽي چهرو, چهرو
😒	ناخوش, ناخوش چهرو, چهرو
🙄	اکيون, چهرو, ڦرندڙ, ڦرندڙ اکين سان چهرو
😬	بدصورت بڻائڻ, بناوٽي صورت ٺاهيندڙ چهرو, چهرو
🤥	چهرو, ڪوڙ, ڪوڙ ڳالهائيندڙ چهرو
😌	آجو, آجو ٿيل چهرو, چهرو
😔	اداس, فڪرمند, فڪرمند چهرو, چهرو
😪	ننڊ, ننڊ وارو چهرو, چهرو
🤤	رال ٽپڪائيندڙ, رال ٽپڪائيندڙ چهرو, چهرو
😴	ززز, سمهندڙ چهرو, ننڊ, چهرو
😷	بيمار, دوا, ميڊيڪل ماسڪ سان گڏ چهرو, نقاب, ٿڌو, چهرو, ڊاڪٽر
