😀	මුහුණ, සිනහ මුහුණ, සිනහව
😃	කට, කට ඇරුණ සිනාසෙන මුහුණ, මුහුණ, විවෘත, සිනහව
😄	ඇස, කට, කට ඇරුණ සිනාාසෙන ඇස් සහිත සිනහ මුහුණ, මුහුණ, විවෘත, සිනහව
😁	ඇස, මුහුණ, සිනහව, සිනාසෙන ඇස් සහිත දත් විරිතත්න මුහුණ
😆	කට, කට ඇරුණ ඇස් තදින් වසා ගත් සිනහ මුහුණ, තෘප්තිමත්, මුහුණ, විවෘත, සිනහව
😅	කට ඇරුණ දහඩිය දමන සිනහ මුහුණ, දහඩිය, මුහුණ, විවෘත, සිනහව, සීතල
🤣	පෙරළීම, බිම, බිම පෙරළීමෙන් සිනාසීම, මුහුණ, සිනාසෙනවා
😂	කඳුළු, මුහුණ, සතුට, සතුටු කඳුළු සහිත මුහුණ, සිනහව
🙂	මුහුණ, යන්තම් සිනාවෙන මුහුණ, සිනහව
🙃	උඩු යටිකුරු, මුහුණ, යටිකුරු වූ මුහුණ
😉	ඇස් ගසන මුහුණ, ඇස් ගැසීම, මුහුණ
😊	ඇස, මුහුණ, රතු වීම, සිනහව, සිනාසෙන ඇස් සහිිත සිනහ මුහුණ
😇	අහිංසක, රැස් වළල්ල සහිත සිනහ මුහුණ, සුරංගනා කථාව, සුරංගනාවිය, හලෝ
🥰	ආදරයෙන් සිටින, කැමති, ගෞරව කරනවා, හදවත් 3ක් සහිත සිනාසී සිටින මුහුණක්
😍	ආදරය, ඇස, මුහුණ, සිනහව, හදවත, හදවතක හැඩය ගත් ඇස් සහිත සිනහ මුහුණ
🤩	ඇස්, ඇස් වල තරු ඇති සිනාවෙන මුහුණ, තරුව, මුහුණ, සිනාවෙමින්
😘	මුහුණ, සිප ගැනීමක් ලබා දෙන මුහුණ, හදවත, හාදුව
😗	මුහුණ, සිඹින මුහුණ, හාදුව
☺️	කැපී පෙනෙන, මුහුණ, සන්සුන්, සිනහ මුුහුණ, සිනහව
😚	ඇස, මුහුණ, වැසුණු, වැසුණු ඇස් සහිත සිඹින මුහුණ, හාදුව
😙	ඇස, මුහුණ, සිනහව, සිනාසෙන ඇසි සහිත සිඹින මුහුණ, හාදුව
😋	ම්, මුහුණ, යම්, රස, රස ආහාරවලින් පිනා යන මුහුණ, රසවත්, සිනහව
😛	දිව, දිව එළියට දැමූ මුහුණ, මුහුණ
😜	ඇස් ගැසීම, දිව, දිව එළියට දැමූ සහ ඇස් ගසන මුහුණ, දිිව එළියට දැමූ සහ ඇස් ගසන මුහුණ, මුහුණ, විහිළු
🤪	ඇස, පිස්සු මුහුණ, පොඩි, ලොකු
😝	ඇස, දිව, දිව එළියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ, දිව එළිියට දැමූ සහ තදින් වැසුණ ඇස් සහිත මුහුණ, පිළිකුල්, මුහුණ, රසය
🤑	කට, කටේ මුදල් රුවා ගත් මුහුණ, මුහුණ, සල්ලි
🤗	මුහුණ, වැළඳ ගන්නවා, වැළඳ ගන්නා මුහුණ, වැළඳ ගැනීම
🤭	අතින් කට වැසුණු මුහුණ, හපොයි
🤫	නිශ්ශබ්ද, නිශ්ශබ්ද කිරීමේ මුහුණ, නිශ්ශබ්ද වන්න
🤔	කල්පනා කරන මුහුණ, මුහුණ, සිතීම
🤐	කට, කටට සිප් එකක් දැමූ මුහුණ, මුහුණ, සිප්
🤨	අවිශ්වාසය, ඉහළ ගිය ඇහි බැමි ඇති මුහුණ, සංශයවාදයකි
😐️	උදාසීන, උදාසීන මුහුණ, මුහුණ, හැඟීම් රහිත
😑	භාව ප්‍රකාශන රහිත, මුහුණ, හැඟීමක් පළ නොකරන මුහුණ, හැඟීම් නැති, හැඟීම් රහිත
😶	කට, කටක් රහිත මුහුණ, නිශ්ශබ්ද, නිහඬ, මුහුණ
😏	නියවන මුහුණ, නියවීම, මුහුණ
😒	අසතුටු, මුහුණ, විනෝදයක් නැති, විනෝදයක් නැති මුහුණ
🙄	ඇස්, කරකවන ඇස් ඇති මුහුණ, කරකැවීම, මුහුණ
😬	පුලුටු කර ගත් මුහුණ, පුලුටු කරගත්, මුහුණ
🤥	පිනොකියෝ, බොරුකියන මුහුණ, බොරුව, මුහුණ
😌	මුහුණ, සැනසුමක් ලත්, සැනසුමක් ලත් මුහුණ
😔	අධෛර්යය, කල්පනාකාරී, කල්පනාවෙහි ගැලුණ මුහුණ, මුහුණ
😪	නිදිබර මුහුණ, නින්ද, මුහුණ
🤤	කෙළ බේරෙන, කෙළ බේරෙන මුහුණ, මුහුණ
😴	නිදින මුහුණ, නින්ද, මුහුණ, ස්ස්ස්
😷	බෙහෙත්, මුකවාඩම, මුකවාඩමක් සහිත මුහුණ, මුහුණ, රෝගී, වෛද්‍යවරයා, සීතල
🤒	අසනීප, උණ කටුව, උණකටුවක් රඳවා ගත් මුහුණ, මුහුණ, ලෙඩ
🤕	තුවාලය, බැන්ඩේජ්, මුහුණ, රිදීම, හිසට බැන්ඩේජ් දැමූ මුහුණ
🤢	පිළිකුල් වූ, පිළිකුල් වූ මුහුණ, මුහුණ, වමනය
🤮	අසනීපයි, වමනය, වමනය යන මුහුණ
🤧	කිඹුහුම, කිඹුහුම් යවන මුහුණ, මුහුණ
🥵	ඇවිස්සුණු, උණුසුම්, දාඩිය දැමීමි, රත් වූ පහර, රත් වූ මුහුණ, රතු වූ මුහුණ
🥶	අයිස් කූරු, ඉතා ශ්‍රීතල, නිල් මුහුණැති, සීතල මුහුණ, සීතලයි, හමේ ඇතිවන තුවාල
🥴	අසමාන ඇස්, ඉස කරකැවිල්ල, දුක්ඛිත මුහුණ, මත් වූ, රැලි සහිත කට, වෙරි වූ
😵	නිදිමත ගතියක් ඇති මුහුණ, නිිදිමත, මුහුණ
