😀	dareenka wajiga, gariir, wajiga
😃	afka, dhoola cadeyn, fur, muuqaalka wajiga indha weyn, muuqaalka wejiga indhaha weyn, wajiga
😄	afka, dareenka wajig oo indho dhoola cadeynaayo leh, dhoolo cadeyn, fur, indhaha, waji indho dhoola cadynaya leh, wajiga
😁	dhoola cadeyn, gariir, indho, waji, waji dhalaal indho dhoola cadeynaaayo leh, waji dhalaalaayo oo indho dhoolo cadeynaayo leh, wajiga
😆	afka, dareenka wajiga ee qoslaya, dhoola cadeyn, ku qanacsan yihiin, qosol, waji
😅	dhidid, dhoolo cadeyn, fur, qabow, waji, waji gariiraya oo dhidid leh, waji gariiraya oo dhididsan
🤣	dhulka, dhulka ku rafanaayo oo qoslaya, dhulka ku rafanaayo oo qosolaya, ku rafanaaya, qosl, waji
😂	farxad, ilin, qosol, waji, waji ilin farxad leh
🙂	dhoola cadeyn, face, waji yara dhoola cadeynaya
🙃	hoos u foorara, waji, waji hoos-hoos u raaraca
😉	face, il jibis, waji il jabinaaya, waji il jibinaaya
😊	dhoola cadeyn waji dhoola cadeynaaya oo indho dhoolo cadeynaaya leh, gududayn, il, waji, waji iyo indho dhoolo cadeynaaya
😇	dambi lahayn, khayaali, malaai’ig, waji, waji dhoolo cadeynaya, waji dhoolo cadeynaya wareeg leh, wareeg
🥰	burburin, jacleysto, jecel, qalbiyo, waji dhoolo cadeynaya qalbi
😍	dhoolo cadeyn, il, jaceyl, waji, waji dhoolo cadeynaya qalbi-indho
🤩	ilko cadeyn, indho, waji, xiddig, xiddig-dhufsaday
😘	shumis, waji, waji afuufayo dhunkasho, waji dhunkasho afuufayo
😗	dhunkasho, waji, wajiga dhunkashada
☺️	deggan, dhoolo cadeyn, sharraxay, waji, waji dhoolo cadeynaya
😚	dhunkasho, il, waji, waji dhunkanaayo indho xiran, waji dhunkasho indho xiran, xiran
😙	dhunkasho, il, waji, waji dhunkanaayo indho dhoolo cadeynaya
😋	dhadhamin, dhoolo cadeyn mac, macaan, waji, waji cunto dhadhaminaayo
😛	carrab, waji, waji iyo carrab
😜	carrab, il, il jibis, kaftan, waji, waji il jabinaayo carrab leh
🤪	doqon, il, waji qallafsan, weyn, yar
😝	carrab, dhadhan, il, naxdin leh, waji, waji foolxun carrab leh
🤑	af, lacag, waji, waji af-lacag
🤗	hab, hab siin, waji, waji habsiinaaya
🤭	qoorta, waji afka gacan ka saaran
🤫	aamusan, ruxan, waji ruxmaya
🤔	fakar, waji, waji fakarsan
🤐	afka, jiinyeer, waji, waji af xiran, waji-af xiran
🤨	aamin darro, shaki, waji sunniyo kor u qaadan leh
😐️	amakaag, dhexdhexaad, dhimasho, waji, waji dhexdhexaad ah
😑	aan waxqabad lahayn, amkaag, hadal la’aan, waji, waji aan muuqan lahayn
😶	aamusnaan, afka, waji, waji af la’aan, xasilloon
😏	isku dhaggan, waji, waji isku dhagan, waji isku dhaggan
😒	aan la daboolin, farxad la’aan, waji, waji aan la taaban karin
🙄	il wareeg, waji, waji indho wareegayo leh, wareeg
😬	naxdin, waji, waji naxdin leh
🤥	jiif, qashin, waji, waji jiifo
😌	caawin, waji, waji niyad jabn
😔	caajis, diyaarsan, waji, waji caajisan
😪	hurdo, waji, waji hurdeysan
🤤	dhareer, waji, waji dhareer
😴	hurdo, waji, waji hurdadeysan, waji hurdeysan
😷	dhakhtar, qabow, waji, waji maaskaro caafimaad leh
🤒	heerkulbeegga, jirro, waji, waji leh heerkulbeegga, waji leh heerkulbegga, xanuun
🤕	dhaawac, dhaawac ah, faashad, waji, waji leh faashad madaxeed, waji leh faashid madaxeed
🤢	lalabo, mantaq, waji, waji lalabo leh
🤮	jirro, mantaq, waji mantaq leh
🤧	hindhisho, u rajeyn caafimaad, waji, waji hindhisaayo
🥵	dhididaayo, istarooga kuleylka, kuleyl, waji cas, waji kulul, xummad
🥶	baraf, daalan, qaboobaayo, qaboow, qabow, waji qaboow
🥴	af qallocan, caajis, caara, daroogeysan, indho isla sinneyn, waji aan dagneyn
😵	waji, waji wareersan, wareer
🤯	madax qarxa, yaabay
🤠	koofi, koofigabadh, koofiwiil, waji, waji koofid leh
🥳	dabaaldeg, gees, koofi, waji farxadeysan, xaflad
😎	dhalaal, dhoola cadeyn, ookiyaale, qabow, qorrax, waji, waji dhoola cadeynaya ookiyaala wato
🤓	aan muuqan, waji, waji xirfad la’aan, xirfad la’aan
🧐	cabsi, waji hal ookiyaalo leh
😕	amkaag, jah wareersan, waji, waji jah wareersan
😟	waji, waji walaacsan, walaacsan
🙁	macbuus, waji, waji yara macbuusan
☹️	macbuus, waji, waji macbuus, waji macbuusan
😮	af, furan, naxariis, waji, waji af furan leh
😯	la yaabay, nadiif ah, waji, waji iftiimaayo
😲	amkaag, guud ahaan, la yaab, waji, waji amakaagsan
😳	gariir, jeexay, waji, waji xishood leh
🥺	baryid, indho ilmeeynaayo, naxariis, waji doodaayo, waji doodsan
😦	afka, fur, macbuus, waji, waji macbuus af furan leh
😧	waji, waji xanaaqsan, xanaaq
😨	cabsanaayo, cabsi, cabsi leh, waji, waji cabsi leh
😰	baluug, dedegid, dhidid, qabow, waji, waji walaacsan oo dhidid leh
😥	dabacsan, markaa, niyadjabsan, waji, waji xanaaqsan laakiin dabacsan
😢	jeexid, murugo, oohin, waji, waji ooynaayo
😭	jeexid, murugo, oohin, waji, waji zaaid u ooynaayo
😱	cabsaday, cabsi, foorid, qeeylo, waji, waji cabsi darteed u qeylinaayo, waji cabsi la qeylinaayo
😖	aad u baqday, waji, waji shakisan
😣	dulqaad, waji, waji dulqaad leh
😞	niyad jab, waji, waji niyadjabsan
😓	dhidid, qabow, waji, waji hoos u dhacsan oo dhididsan
😩	daal, daalan, waji, waji daal ka muuqdo
😫	daal, waji, waji daalan
🥱	cajisan, daallan, hammaansasho, waji hammaansanaya
😤	guul, guuleysi, waji, waji sanka qiiqaayo
😡	caro, gaduud, waali, waji, waji xanaaq leh, xanaaq
😠	waali, waji, waji careysan, xanaaq
🤬	dhaaranaaya, waji afka calaamada ku leh
😈	dhoolo cadeyn, geeso, khayaali, sheeko been ah, waji, waji dhool cadeynaayo geeso leh, waji dhoolo cadeynaayo geeso leh
👿	jinni, khayaali, shayddaan, waji, waji xanaaqsan geeso leh
💀	dhimasho, laf madaxa, sheeko been ah, waji, xayawaan
