😀	fytyrë, fytyrë e zgërdheshur, zgërdheshje, zgërdhihem
😃	buzëqeshje, e hapur, fytyrë, fytyrë e qeshur me gojën e hapur, gojë
😄	buzëqeshje, e hapur, fytyrë, fytyrë e qeshur me gojën e hapur dhe sy të qeshur, fytyrë me gojë të hapur dhe sy të qeshur, gojë
😁	fytyrë e zgërdheshur me sy të qeshur, sy, zgërdheshje, zgërdhihem
😆	e kënaqur, fytyrë e qeshur me gojën e hapur dhe sy të mbyllur fort, fytyrë e qeshur me sy të mbyllur fort, gojë, qesh
😅	djersë, e ftohtë, e hapur, fytyrë e qeshur me djersë të ftohta, fytyrë e qeshur me gojën e hapur dhe djersë të ftohta
🤣	dysheme, fytyrë, qeshje, rrokullisje, rrokullisje në dysheme nga e qeshura
😂	fytyrë, fytyrë me lot gëzimi, gëzim, lot, qesh
🙂	buzëqesh, buzëqeshje, fytyrë, fytyrë pak e qeshur
🙃	fytyrë, fytyrë përmbys, përmbys
😉	fytyrë, fytyrë që shkel syrin, shkel syrin
😊	buzëqeshje, fytyrë, fytyrë e qeshur me sy të qeshur, skuqem, sy
😇	aureolë, buzëqeshje, e pafajshme, engjëll, fytyrë e qeshur me aureolë
🥰	adhurim, fytyrë e qeshur me 3 zemra, në dashuri, tërheqje
😍	buzëqeshje, dashuri, fytyrë e qeshur me sytë në formë zemre, sy, zemër
🤩	fytyrë e magjepsur, qeshje, sy, yll, zgërdheshje
😘	fytyrë, fytyrë që jep një puthje, puth, puthje, zemër
😗	fytyrë, fytyrë që puth, puth, puthje
☺️	buzëqeshje, e qetë, e çlodhur, fytyrë, fytyrë e qeshur
😚	fytyrë që puth me sytë e mbyllur, puth, puthje, sy, të mbyllur
😙	fytyrë që puth me sy të qeshur, puthje, sy
😋	buzëqeshje, fytyrë, fytyrë duke shijuar ushqime të shijshme, shijoj
😛	fytyrë, fytyrë me gjuhën jashtë, gjuhë
😜	fytyrë, fytyrë me gjuhën jashtë dhe syrin e shkelur, gjuhë, shaka, shkel syrin
🤪	fytyrë e "çmendur", i madh, i vogël, sy
😝	fytyrë me gjuhën jashtë dhe sytë të mbyllur, gjuhë, i tmerrshëm, shije, ytyrë me gjuhën jashtë dhe sytë të mbyllur
🤑	fytyrë, fytyrë me gjuhë si para, gojë, para
🤗	fytyrë, fytyrë që përqafon, përqafim, përqafoj
🤭	fytyrë me dorën mbi gojë, uups!
🤫	fytyrë që bën "shtttt!", hesht, pusho, shtttt!
🤔	duke u menduar, fytyrë, fytyrë që mendohet, mendim
🤐	fytyrë, fytyrë me gojën e kyçur, gojë, kyç, zinxhir
🤨	fytyrë me vetull të ngritur, skeptik, mosbesues
😐️	fytyrë, fytyrë neutrale, neutral, neutrale, pa lëvizje
😑	fytyrë, fytyrë pa shprehje, nuk shprehet, pa shprehje
😶	e heshtur, e qetë, fytyrë, fytyrë pa gojë, gojë
😏	e vetëkënaqur, fytyrë, fytyrë e vetëkënaqur
😒	e mërzitur, e pakënaqur, fytyrë, fytyrë e pakënaqur
🙄	fytyrë, fytyrë me sytë që rrotullohen, rrotullim, sy
😬	e ngërdheshur, fytyrë, fytyrë e ngërdheshur
🤥	fytyrë, fytyrë mashtrimi, gënjeshtar, mashtrim, pinok
😌	e lehtësuar, fytyrë, fytyrë e lehtësuar
😔	e menduar, fytyrë, fytyrë e menduar, i brengosur
😪	fle, fytyrë, fytyrë e përgjumur, gjumë
🤤	fytyrë, fytyrë jargëse, jargë
😴	fle, fytyrë, fytyrë në gjumë, gjumë, zzz
😷	doktor, fytyrë, fytyrë me maskë mjekësore, i sëmurë, të ftohur
🤒	e sëmurë, fytyrë, fytyrë me termometër, i sëmurë, termometër
🤕	fashë, fytyrë, fytyrë me fashë në kokë, lëndim, lëndoj
🤢	fytyrë, fytyrë neverie, neveri, të përziera, të vjella
🤮	fytyrë që vjell, sëmurë, vjellje
🤧	fytyrë, fytyrë me teshtitje, i sëmurë, teshtitje
🥵	fytyrëkuq, i djersitur, i skuqur, me temperaturë
🥶	fytyrë e ngrirë, fytyrëblu, i acartë, i ftohtë
🥴	e dehur, e mjegulluar, fytyrë e mjegulluar, gojë e valëzuar, xurxull
😵	e trullosur, fytyrë, fytyrë e trullosur
🤯	i tronditur, kokë që shpërthen
🤠	fytyrë, fytyrë me kapele lopari, kapele, lopar, lopare
🥳	bori, festë, fytyrë festive, kapelë, mbrëmje festive
😎	diell, fytyrë, fytyrë e qeshur me syze dielli, i ndritshëm, syze dielli
🤓	fytyrë, fytyrë peshkopi, peshkop
🧐	fytyrë me monokël, hundë të bllokuara
😕	e hutuar, fytyrë, fytyrë e hutuar
😟	e shqetësuar, fytyrë, fytyrë e shqetësuar
🙁	e vrenjtur, fytyrë, fytyrë pak e vrenjtur
☹️	e vrenjtur, fytyrë, fytyrë e vrenjtur
😮	e hapur, fytyrë, fytyrë me gojën e hapur, gojë, simpati
😯	e habitur, e heshtur, e çuditur, fytyrë, fytyrë e heshtur
😲	e tronditur, e çuditur, fytyrë, fytyrë e çuditur, plotësisht
😳	e habitur, e skuqur, fytyrë, fytyrë e skuqur
🥺	fytyrë qaramane, lutje, mëshirë, qaramane
😦	e hapur, e vrenjtur, fytyrë, fytyrë e vrenjtur me gojë të hapur, gojë
😧	fytyrë, fytyrë në ankth, në ankth
😨	frikë, fytyrë, fytyrë e frikësuar, i frikshëm, i frikësuar
😰	blu, djersë, e hapur, ftohtë, fytyrë me gojën e hapur dhe djersë të ftohta
😥	e lehtësuar, e zhgënjyer, fytyrë, fytyrë e zhgënjyer por e lehtësuar, uf
😢	e mërzitur, fytyrë, fytyrë që qan, lot, qaj
😭	dënesë, fytyrë, fytyrë që qan me zë, i mërzitur, lot
😱	fytyrë duke ulëritur nga frika, i frikshëm, i frikësuar, mbllaçit, ulërimë, ytyrë duke ulëritur nga frika
😖	e turbulluar, fytyrë, fytyrë e turbulluar
😣	fytyrë, fytyrë këmbëngulëse, këmbëngulëse
😞	e zhgënjyer, fytyrë, fytyrë e zhgënjyer
😓	djersë, ftohtë, fytyrë, fytyrë me djersë të ftohta
😩	e lodhur, e rraskapitur, fytyrë, fytyrë e rraskapitur
😫	e lodhur, fytyrë, fytyrë e lodhur
🥱	e lodhur, e mërzitur, fytyrë, fytyrë e mërzitur
😤	fitoi, fytyrë, fytyrë me tym nga hunda, triumf
