😀	ansikte med stort leende, leende, roligt, skratt
😃	flinande ansikte med stora ögon, leende, roligt, skratt, öppen mun
😄	flinande ansikte med leende ögon, leende ögon, roligt, skratt
😁	leende, roligt, skratt, strålande ansikte med leende ögon
😆	ansikte, flinande ansikte med kisande ögon, leende med stängda ögon, stängda ögon, öppen mun
😅	flinande ansikte med svettdroppe, leende men svettas
🤣	ansikte, golv, rullar, rullar runt på golvet och skrattar, skratt
😂	ansikte med glädjetårar, glädjetårar
🙂	ansikte, leende, ler, småleende ansikte
🙃	ansikte, upp-och-ner, upp-och-nervänt ansikte
😉	ansikte som blinkar med ögonen, blinkar med ögonen, blinkning, flört, skämt
😊	glad, leende ansikte och ögon
😇	gloria, leende, leende ansikte med gloria
🥰	förtjust, kär, leende ansikte med tre hjärtan
😍	hjärta, kärlek, leende ansikte med hjärtformade ögon
🤩	ansikte, stjärnsmäll, stjärnögt ansikte
😘	ansikte ger en slängkyss, hjärta, puss, slängkyss
😗	puss, pussande ansikte
☺️	leende ansikte, smiley
😚	glad, puss, pussande ansikte med slutna ögon
😙	glad, puss, pussande ansikte med leende ögon
😋	ansikte som njuter av god mat, god mat, gott, leende ansikte, smakar gott
😛	ansikte, ansikte räcker ut tungan, räcker ut tungan, tunga
😜	blinkande ansikte, blinkande ansikte räcker ut tungan, räcker ut tungan och blinkar
🤪	liten, stor, tokigt ansikte, öga
😝	ansikte räcker ut tungan med stängda ögon, räcker ut tungan med stängda ögon, tunga, äckligt
🤑	ansikte, ansikte med dollarögon, ansikte med pengamun, pengar
🤗	ansikte, ansikte som kramas, kramas, leende
🤭	ansikte med handen för munnen, hoppsan
🤫	hyssjande ansikte, tyst
🤔	ansikte, ansikte som tänker, tänker
🤐	ansikte, ansikte som tiger, dragkedja, hemlighet
🤨	ansikte, ansikte med höjt ögonbryn, skeptisk, tveksam
😐️	ingen kommentar, neutral, neutralt ansikte
😑	ingen kommentar, uttryckslöst ansikte
😶	ansikte utan mun, ingen mun
😏	flin, flinande ansikte, halvleende ansikte, småleende ansikte
😒	inte glad, missnöjd, missnöjt ansikte
🙄	ansikte, ansikte som himlar med ögonen, himlar med ögonen
😬	grimaserande ansikte, grimaserar
🤥	ansikte, ljugande ansikte, lögn, pinocchio
😌	lättat ansikte, lättnad
😔	funderande ansikte, funderar, tänker
😪	sömnig, sömnigt ansikte, trött
🤤	ansikte, dreglande ansikte, dreglar
😴	sovande ansikte, sover
😷	ansikte med munskydd, läkare, munskydd, sjuk
🤒	ansikte, ansikte med termometer, sjuk, termometer
🤕	ansikte, ansikte med bandage, ansikte med bandage på huvudet, bandage, skadad
🤢	ansikte, kasta upp, kräks, spy, äcklad, äcklat ansikte
🤮	ansikte som kräks, illamående, kräkande ansikte, kräker, kräkning, kräks
🤧	ansikte, nysa, nysande ansikte, prosit
🥵	febrig, hett, hett ansikte, rött ansikte, svett, värmeslag
🥶	blått ansikte, frostbiten, frusen, istappar, kall, kallt ansikte
🥴	ostadig blick, på örat, påverkad, vågig mun, yr, yrt ansikte
😵	omtumlad, omtumlat ansikte, yr
🤯	chockad, exploderande huvud
🤠	ansikte, ansikte med cowboyhatt, cowboy, cowgirl, hatt
🥳	fest, festande ansikte, hatt, kalas, party, tuta
😎	cool, leende, leende ansikte med solglasögon, solglasögon
🤓	ansikte, glasögon, nörd, nördansikte
🧐	ansikte med monokel, gammaldags, torr
😕	förbryllad, förbryllat ansikte
😟	bekymrad, bekymrat ansikte, orolig
🙁	ansikte, ansikte med lite sur mun, sur
☹️	ansikte, ansikte med sur mun, sur
😮	förvånad, förvånat ansikte, öppen mun
😯	hyssjad, hyssjat ansikte, stum, tyst ansikte, överraskad
😲	chockad, chockat ansikte, förvånad
😳	generad, omtumlad, rodnande ansikte
🥺	bönfallande ansikte, hundögon, nåd, tigga
😦	bister, ogillande ansikte med öppen mun, öppen mun
😧	lider, plågat ansikte, ångest
😨	rädd, skräckinjagat ansikte, skrämt ansikte
😰	blått ansikte, kallsvettig, oroligt svettigt ansikte
😥	besviken, besviken men lättad, besviket men lättat ansikte, lättad
😢	gråtande ansikte, gråter, ledsen
😭	gråt, gråter, storgråtande ansikte
😱	ansikte som skriker av fasa, livrädd, rädd, skriker
😖	förvirrad, förvirrat ansikte
😣	besviken, misslyckades, står ut, uthålligt ansikte
😞	besvikelse, besviken, besviket ansikte
😓	nedslaget kallsvettigt ansikte, svettig
😩	uttröttad, uttröttat ansikte
😫	trött, trött ansikte
🥱	gäspa, gäspande ansikte, trött, uttråkad
😤	ansikte med ånga ur näsan, seger, triumf
😡	arg, plutande, plutande ansikte, rasande, röd i ansiktet, sur
😠	arg, argt ansikte
🤬	ansikte med symboler på munnen, svär
😈	horn, leende, leende ansikte med horn
👿	argt ansikte med horn, djävul
💀	dödskalle, döskalle
☠️	dödskalle, dödskalle med ben i kors, pirater
💩	avföring, bajs, bajshög
🤡	ansikte, clown, clownansikte, pajas
👹	ansikte, japansk demon, japanskt monster, monster, saga
👺	ansikte, japanskt troll, saga, troll
👻	ansikte, saga, spöke
👽️	alien, rymdvarelse, saga, ufo, utomjording
👾	monster, rymdvarelse, saga, ufo, utomjording, utomjordiskt monster
🤖	ansikte, robot, robotansikte
😺	flinande kattansikte, kattansikte, leende, leende katt
😸	flin, flinande kattansikte med leende ögon, katt, leende, ögon
