😀	kenua, sura inayokenua, uso
😃	funguliwa, mdomo, tabasamu, uso, uso unaotabasamu na mdomo uliofunguliwa
😄	funguliwa, jicho, mdomo, tabasamu, uso, uso unaotabasamu wenye mdomo uliofunguliwa na macho yanayotabasamu
😁	kenua, macho, tabasamu, uso, uso uliokenua na macho yanayotabasamu
😆	cheka, funguliwa, mdomo, ridhika, tabasamu, uso, uso unaotabasamu wenye mdomo wazi na macho yaliyofungwa
😅	funguliwa, jasho, jembamba, tabasamu, uso, uso unaotabasamu wenye tone la jasho na mdomo uliofunguliwa
🤣	angua kicheko, cheka, kugaragara, sakafu, uso
😂	cheka, chozi, furaha, uso, uso wenye machozi ya furaha
🙂	tabasamu, uso, uso unaotabasamu kwa mbali
🙃	kugeuzwa juu chini, uso, uso uliogeuzwa juu chini
😉	konyeza, uso, uso unaokonyeza
😊	jicho, tabasamu, uso, uso unaotabasamu na macho yanayotabasamu, wekundu wa uso
😇	asiye na hatia, duara ya mwangaza, kichimbakazi, malaika, njozi, uso unaotabasamu ulio na mduara wa mwangaza juu yake
🥰	huba, mapenzi, tamani, uso wenye tabasamu na maumbo ya moyo
😍	jicho, moyo, tabasamu, upendo, uso, uso unaotabasamu wenye macho ya umbo la moyo
🤩	kukenua, macho, nyota, uso, uso wenye macho ya nyota
😘	busu, moyo, uso, uso unaotoa busu
😗	busu, uso, uso unaobusu
☺️	iliyobainishwa, tabasamu, tulivu, uso, uso unaotabasamu
😚	busu, iliyofungwa, jicho, uso, uso unaobusu na macho yaliyofungwa
😙	busu, jicho, tabasamu, uso, uso unaobusu na macho yanayotabasamu
😋	kufurahia, tabasamu, tamu, uso, uso unaofurahia chakula kitamu, utamu
😛	ulimi, uso, uso wenye ulimi nje
😜	jicho, konyeza, ulimi, uso, uso unaotoa ulimi nje na kukonyeza jicho, utani
🤪	jicho, kubwa, ndogo, uso wa kutania
😝	jicho, ladha, mbaya, ulimi, uso, uso unaotoa ulimi nje na kufunga macho kabisa
🤑	mdomo, pesa, uso, uso unaoonyesha pesa ya noti mdomoni
🤗	kukumbatia, kumbatia, uso, uso unaokumbatia
🤭	lo!, uso uliofunika mdomo kwa mkono
🤫	kimya, nyamaza, uso unaonyamazisha
🤔	kufikiri, uso, uso unaotafakari
🤐	mdomo, uso, uso uliofungwa mdomo kwa zipu, zipu
🤨	kushuku, tuhumu, uso wenye nyusi zilizoinuka
😐️	bila hisia, kutulia, uso, uso uliotulia
😑	usioeleza chochote, usioonyesha hisia, uso, uso uliojikausha, wenye kujikausha
😶	kimya, mdomo, uso, uso bila mdomo, uso usio na mdomo
😏	beza, uso, uso unaobeza
😒	kukosa furaha, kutofurahi, uso, uso usio na furaha
🙄	kurembua, macho, usio wenye macho yanayorembua, uso
😬	kunja, uso, uso uliokunjwa
🤥	kudanganya, pinocchio, uwongo
😌	farijika, uso, uso uliofarijika
😔	huzunishwa, uso, uso uliozama katika mawazo, wenye mawazo
😪	usingizi, uso, uso unaosinzia
🤤	kutema mate, uso
😴	kusinzia, usingizi, uso, uso unaoonyesha usingizi
😷	barakoa, daktari, dawa, mafua, mgonjwa, uso, uso uliovaa barakoa ya matibabu
🤒	ngonjwa, pima joto, ugonjwa, uso, uso wenye kipimajoto mdomoni
🤕	bandeji, kuumia, maumivu, uso, uso uliofungwa bandeji kichwani
🤢	kichefuchefu, kizunguzungu, kutapika, uso
🤮	mgonjwa, tapika, uso unaotapika
🤧	gesundheit, kupiga chafya, uso
🥵	homa, joto, joto jingi, kijasho, uso mwekundu, uso wenye joto
🥶	barafu, baridi, kuganda, theluji, uso wa samawati, uso wenye baridi
🥴	kilevilevi, kizunguzungu, mlevi, mvinyo, ulevi, uso uliolewa
😵	kizunguzungu, uso, uso unaoonyesha kuwa na kizunguzungu
🤯	kichwa kinacholipuka, mshtuko
🤠	kofia, uso, uso wenye kofia
🥳	filimbi, karamu, kofia, sherehe, uso wenye kofia ya karamu
😎	hali ya hewa, inayong’aa, jua, tabasamu, uso unaotabasamu uliovaa miwani, vali la macho, wimani ya jua
🤓	mjuzi wa teknolojia, mtaalamu wa mambo, uso, uso wa mjuaji
🧐	iliyorembwa, uso wenye miwani kwenye jicho moja
😕	kuchanganyikiwa, uso, uso uliochanganyikiwa
😟	uso, uso ulio na wasiwasi, wasiwasi
🙁	kununa, uso, uso ulionuna kiasi
☹️	kununa, uso, uso ulionuna
😮	funguliwa, huruma, mdomo, uso, uso wenye mdomo ulio wazi
😯	kunyamaa, kushangazwa, kustaajabu, uso, uso ulionyamaa
😲	kabisa, kushtuliwa, kustaajabishwa, uso, uso uliostaajabu
😳	kizunguzungu, sisimka, uso, uso uliojawa msisimko
🥺	macho yanayosihi, onea huruma, sihi, uso unaosihi
😦	funguliwa, kununa, mdomo, uso, uso ulionuna wenye mdomo uliofunguliwa
😧	uchungu, uso, uso unaoonyesha uchungu
😨	kuhofu, kuogopa, uso, uso unaoogopa, woga
😰	funguliwa, jasho, jembamba, samawati, sisimka, uso wenye mdomo uliofunguliwa na jasho jembamba
😥	faraja, kufarijika, kusikitika, uso, uso uliosikitika lakini unaoonyesha kufarijika
😢	chozi, huzuni, lia, uso, uso unaolia
😭	chozi, huzuni, kulia, lia, uso, uso unaolia kwa sauti
😱	kuhofu, kula, kuogopa, mayowe, uso, uso unaopiga mayowe ya hofu, woga
😖	kushangazwa, uso, uso ulioshangazwa
😣	kuvumilia, uso, uso unaovumilia
😞	sikitiko, uso, uso uliosikitika
😓	jasho, jembamba, uso, uso wenye huzuni na jasho jembamba
😩	kuchoka, uchovu, uso, uso unaoonyesha uchovu
😫	uchovu, uso, uso uliochoka
🥱	choka, piga miayo, uchovu, uso unaopiga miayo
😤	shinda, ushindi, uso, uso wenye mvuke unaotoka puani
😡	bibidua midomo, ghadhabu, hasira, kasirika, nyekundu, uso, uso uliobibidua midomo
😠	hasira, kasirika, uso, uso uliojaa hasira
