😀	ยิ้มกว้าง, ยิ้มยิงฟัน, หน้ายิ้มยิงฟัน, ใบหน้า
😃	ตลก, ยิ้ม, ยิ้มยิงฟันปากอ้า, หน้า, หน้ายิ้มอ้าปาก, หัวเราะ, ฮ่าๆ
😄	ตลก, ยิ้ม, หน้า, หน้ายิ้มตายิ้ม และอ้าปาก, หัวเราะ, ฮ่าฮ่า, ฮ่าๆ
😁	ยิงฟัน, ยิ้ม, ยิ้มยิงฟันตายิ้ม, หน้า, ฮี่ฮี่, ฮี่ๆ
😆	ตาหยี, ยิ้ม, ยิ้มตาหยี, หน้า
😅	ยิ้ม, ยิ้มเหงื่อตก, หน้า, เหงื่อออก
🤣	กลิ้ง, ขำ, ขำกลิ้ง, แว้ก
😂	ดีใจ, น้ำตา, ปลื้ม, ร้องไห้ดีใจ, หน้า
🙂	ยิ้ม, หน้า, หน้ายิ้มบางๆ
🙃	กลับหัว, หน้า, หน้ากลับหัว
😉	ขยิบตา, ยิ้ม, หน้าขยิบตา
😊	ตา, หน้า, หน้ายิ้มตายิ้ม, หน้าแดง, อมยิ้ม
😇	นางฟ้า, บริสุทธิ์, ยิ้ม, ยิ้มเทวดา, เทวดา
🥰	ตกหลุมรัก, หน้ายิ้มพร้อมกับหัวใจหลายดวง, หลงรัก, หลงใหล, หัวใจ
😍	ความรัก, ตา, ตาหัวใจ, ยิ้ม, หน้า, หัวใจ
🤩	ดาว, ตา, ยิ้มอ้าปาก, หน้า, หน้าตาเป็นประกาย
😘	จุ๊บ, ส่งจูบ, หน้า, หน้าส่งจุ๊บ, หัวใจ
😗	จุ๊บ, ส่งจูบ, หน้า, หน้าจุ๊บ
☺️	ยิ้ม, หน้า, หน้ายิ้ม
😚	จุ๊บ, ส่งจูบ, หน้า, หยีตาส่งจุ๊บ
😙	จุ๊บ, ส่งจูบ, หน้า, หน้ายิ้มส่งจุ๊บ
🥲	ประทับใจ, ปลื้มปีติ, ภูมิใจ, ยิ้มเล็กน้อย, ร้องไห้, โล่งใจ, ใบหน้ายิ้มทั้งน้ำตา
😋	หน้า, อร่อย, แลบลิ้นมุมปาก
😛	หน้า, แลบลิ้น
😜	ขยิบตา, หน้า, แลบลิ้น, แลบลิ้นหน้าทะเล้น
🤪	หน้าตลก, หน้าเพี้ยน
😝	หน้า, แลบลิ้น, แลบลิ้นตาหยี
🤑	หน้า, หน้าเห็นแก่เงิน, เงิน
🤗	กอด, ยิ้ม, ยิ้มกอด, หน้า, อบอุ่น
🤭	เอามือปิดปาก
🤫	จุ๊จุ๊, หน้าบอกให้เงียบ
🤔	คิด, หน้า, หน้าครุ่นคิด
🤐	รูดซิป, รูดซิปปาก, หน้า
🤨	คลางแคลงใจ, สงสัย, หน้าประหลาดใจกับยักคิ้ว
😐️	หน้า, หน้าเฉยๆ, เฉยๆ
😑	หน้า, หน้าเย็นชา, เฉยๆ
😶	หน้า, หน้าไม่มีปาก, ไม่มีปาก
😏	หน้า, แสยะยิ้ม
😒	หน้า, หน้าหน่าย, ไม่มีความสุข
🙄	กลอกตา, หน้า
😬	ยิงฟัน, หน้า, เบะปาก
🤥	ขี้จุ๊, ขี้โกหก, จมูกยาว, พิน็อคคิโอ, หน้า
😌	หน้า, โล่งใจ
😔	คิดมาก, คิดไม่ตก, ผิดหวัง, หน้า
😪	ง่วง, หน้า, หลับ
🤤	น้ำลาย, น้ำลายไหล, หิว
😴	กรน, หน้า, หลับ
😷	ป่วย, ผ้าคาดปาก, หน้า, เป็นหวัด
🤒	ปรอทวัดไข้, ป่วย, หน้า, อมปรอท
🤕	ผ้าก็อต, หน้า, หัวแตก, เจ็บ, แผล
🤢	คลื่นไส้, พะอืดพะอม, หน้าเขียว, อ้วก
🤮	ป่วย, หน้าอาเจียน, อ้วก
🤧	จาม, ป่วย, หวัด, ฮัดเช้ย, ใครบ่นถึง
🥵	ร้อน, ร้อนตับแลบ, ร้อนมาก, เหงื่อแตกพลั่ก, ไข้ขึ้น
🥶	หนาว, หนาวสั่น, เย็นจัด, เย็นยะเยือก
🥴	งงงวย, มึนเมา, วิงเวียน, หน้างงงวย, เมา
😵	มึน, หน้า, หน้ามึน
🤯	ช็อค, ตะลึง, หัวระเบิด
🤠	คน, คาวบอย, คาวบอยสวมหมวก, หน้า, หมวก
🥳	งานเลี้ยง, ฉลอง, ปาร์ตี้, หมวกปาร์ตี้, ไปปาร์ตี้
🥸	จมูก, ปลอมตัว, หน้า, แว่นตา, ไม่เปิดเผยตัว
😎	ยิ้ม, หน้า, หน้ายิ้มใส่แว่น, แว่นกันแดด
🤓	จริงจัง, หน้า, เด็กเนิร์ด, เนิร์ด
🧐	หน้ากับแว่นเลนส์เดียว
😕	สับสน, หน้า, หน้าสับสน
😟	กังวล, หน้า, หน้ากังวล
🙁	บึ้ง, หน้า, หน้าบึ้งเล็กน้อย
☹️	บึ้ง, หน้า, หน้าบึ้ง
😮	ตกใจ, หน้า, อ้าปาก
😯	หน้า, หน้าจุ๊ๆ, ห่อปาก
😲	ประหลาดใจ, หน้า, หน้าประหลาดใจ
😳	หน้า, อาย, อายหน้าแดง
🥺	ขอความเห็นใจ, ขอร้อง, หน้าอ้อนวอน, อ้อนวอน
😦	บึ้ง, หน้า, หน้าบึ้งอ้าปาก
😧	หน้า, หน้าเจ็บปวด, เจ็บปวด
😨	กลัว, หน้า, หวาดกลัว
😰	กังวล, กังวลเหงื่อตก, หน้า
😥	ผิดหวัง, หน้า, โล่งอก
😢	น้ำตา, ร้องไห้, หน้า
😭	น้ำตา, ร้องไห้, ร้องไห้โฮ, หน้า
😱	กลัว, กลัวกรีดร้อง, หน้า
😖	รำคาญ, หน้า, หน้ารำคาญ
😣	หน้า, อดทน
😞	ผิดหวัง, หน้า, หน้าผิดหวัง
😓	หน้า, เหงื่อ, เหงื่อตก
😩	หน้า, หน้าอิดโรย, เหนื่อย
😫	หน้า, เหนื่อย
🥱	หน้ากำลังหาว, หาว, เบื่อ, เหนื่อย
😤	ชนะแล้ว, หน้า, หน้าข่มอารมณ์
😡	หน้า, โกรธ, โกรธมาก
😠	หน้า, หน้าโกรธ, โมโห
🤬	สบถ, หน้ากำลังด่า
😈	ปิศาจ, ภูต, ยิ้มมีเขา, หน้า
👿	ปิศาจ, ภูต, หน้า, หน้าบึ้งมีเขา
💀	กะโหลก, หัวกระโหลก
☠️	กะโหลก, กะโหลกไขว้, ความตาย, ปิศาจ, อันตราย
💩	อึ, อุนจิ
🤡	ตลก, หน้า, หน้าตลก, โจ๊กเกอร์
👹	ญี่ปุ่น, ปิศาจ, ยักษ์, ยักษ์ญี่ปุ่น, หน้า
👺	ญี่ปุ่น, ปิศาจ, ปีศาจญี่ปุ่น, หน้า
👻	ผี, หลอก
👽️	มนุษย์ต่างดาว, ยูเอฟโอ, หน้า, เอเลี่ยน, แฟนตาซี
👾	นอกโลก, มนุษย์ต่างดาว, ยูเอฟโอ, สัตว์ประหลาดเอเลี่ยน, หน้า, อวกาศ, เอเลี่ยน
🤖	สัตว์ประหลาด, หน้า, หุ่นยนต์
😺	ปาก, ยิ้ม, ยิ้มอ้าปาก, หน้า, อ้าปาก, แมว, แมวยิ้มอ้าปาก
😸	ตา, ยิ้ม, ยิ้มอ้าปาก, หน้า, แมว, แมวยิ้มอ้าปากและยิ้มออกตา
😹	ดีใจ, ร้องไห้, หน้า, แมว, แมวร้องไห้ดีใจ
😻	ตา, ยิ้ม, หน้า, หลงรัก, หัวใจ, แมว, แมวยิ้มมีตารูปหัวใจ
😼	ยิ้ม, ยิ้มเยาะ, หน้า, เจ้าเล่ห์, แมว, แมวยิ้มเจ้าเล่ห์
😽	ตา, ส่งจูบ, หน้า, แมว, แมวส่งจุ๊บ
🙀	ตกใจ, ประหลาดใจ, หน้า, แมว, แมวตกใจ, โอ๊ะ
😿	น้ำตา, ร้องไห้, หน้า, เศร้า, แมว, แมวร้องไห้
😾	หน้า, แมว, แมวโกรธ, โกรธ
🙈	ปิดตา, ลิง, ลิงปิดตา
🙉	ปิดหู, ลิง, ลิงปิดหู
🙊	ปิดปาก, ลิง, ลิงปิดปาก
💋	จูบ, ปาก, รอยจูบ, อวัยวะ
💌	ความรัก, จดหมาย, จดหมายรัก, หัวใจ, อีเมล
💘	ความรัก, ลูกศร, ศรปักใจ, หัวใจ
💝	วาเลนไทน์, หัวใจ, หัวใจผูกริบบิ้น
💖	ตื่นเต้น, รัก, หัวใจ, หัวใจวิบวับ
💗	หัวใจ, ใจพองโต
💓	หัวใจ, หัวใจเต้น
💞	หัวใจ, หัวใจโคจร
💕	รัก, ใจ 2 ดวง
💟	หัวใจ, หัวใจประดับ
❣️	เครื่องหมาย, เครื่องหมายวรรคตอน, เครื่องหมายอัศเจรีย์, เครื่องหมายอัศเจรีย์รูปหัวใจ
💔	หัวใจ, อกหัก
❤️	หัวใจ, หัวใจสีแดง, หัวใจแดง
🧡	สีส้ม, หัวใจสีส้ม
💛	หัวใจ, หัวใจสีเหลือง
💚	หัวใจ, หัวใจสีเขียว
💙	หัวใจ, หัวใจสีน้ำเงิน
💜	หัวใจ, หัวใจสีม่วง
🤎	สีน้ำตาล, หัวใจ, หัวใจสีน้ำตาล
🖤	ดำ, หัวใจสีดำ, ใจดำ, ใจร้าย
🤍	สีขาว, หัวใจ, หัวใจสีขาว
💯	100 คะแนน, คะแนนเต็ม
💢	สัญลักษณ์ความโกรธ, โกรธ, โมโห
💥	การปะทะ, ชน, โกรธมาก
💫	มึนหัว, เห็นดาว
💦	เหงื่อ, เหงื่อหยด
💨	วิ่งฉิว, วิ่งหนี
🕳️	หลุม
💣️	ระเบิด, โกรธมาก
💬	คำพูด, บทสนทนา, พูดไม่ออก, ลูกโป่ง
👁‍🗨	ตา, ตาในลูกโป่งคำพูด, พยาน, ลูกโป่งคำพูด
🗨️	คำพูด, บทสนทนา, ฟองคำพูด
🗯️	ฟองคำพูด, ฟองคำพูดรุนแรง, ลูกโป่ง, โกรธ
💭	ความคิด, ลูกโป่ง, ลูกโป่งความคิด
💤	กรน, ง่วง, หลับปุ๋ย
👋	มือ, อวัยวะ, โบก, โบกมือ
👋🏻	มือ, อวัยวะ, โทนผิวสีขาว, โบก, โบกมือ, โบกมือ: โทนผิวสีขาว
👋🏼	มือ, อวัยวะ, โทนผิวสีขาวเหลือง, โบก, โบกมือ, โบกมือ: โทนผิวสีขาวเหลือง
👋🏽	มือ, อวัยวะ, โทนผิวสีเหลือง, โบก, โบกมือ, โบกมือ: โทนผิวสีเหลือง
👋🏾	มือ, อวัยวะ, โทนผิวสีแทน, โบก, โบกมือ, โบกมือ: โทนผิวสีแทน
👋🏿	มือ, อวัยวะ, โทนผิวสีเข้ม, โบก, โบกมือ, โบกมือ: โทนผิวสีเข้ม
🤚	ยกมือ, หลังมือ
🤚🏻	ยกมือ, ยกมือ: โทนผิวสีขาว, หลังมือ, โทนผิวสีขาว
🤚🏼	ยกมือ, ยกมือ: โทนผิวสีขาวเหลือง, หลังมือ, โทนผิวสีขาวเหลือง
🤚🏽	ยกมือ, ยกมือ: โทนผิวสีเหลือง, หลังมือ, โทนผิวสีเหลือง
🤚🏾	ยกมือ, ยกมือ: โทนผิวสีแทน, หลังมือ, โทนผิวสีแทน
🤚🏿	ยกมือ, ยกมือ: โทนผิวสีเข้ม, หลังมือ, โทนผิวสีเข้ม
🖐️	ชูมือกางนิ้ว, นิ้ว, มือ, อวัยวะ
🖐🏻	ชูมือกางนิ้ว, ชูมือกางนิ้ว: โทนผิวสีขาว, นิ้ว, มือ, อวัยวะ, โทนผิวสีขาว
🖐🏼	ชูมือกางนิ้ว, ชูมือกางนิ้ว: โทนผิวสีขาวเหลือง, นิ้ว, มือ, อวัยวะ, โทนผิวสีขาวเหลือง
🖐🏽	ชูมือกางนิ้ว, ชูมือกางนิ้ว: โทนผิวสีเหลือง, นิ้ว, มือ, อวัยวะ, โทนผิวสีเหลือง
🖐🏾	ชูมือกางนิ้ว, ชูมือกางนิ้ว: โทนผิวสีแทน, นิ้ว, มือ, อวัยวะ, โทนผิวสีแทน
🖐🏿	ชูมือกางนิ้ว, ชูมือกางนิ้ว: โทนผิวสีเข้ม, นิ้ว, มือ, อวัยวะ, โทนผิวสีเข้ม
✋	ตั้งฝ่ามือ, มือ, อวัยวะ
✋🏻	ตั้งฝ่ามือ, ตั้งฝ่ามือ: โทนผิวสีขาว, มือ, อวัยวะ, โทนผิวสีขาว
✋🏼	ตั้งฝ่ามือ, ตั้งฝ่ามือ: โทนผิวสีขาวเหลือง, มือ, อวัยวะ, โทนผิวสีขาวเหลือง
✋🏽	ตั้งฝ่ามือ, ตั้งฝ่ามือ: โทนผิวสีเหลือง, มือ, อวัยวะ, โทนผิวสีเหลือง
✋🏾	ตั้งฝ่ามือ, ตั้งฝ่ามือ: โทนผิวสีแทน, มือ, อวัยวะ, โทนผิวสีแทน
✋🏿	ตั้งฝ่ามือ, ตั้งฝ่ามือ: โทนผิวสีเข้ม, มือ, อวัยวะ, โทนผิวสีเข้ม
🖖	ชูนิ้วแบบวัลแคน, นิ้ว, มือ, วัลแคน, อวัยวะ
🖖🏻	ชูนิ้วแบบวัลแคน, ชูนิ้วแบบวัลแคน: โทนผิวสีขาว, นิ้ว, มือ, วัลแคน, อวัยวะ, โทนผิวสีขาว
🖖🏼	ชูนิ้วแบบวัลแคน, ชูนิ้วแบบวัลแคน: โทนผิวสีขาวเหลือง, นิ้ว, มือ, วัลแคน, อวัยวะ, โทนผิวสีขาวเหลือง
