😀	syrtarma, syrtarýan ýüz, ýüz
😃	agyz, açyk, ullakan gözli syrtarýan ýüz, ýylgyrmak, ýüz
😄	agyz, açyk, göz, gülýän gözli syrtarýan ýüz, ýylgyrmak, ýüz
😁	göz, gülýän gözli ýyrşarýan ýüz, syrtarmak, ýylgyrmak, ýüz
😆	agyz, açyk, gözüniň gytagy bilen seredýän syrtarýan ýüz, gülki, kanagatlanan, ýylgyrmak, ýüz
😅	açyk, der, sowuk, syrtarýan derli ýüz, ýylgyrmak, ýüz
🤣	gülmek, içiňi tutup gülmek, togalanmak, ýer, ýüz
😂	begenç, begenç gözýaşly ýüz, gözýaş, gülki, ýüz
🙂	çalaja ýylgyrýan ýüz, ýylgyrmak, ýüz
🙃	başaşak, dik başaşak ýüz, ýüz
😉	göz gypmak, göz gypýan ýüz, ýüz
😊	göz, gülýän gözli ýylgyrýan ýüz, ýylgyrmak, ýüz, ýüzi gyzarmak
😇	başy halkaly ýylgyrýan ýüz, bigünä, bylgyrmak, erteki, hyýaly, nurana halka, perişde, ýüz
🥰	gowy görmek, halamak, söýmek, üç ýürekli ýylgyrýan ýüz
😍	göz, söýgi, ýylgyrmak, ýürek gözli ýylgyrýan ýüz, ýüz
🤩	gözler, syrtarmak, ýyldyz, ýyldyz düşen, ýüz
😘	posa, posa üfleýän ýüz, ýüz
😗	posa, öpýän ýüz, ýüz
☺️	rahat, sudurly, ýylgyrmak, ýylgyrýan ýüz, ýüz
😚	göz, posa, ýumuk, ýumuk gözli öpýän ýüz, ýüz
😙	göz, gülýän gözli öpýän ýüz, posa, ýylgyrmak, ýüz
😋	mm, mymm, nahara agzyny şapyrdadýan ýüz, süýji, ýylgyrmak, ýüz, şapyrdadýan
😛	dil, dilini çykarýan ýüz, ýüz
😜	degişme, dil, dilini çykarýan we göz gypýan ýüz, göz, göz gypmak, ýüz
🤪	däli ýüz, göz, kiçi, uly
😝	dil, dilini çykarýan we gözüniň gytagy bilen seredýän ýüz, gorkunç, göz, tagam, ýüz
🤑	agyz, pul, pul agyzly ýüz, ýüz
🤗	gujak, gujaklamak, gujaklaýan ýüz, ýüz
🤭	eli agzynyň üstünde ýüz, oh-ho
🤫	"ýuwaşş" diýýän ýüz, üşş, ýuwaş
🤔	oýlanýan, oýlanýan ýüz, pikirlenýän, ýüz
🤐	agyz, syrma, syrma agyzly ýüz, ýüz
🤨	gaşyny galdyran ýüz, müňkür, ynamsyzlyk
😐️	biparh, syr bermeýän, syr bildirmeýän ýüz, ýüz
😑	duýgusyny bildirmeýän, duýgusyz, duýgusyz ýüz, sep bildirmeýän, ýüz
😶	agyz, agyzsyz ýüz, sessiz, ýuwaş, ýüz
😏	kinaýa, kinaýaly ýüz, ýüz
😒	begençsiz, göwni bitmedik, göwni bitmedik ýüz, ýüz
🙄	gözler, gözüni agdarýan ýüz, togalanýan, ýüz
