😀	mata fiefia
😃	mata fiefia moe kanoʻimata lalahi
😄	mata fiefia moe kanoʻimata malimali
😁	mata ina moe kanoʻimata malimali
😆	mata
😅	mata fiefia moe tautaʻa
🤣	mata kata moe teka faliki
😂	mata moe loʻimata fiefia
🙂	mata kiʻi malimali
🙃	mata fulihi
😉	mata fakakuitaha
😊	mata malimali moe kanoʻimata malimali
😇	mata malimali moe takaniko
🥰	mata malimali moe mafu ʻe 3
😍	mata malimali moe kanoʻimata mafu
🤩	mata fetuʻu
😘	mata ʻoku puhi ʻae ʻuma
😗	mata ʻuma
☺️	mata malimali
😚	mata ʻuma moe kanoʻimata kuikui
😙	mata ʻuma moe kanoʻimata malimali
😋	mataʻi ʻuakai
😛	mata moe ʻelelo
😜	mata kuitaha moe ʻelelo
🤪	mata masoli
😝	mata kuikui moe ʻelelo
🤑	mata ngutu-paʻanga
🤗	mata fāʻufua
🤭	mata moe nima ʻi muʻa ʻoe ngutu
🤫	mata fiemaʻu fakalongolongo
🤔	mataʻi fakakaukau
🤐	mata moe ngutu meʻa-fakamaʻu-fusi
🤨	mata moe kemo mahiki
😐️	mata noa pē
😑	mata matanoa
😶	mata taʻe ngutu
😏	mata katakata manuki
😒	mata taʻefiefia
🙄	mata kilokilo
😬	mata mioʻi
🤥	mata moe ihu lōloa
😌	mata fakanongononga
😔	mata fakalaulauloto
😪	mata fiemohea
🤤	mata ngutu hafu fāvai
😴	mata mohe
😷	mata moe pūloa fakafaitoʻo
🤒	mata moe meʻafuamafana
🤕	mata moe haʻi lavea
🤢	mata kavahia
🤮	mata lua
🤧	mata mafatua
🥵	mata vevela
🥶	mata momoko
🥴	mata konā
😵	mata ninimo
🤯	mata pahū
🤠	mata moe tatā fakakaupoe
🥳	mata paati
😎	mata malimali moe matasioʻatalaʻā
🤓	mata moe matasioʻata lahi
🧐	mata moe matasioʻata tafaʻaki taha
😕	mata puputuʻu
😟	mata lotohohaʻa
🙁	mata kiʻi fingo
☹️	mata fingo
😮	mata moe ngutu fakamanga
😯	mata longo
😲	mata ʻohovale
😳	mata pahapaha
🥺	mata kole
😦	mata fingo moe ngutu fakamanga
😧	mata lotomamahi
😨	mata fakamanavahē
😰	mata lotomoʻua moe tautaʻa
😥	mata lotomamahi kā fakanongononga
😢	mata loʻimata
😭	mata loʻimata lahi
😱	mata ʻoku kekekeke he manavahē
😖	mata fakapuputuʻu
😣	mata lotokītaki
😞	mata fakalotomamahi
😓	mata lototaʻotaʻomia moe tautaʻa
😩	mata ongosia
😫	mata helaʻia
😤	mata moe mao meihe ihu
😡	mata taʻefiemālie
😠	mata ʻita
🤬	mata kapekape
😈	mata malimali moe meʻatui
👿	mata ʻita moe meʻatui
💀	ʻulupoko
☠️	ʻulupoko moe ongo hui fehauaki
💩	tuʻunga meʻakovi
🤡	mata tokotaha-fieoli
👹	pīnōnō
👺	nifoloa
👻	fakapūloa
👽️	meʻamoʻuikehe
👾	meʻamoʻuikehe fakamanavahē
🤖	mata tangata-ukamea
😺	mataʻipusi fiefia
😸	mataʻipusi fiefia moe kanoʻimata malimali
😹	mataʻipusi moe loʻimata fiefia
😻	mataʻipusi malimali moe kanoʻimata mafu
😼	mataʻipusi moe malimali feʻu
😽	mataʻipusi ʻuma
🙀	mataʻipusi ongosia
😿	mataʻipusi loʻimata
😾	mataʻipusi taʻefiemālie
🙈	ngeli ʻikai sio kovi
🙉	ngeli ʻikai fanongo kovi
🙊	ngeli ʻikai lea kovi
💋	ʻilonga loungutu
💌	tohi ʻofa
💘	mafu moe ngahau
💝	mafu moe lipine
💖	mafu ngingila
💗	mafu tupu
💓	mafu ʻoku tā
💞	ongo mafu takai
💕	ongo mafu
💟	mafu teuteuʻi
❣️	mafu fakaʻilonga kalanga
💔	loto lavea
❤️	mafu kulokula
🧡	mafu lanumoli
💛	mafu engeenga
💚	mafu lanumata
💙	mafu lanupulū
💜	mafu lanufesiʻifekika
🖤	mafu ʻuliʻuli
💯	poini ʻe teau
💢	fakaʻilonga ʻita
