😀	منہ, چہرہ, کھل کے ہنستا چہرہ, کھلا, ہنسی
😃	بڑی آنکھوں والا کھلے منہ والا مسکراتا چہرہ, مسکراہٹ, منہ, چہرہ
😄	آنکھ, مسکراہٹ, منہ, چہرہ, کھلے منہ اور مسکراتی آنکھوں والا مسکراتا چہرہ
😁	آنکھ, مسکراتی آنکھیں لیے ہنستا چہرہ, مسکراہٹ, منہ, چہرہ, کھلا, ہنسنا
😆	مسکراہٹ, مطمئن, منہ, چہرہ, کھلے منہ اور سختی سے بند آنکھوں والا مسکراتا چہرہ, ہنسی
😅	مسکراہٹ, ٹھنڈ, پسینہ, چہرہ, کھلے منہ اور ٹھنڈے پسینے والا مسکراتا چہرہ
🤣	لوٹ پوٹ, چہرہ, ہنستے ہنستے لوٹ پوٹ ہونا, ہنسی
😂	آنسو, خوشی, خوشی کے آنسوؤں والا چہرہ, چہرہ, ہنسی
🙂	مدھم مسکراہٹ والا چہرہ, مسکراہٹ, چہرہ
🙃	الٹآ, الٹا چہرہ, چہرہ
😉	آنکھ جھپکنا, آنکھ مارتا چہرہ, چہرہ
😊	آنکھ, مسکراتی آنکھوں والا مسکراتا چہرہ, مسکراہٹ, چہرہ
😇	افسانوی, فرشتہ, مسکراہٹ, معصوم, چہرہ, ہالہ لیے مسکراتا چہرہ
🥰	دل, دلوں کے ساتھ مسکراتا چہرہ, محبت, پسند کرنا, پیار میں
😍	آنکھ, دل, دل کی شکل کی آنکھوں والا مسکراتا چہرہ, پیار, چہرہ
🤩	آنکھیں, تارہ, ستارہ زدہ, مسکراتا, چہرہ
😘	بوسہ, بوسہ اچھالتا چہرہ, دل, چہرہ
😗	بوسہ, بوسہ لیتا چہرہ, چہرہ
☺️	مسکراتا چہرہ, مسکراہٹ, پر سکون, چہرہ
😚	آنکھ, بند, بند آنکھوں کے ساتھ بوسہ لیتا چہرہ, بوسہ, چہرہ
😙	آنکھ, بوسہ, مسکراتی آنکھوں کے ساتھ بوسہ لیتا چہرہ, مسکراہٹ, چہرہ
😋	مزیدار, مزیدار کھانے کا ذائقہ دینے والا چہرہ, مسکراہٹ, چہرہ
😛	زبان, زبان نکالے چہرہ, چہرہ
😜	آنکھ, زبان, زبان نکالے اور آنکھ مارتا چہرہ, مزاق, چہرہ
🤪	آنکھ, بڑی, پاگل پن والا چہرہ, چھوٹی
😝	آنکھ, خوفناک, زبان, زبان نکالے اور سختی سے بند آنکھوں والا چہرہ, چہرہ
🤑	منہ, چہرہ, ڈالر, ڈالر کی زبان والا چہرہ
🤗	چہرہ, گلے ملتا چہرہ, گلے ملنا
🤭	افوہ, منہ پر ہاتھ رکھا ہوا چہرہ
🤫	خاموش, خاموش رہنے کا اشارہ کرنے والہ چہرہ, چپ
🤔	سوچتا چہرہ, سوچنا, چہرہ
