😀	tirjaygan yuz, tirjayish, yuz
😃	ochiq, og‘iz, og‘zini katta ochib kulayotgan yuz, tabassum, yuz
😄	ko‘z, ochiq, og‘iz, tabassum, tabassum, og‘iz ochiq, ko‘zlar qisilgan, yuz
😁	ko‘z, tabassum, tirjaygan yuz, qisilgan ko‘zlar, tirjayish, yuz
😆	kulgu, mamnun, ochiq, og‘iz, og‘zini katta ochib kulayotgan yuz va qattiq yumilgan ko‘zlar, tabassum, yuz
😅	ochiq, og‘zini katta ochib kulayotgan yuz va sovuq ter, sovuq, tabassum, ter, yuz
🤣	kulayotgan, qahqaha, qotib, qotib kulayotgan, yuz
😂	ko‘z yosh, kulgu, quvonch, quvonch ko‘z yoshlari, yuz
🙂	tabassum, yengilgina kulayotgan yuz, yuz
🙃	to‘ntarilgan, to‘ntarilgan yuz, yuz
😉	ko‘z qisish, yuz
😊	ko‘z, qizarish, tabassum, tabassum va kulib turgan ko‘zlar, yuz
😇	begunoh, ertak, fantaziya, farishta, gardish, tabassum, tabassum, bosh ustida gardish, yuz
🥰	jilmaygan, kulish, oshiq, sevgi, sevib qolgan, yurakcha, yurakchalari bor jilmaygan yuz
😍	ko‘z, sevgi, tabassum, tabassum va yurak shaklidagi ko‘zlar, yurak, yuz
🤩	ko‘zlarda yulduzcha
😘	bo‘sa yuborayotgan yuz, o‘pish, yurak, yuz
😗	bo‘sa olayotgan yuz, o‘pish, yuz
☺️	kulayotgan yuz, tabassum, xotirjam, yuz
😚	bo‘sa olayotgan yuz va yumilgan ko‘zlar, ko‘z, o‘pish, yumilgan, yuz
😙	bo‘sa olayotgan yuz va kulayotgan ko‘zlar, ko‘z, o‘pish, tabassum, yuz
😋	mazali, mazali taomni tatib ko‘rgan til, oh, shirin, tabassum, tatib ko‘rish, yuz
😛	til, tilini chiqarib turgan yuz, yuz
😜	hazil, ko‘z, ko‘z qisish, til, tilini chiqarib turgan va ko‘zi qisilgan yuz, yuz
🤪	ahmoq yuz
😝	ko‘z, qo‘rqinchli, tatib ko‘rish, til, tilini chiqarib turgan va ko‘zlari qattiq qisilgan yuz, yuz
🤑	og‘iz, og‘zi pul yuz, pul, yuz
🤗	quchayotgan yuz, quchish, quchoq, yuz
🤭	og‘izni qo‘l bilan yopish
🤫	ts-s-s
🤔	o‘ylash, o‘ylayotgan yuz, yuz
🤐	og‘iz, og‘zi qulflangan yuz, qulf, yuz
🤨	qosh chimirilgan yuz
😐️	betaraf, his-tuyg‘usiz, hissiz, yuz
😑	his-tuyg‘usiz, his-tuyg‘usiz yuz, ifodasiz, yuz
😶	jimjit, og‘iz, og‘izsiz yuz, sukut, yuz
😏	istehzo, istehzoli yuz, yuz
😒	qoniqmagan, qoniqmagan yuz, xafa, yuz
🙄	aylantirayotgan, ko‘zlar, ko‘zlarini aylantirayotgan yuz, yuz
😬	afti burishgan, aftini burishtirish, yuz
🤥	aldayotgan, pinokkio, yolg‘on, yuz
😌	xotirjam, xotirjam yuz, yuz
😔	g‘amgin, g‘amgin yuz, ranjigan, yuz
😪	uxlash, uyqusiragan yuz, yuz
🤤	so‘lagi oqayotgan, so‘lak, yuz
😴	uxlash, uxlayotgan yuz, xurrak, yuz
😷	dori, kasal, niqob, shifokor, sovuq, tibbiy niqob taqqan yuz, yuz
🤒	bemor, harorat o‘lchagich, harorat o‘lchagich tutgan yuz, kasal, yuz
🤕	bint, boshi bint bilan o‘ralgan yuz, jarohat, lat, yuz
🤢	kasallik, ko‘ngil aynish, ko‘ngli ayniyotgan, yuz
🤮	qusish
🤧	aksirayotgan, yuz
