😀	osinekile, ubuso obusinekile
😃	moyizela, ubuso, ubuso obumoyizelayo obuvule umlomo, umlomo, vula
😄	ajabule, buvule, ubuso, ubuso obumoyizelayo obuvule umlomo bunamehlo ajabule, umlomo
😁	sineka umoyizele, ubuso obusinekile obunamehlo amoyizelayo
😆	aneliseka, moyizela, ubuso, ubuso obumoyizelayo buvule umlomo buvale amehlo, ukuhleka, umlomo, vula
😅	banda, moyizela, ubuso, ubuso obumoyizelayo obuvule umlomo nomjuluko obandayo, umjuluko, vula
🤣	bhuquza, hleka, ngihleka ngiyabhuquza, phansi, ubuso
😂	intokozo, izinyembezi, ubuso, ubuso obunezinyembezi zentokozo, uhleko
🙂	moyizela, ubuso, ubuso obumoyizela kancane
🙃	ubuso, ubuso obupheke phansi, ukubheka phansi
😉	cisha ihlo, ubuso, ubuso obucishe ihlo
😊	amehlo, ihlo, moyizela, ubuso, ubuso obumoyizelayo namehlo ajabule
😇	ingelosi, insumansumane, moyizela, msulwa, sawubona, ubuso, ubuso obumoyizela nosawubona
🥰	Ubuso obumamathekayo obunezinhliziyo ezintathu, emathandweni, funa, thanda, ubuso obumamatekayo obunezinhliziyo ezintathu
😍	amehlo, inhliziyo, moyizela, ubuso, ubuso obumoyizelayo obunamehlo anezinhliziyo, uthando
🤩	amehlo, i-star-struck, inkanyezi, ubuso, ukuhlina
😘	inhliziyo, ubuso, ubuso ophephetha ukuqabula, ukuqabula
😗	ubuso, ubuso obuqabulayo, ukuqabula
☺️	moyizela, ubuso, ubuso obumoyizelayo, ukuphumula
😚	amehlo, ubuso, ubuso obuqabulayo obunamehlo avaliwe, ukuqabula, vala
😙	amahlo, moyizela, ubuso, ubuso obuqabulayo obunamehlo amoyizelayo, ukuqabula
😋	Mmmh, moyizela, ubumnandi, ubuso, ubuso obujabulela ukudla okumnandi, ukuconsisa amathe
😛	ubuso, ubuso obukhiphele phandle ulimi, ulimi
😜	cisha ihlo, ehlo, ihlaya, ubuso, ubuso obukhiphele phandle ulimi obucishe ihlo, ulimi
🤪	iso, khulu, ncane, ubuso obuhlanyayo
😝	amehlo, ububi, ubumnandi, ubuso, ubuso obukhiphele phandle ulimi evale amehlo, ulimi
🤑	imali, ubuso, ubuso obunomlomo wemali, umlomo
🤗	anga, ubuso, ubuso obangayo, ukwanga
🤭	ubuso obubekwe isandla emlonyeni, whoops
🤫	thula, thule, ubuso obuthule
🤔	cabanga, ubuso, ubuso obucabangayo
🤐	ubuso, ubuso obunoziphu, umlomo, uziphu
🤨	ubuso obunamashiya aphakanyisiwe, ukungathembi, ukunqikaza
😐️	buthule, ubuso, ubuso obukahle
😑	ubuso, ubuso obungavezi lutho, ukungavezi lutho
😶	ubuso, ubuso obungenamlomo, ukuthula, umlomo
😏	nyipha, ubuso, ubuso ubunyiphile
😒	ubuso, ubuso obungachazekile, ukungajabuli, ukungathokozi
🙄	amehlo, pheqa amehlo, ubuso, ubuso obupheqa amehlo
😬	hlina, ubuso, ubuso obuhlinile
🤥	amanga, ubuso, upopayi
😌	khululeka, ubuso, ubuso obukhululekile
😔	ubuso, ubuso obuphoxiwe, ukuphoxwa
😪	lala, ubuso, ubuso obuzelayo
🤤	ubuso, ukuhala
😴	lala, ubuso, ubuso obulalayo, zzz
😷	banda, dokotela, maski, ubso obufake imaski yobuso kadokotela, ubuso, ukugula, umuthi
🤒	isihlolakushisa, ubuso, ubuso obunesihlolakushisa, ukugula
🤕	ibhandishi, ubuhlungu, ubuso, ubuso obufake ibhandishi, ukulimala
🤢	isicanucanu, phalaza, ubuso, ukuba nesicanucanu
🤮	gula, phalaza, ubuso obuphalazayo
🤧	impilo, thimula, ubuso, ukuthimula
🥵	feverish, heat stroke, hot, red-faced, sweating, ubuso obushiselwayo
🥶	blue-faced, cold, freezing, frostbite, icicles, ubuso obugodolayo
🥴	dizzy, intoxicated, tipsy, uneven eyes, wavy mouth, woozy face
😵	inzululwane, ubuso, ubuso obunenzululwane
🤯	ikhanda eliqhumayo, thukile
🤠	intombazane yezinkomo, isigqoko, ubuso, umfana wezinkomo
🥳	celebration, hat, horn, party, ubuso bobumnandi
😎	amehlo, ilanga, isimo sezulu, izibuko, izibuko zelanga, moyizela, okugqokwa emehlweni, ubuhle, ubuso, ubuso obumoyizelayo obugqoke izibuko zelanga
🤓	isihlakaniphi, ubuso, ubuso besihlakaniphi
🧐	nuka, ubuso obunelensi eyodwa
😕	ubuso, ubuso obudidekile, ukudideka
😟	ubuso, ubuso obukhathazekile, ukukhathazeka
🙁	ubuso, ubuso obubipha kancane, ukubipha
☹️	bipha, ubuso, ubuso obubiphile
😮	ubuso, ubuso obuvule umlomo, umlomo, vula, zwelo
